1	Nikolas Besagno (M)	Real Salt Lake
2	Brad Guzan (GK)	C.D. Chivas USA
3	Chad Barrett (F)	Chicago Fire
4	Danny O'Rourke (M)	San Jose Earthquakes
5	Ugo Ihemelu (D)	Los Angeles Galaxy
6	Drew Moor (D)	F.C. Dallas
7	Hunter Freeman (D)	Colorado Rapids
8	Troy Roberts (D)	Los Angeles Galaxy
9	Michael Parkhurst (D)	New England Revolution
10	Jack Stewart (D)	Chicago Fire
11	Scott Sealy (F)	Kansas City Wizards
12	Tim Ward (D)	MetroStars
13	Jamie Watson (F)	Real Salt Lake
14	Christian Jimenez (M)	C.D. Chivas USA
15	Michael Enfield (M)	Los Angeles Galaxy
16	Ryan Pore (F)	Kansas City Wizards
17	Kevin Goldthwaite (D)	San Jose Earthquakes
18	Will John (M)	Chicago Fire
19	Nick Van Sicklen (M)	D.C. United
20	Marcus Storey (M)	Columbus Crew
21	James Riley (D)	New England Revolution
22	Jay Nolly (GK)	Real Salt Lake
23	Domenic Mediate (M)	Columbus Crew
24	Christopher Sawyer (GK)	Kansas City Wizards
25	Chris Corcoran (M)	MetroStars
26	Aaron Lopez (D)	C.D. Chivas USA
27	Winston Marshall (D)	F.C. Dallas
28	Chris Gomez (GK)	F.C. Dallas
29	Chris Rolfe (F)	Chicago Fire
30	Victor Arbelaez (M)	San Jose Earthquakes
31	Orlando Ramirez (F)	San Jose Earthquakes
32	C.J. Klaas (D)	San Jose Earthquakes
33	Tony Lochhead (D)	New England Revolution
34	Quavas Kirk (F)	Los Angeles Galaxy
35	Gonzalo Segares (D)	Chicago Fire
36	Thabiso Khumalo (M)	Chicago Fire
37	Luke Kreamalmeyer (M)	Real Salt Lake
38	Esteban Arias (D)	C.D. Chivas USA
39	Karim Deltz (F)	Chicago Fire
40	Julian Nash (F)	F.C. Dallas
41	Antouman Jallow (F)	San Jose Earthquakes
42	James Twellman (D)	San Jose Earthquakes
43	Guy Melamed (D)	Colorado Rapids
44	Knox Cameron (F)	Columbus Crew
45	Amir Lowery (M)	Colorado Rapids
46	Mubarike Chisoni (M)	Los Angeles Galaxy
47	John Minagawa-Webster (M)	Kansas City Wizards
48	Tim Merritt (D)	D.C. United
