team	season	competition	number	name	position	games_played	goals	assists	points	nationality
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	1	Keith Van Eron	G	23	 	 	 	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	2	Buzz Demling	D	23	11	5	16	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	4	John Smillie	F	20	14	17	31	Scotland
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	5	Gene Geimer	F	15	15	5	20	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	7	Tony Graham	F	20	18	10	28	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	8	Mark Poston	 	13	2	3	5	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	9	Ty Keough	D	23	13	11	24	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	10	Mario Oliva	 	18	7	11	18	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	12	Keith Tozer	 	23	4	3	7	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	13	Telmo Pires	F	10	0	3	3	Portugal/USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	14	John Zacheis	 	24	3	18	21	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	15	Krys Furman	F	22	10	8	18	Poland
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	17	Manny Cuenca	F	10	14	3	17	Spain
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	19	Dave D'Errico	D	20	4	9	13	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	20	Roy Messing	G	10	 	 	 	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	22	Doc Lawson	D	17	9	5	14	Liberia/USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Gigi Garafano	 	1	0	0	 	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Rick Kessel	G	1	 	 	 	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	John Kowalski	 	2	1	0	1	Poland/USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Brian Robertson	 	1	0	0	0	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Sal Scalici	 	3	0	1	1	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Bob Speilmann	 	1	0	0	0	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Doug Wark	 	22	29	16	45	Scotland/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	1	Paul Dueker	G	1	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	2	Mike Barca	G	10	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	3	Alan Hamyln	D	23	6	5	11	England/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	4	Jose Perna	 	9	0	2	2	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	5	Tim Murphy	 	23	1	6	7	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	6	Rildo	D	16	2	0	2	Brazil
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	7	Mohammed Attiah	D	17	9	10	19	Ghana
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	8	Steve Norris	D	17	1	1	2	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	10	Roy Sinclair	 	24	10	14	24	England
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	11	Ceasar Cervin	F	19	8	10	18	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	12	Mark Yeeles	 	17	3	1	4	England
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	14	Brian Budd	F	19	24	5	29	Canada
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	15	Freddie Garcia	 	6	3	3	6	Mexico/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	16	Rich Brands	G	13	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	18	Gordon Fearnley	F	4	1	1	2	England/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	20	Everald Cummings	F	6	1	0	1	Trinidad
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	20	Bob Hritz	F	10	2	1	3	Germany/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	25	Tony Douglas	 	4	0	1	1	Trinidad
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Randy Garber	 	1	0	0	0	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Jim May	G	12	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Gene Mishalow	 	3	0	0	0	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Les Peterson	 	23	3	9	12	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Oscar Pisano	D	16	2	2	4	Argentina
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	John Nelson	 	12	3	4	7	 
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Roman Urbanczuk	 	2	0	0	0	Poland/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Steve Newman	 	7	0	0	0	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Blaz Stimac	 	17	8	6	14	
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	0	Cliff Brown	G	28	 	 	 	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	1	Gary Allison	G	25	 	 	 	Germany/USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	2	Brooks Cryder	D	 	 	 	 	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	3	Les Peterson	D	25	2	1	3	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	4	Ray Schnettgoecke	D	29	4	5	9	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	5	Mike England	D	11	0	1	1	Wales
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	6	Oscar Pisano	D	 	 	 	 	Argentina
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	7	Peter Notaro	M	8	4	1	5	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	8	Alan Hudson	M	13	6	13	19	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	9	Ron Wigg	M	10	5	3	8	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	10	Roy Sinclair	 	28	8	11	19	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	11	Poli Garcia	F	29	21	15	36	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	12	Clyde Best	F	30	33	16	49	Bermuda
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	13	Pat Fidelia	F	29	10	9	19	Haiti/USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	14	Scott Jones	 	 	 	 	 	 
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	13,15	Mohammed Attiah	D	16	3	2	5	Ghana
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	16	Chris Bennett	 	25	6	6	12	England/Canada
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	17	Bruce Miller	D	9	5	4	9	Canada
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	18	Dave Grimaldi	D	30	1	5	6	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	19	Jim McDonald	 	3	0	0	0	Scotland/England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	20	Carlos Devenutto	D	1	0	1	1	Argentina
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	22	Kevin Terry	 	17	1	0	1	England/USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	23	Ruben Astigarraga	F	14	16	12	28	Argentina
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Mike Barry	D	18	12	8	20	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	John Brooks	F	9	1	0	1	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Gary Evans	 	8	0	2	2	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Ben Popoola	F	8	5	4	9	Nigeria
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Derek Scott	 	15	2	0	2	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	0	Cliff Brown	G	33	 	 	 	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	1	Marine Cano	G	18	 	 	 	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	2	John O'Hara	D	37	1	16	17	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	3	Wayne Jentas	D	38	4	7	11	Canada
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	4	Ian Anderson	D	37	30	31	61	Scotland
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	5	Walter Schlothauer	F	28	6	6	12	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	6	Trevor Dawkins	D	40	4	5	9	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	7	Ivair Ferreira	F	29	16	4	20	Brazil
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	9	Mike Barry	D	32	19	19	38	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	13	Mohammed Attiah	D	4	2	1	3	Ghana
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	14	Prosper Cohen	 	30	16	9	25	Morocco/Israel
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	15	Graham Fyfe	F	33	38	20	58	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	17	George Dewsnip	F	33	14	17	31	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	18	Dave Grimaldi	D	37	3	3	6	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	20	Simon Look	 	21	26	6	32	Israel
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	22	Kevin Terry	 	35	2	1	3	England/USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	23	Ruben Astigarraga	F	22	18	25	43	Argentina
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	30	John Houska	G	 	 	 	 	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Tony Graham	F	19	1	0	1	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Michel Lacevic	M	28	3	4	7	Yugoslavia/USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Roy Sinclair	 	10	4	4	8	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	John Victor	D	21	2	4	6	Brazil
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Dieter Wimmer	 	7	0	0	0	South  Africa/Austria
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	0	Slavko Njegus	G	6	 	 	 	Yugoslavia
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	1	John Houska	G	 	 	 	 	USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	3	Danilo Mandic	D	 	 	 	 	Yugoslavia
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	4,10	Ian Anderson	D	11	4	5	9	Scotland
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	5	Tom Condric	 	38	3	7	10	Yugoslavia/USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	6	Trevor Dawkins	D	40	2	7	9	USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	7	Jimmy Husband	 	33	9	6	15	England
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	8	John Victor	D	36	9	16	25	Brazil
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	9	Kevin Terry	F	33	9	3	12	England/USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	10	Vic Davidson	F/M	24	24	12	36	Scotland
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	11	Tony Suarez	F/M	8	4	2	6	USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	13	Mike Barry	D	18	2	3	5	England/USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	14	Prosper Cohen	F	30	14	15	29	Morocco/Israel
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	15	Charlie Cooke	F	19	4	0	4	Scotland
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	17	George Dewsnip	F	21	4	9	13	England
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	18	Dave Grimaldi	D	43	1	3	4	USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	20	Simon Look	 	41	18	15	33	Israel
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	23	Ruben Astigarraga	F	5	5	4	9	Argentina
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	25	Keith Furphy	F	44	50	25	75	England
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	 	Peter Carr	D	14	1	0	1	England
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	 	Marion Nowacki	 	13	0	4	4	 
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	 	Luis Alberto	F	13	7	9	16	Argentina
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	 	Lou Cioffi	G	15	 	 	 	USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	 	Trevor Franklin	D	26	2	6	8	England/USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	 	George Nanchoff	F/M	33	26	17	43	Yugoslavia/USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	 	David Stride	D	14	0	4	4	England
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	0	Cris Vaccaro	G	35	 	 	 	USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	1	Radmilo Ivancevic	G	17	 	 	 	Yugoslavia
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	2	Michel Kaham	D	32	1	6	7	Cameroon
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	3	Gary Vogel	D	17	2	2	4	USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	4	Ricardo Rodrigues	M	34	7	7	14	Brazil
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	5	Branko Radovic	D	40	2	3	5	Yugoslavia
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	6	Trevor Dawkins	D	44	5	8	13	USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	7	Josef Iliic	F/M	28	9	10	19	 
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	8	John Victor	D	28	7	9	16	Brazil
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	9	Ross Ongaro	F/M	16	4	5	9	Canada
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	10	Vic Davidson	F/M	36	27	15	42	Scotland
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	46	38	46	84	Finland
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	13	Louie Nanchoff	F/M	39	25	24	49	Yugoslavia/USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	14	George Nanchoff	F/M	33	12	6	18	Yugoslavia/USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	16	Craig Allen	F	45	53	31	84	England
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	18	Tony Suarez	F/M	1	0	0	0	USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	20	Bernie James	D	47	8	11	19	England/USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	21	Charlie Greene	F/M	41	15	17	32	USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	22	Luis Alberto	M	34	13	22	35	Argentina/USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	25	Keith Furphy	F	48	56	28	84	England/USA
Cleveland Force	1982-1983	Major Indoor Soccer League (1978-1992)	30	Lou Cioffi	G	2	 	 	 	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	0	Cris Vaccaro	G	22	0	4	4	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	2	Michel Kaham	D	5	0	0	0	Cameroon
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	3	Drew Ferguson	M	44	2	13	33	Canada
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	4	Peter Millar	D	45	13	12	25	Scotland
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	5	Hector Marinaro	F	6	0	1	1	Canada
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	6	Trevor Dawkins	D	44	5	3	8	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	7	Tommy Kristiansen	M	15	4	2	6	Denmark
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	8	John Victor	D	38	10	0	10	Brazil
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	9	Ross Ongaro	F/M	8	2	0	2	Canada
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	10	Vic Davidson	F/M	40	28	29	57	Scotland
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	46	36	51	87	Finland
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	13	Louie Nanchoff	F	 	 	 	 	Yugoslavia/USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	14	George Nanchoff	F/M	27	13	10	23	Yugoslavia/USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	15	Benny Dargle	D	43	4	5	9	England/USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	16	Craig Allen	F	46	49	37	86	England
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	19	George Fernandez	D	1	0	0	0	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	19	Gino DiFlorio	F	0	 	 	 	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	20	Bernie James	D	37	4	5	9	England/USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	21	Alex Tarnoczi	F/M	6	2	3	5	Hungary
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	21	Charlie Greene	F	5	0	1	1	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	23	Bret Hall	D	32	1	5	6	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	25	Keith Furphy	F	48	39	30	69	England/USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	26	Joe Raduka	D	18	1	2	3	Yugoslavia/Canada
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	30	Lou Cioffi	G	 	 	 	 	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	 	Bret Hall	D	32	1	5	6	USA
Cleveland Force	1983-1984	Major Indoor Soccer League (1978-1992)	31	Krys Sobieski	G	32	0	2	2	Poland
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	0	Cris Vaccaro	G	27	 	 	 	USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	1	Kyle Dietrich	G	 	 	 	 	USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	2	Michel Kaham	D	37	2	1	3	Cameroon
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	3	Dennis Mepham	D	47	11	16	27	USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	4	Peter Millar	D	18	2	3	5	Scotland
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	5	Flemming Lund	M	11	0	1	1	Denmark
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	6	Mike Sweeney	D	45	12	22	34	Canada
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	7	Tommy Kristiansen	M	20	5	3	8	Denmark
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	8	Peter Ward	F	47	34	18	52	England
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	9	Ali Kazemaini	D	33	5	8	13	Iran
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	10	George Fernandez	D	5	0	1	1	USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	11	Gino DiFlorio	F	0	0	0	0	Italy/Canada
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	34	19	28	47	Finland
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	13	Louie Nanchoff	F	42	36	34	70	Yugoslavia/USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	14	George Nanchoff	F/M	17	3	6	9	Yugoslavia/USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	15	Benny Dargle	D	48	6	9	15	England/USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	16	Craig Allen	F	42	45	30	75	England
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	20	Bernie James	D	46	2	8	10	England/USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	21	Alex Tarnoczi	F/M	38	13	10	23	Hungary
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	22	Jimmy Willenborg	D	 	 	 	 	USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	23	Bret Hall	D	30	1	3	4	USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	24	P.J. Johns	G	9	 	 	 	USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	25	Keith Furphy	F	48	40	22	62	England/USA
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	26	Joe Raduka	D	30	1	0	1	Yugoslavia/Canada
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	30	Andy Chapman	F	14	8	6	14	England
Cleveland Force	1984-1985	Major Indoor Soccer League (1978-1992)	31	Krys Sobieski	G	17	 	 	 	Poland
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	0	Cris Vaccaro	G	36	0	6	6	USA
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	3	Dennis Mepham	D	42	12	16	28	USA
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	5	Charlie Morgan	D	30	0	5	5	USA
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	6	Mike Sweeney	D	25	4	12	16	Canada
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	7	Pat Ercoli	F	29	6	4	10	Canaqda
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	8	Peter Ward	F	40	29	25	54	England
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	9	Ali Kazemaini	F	47	38	21	59	Iran
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	10	Carl Valentine	F	40	25	14	40	England/Canada
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	11	Gino DiFlorio	F	23	1	1	2	Italy/Canada
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	27	16	25	41	Finland
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	13	Ulf Ryberg	M	8	1	1	2	Sweden
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	14	Pasquale DeLuca	D	40	3	4	7	Canada
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	15	Benny Dargle	D	48	10	13	23	England/USA
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	16	Craig Allen	F	43	50	31	81	England
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	17	Chris Chueden	F/M	31	19	8	27	Canada
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	20	Bernie James	D	45	1	6	7	England/USA
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	21	Alex Tarnoczi	F/M	37	9	4	13	Hungary
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	26	Joe Raduka	D	38	1	7	8	Yugoslavia/Canada
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	30	Andy Chapman	F	45	26	19	45	England
Cleveland Force	1985-1986	Major Indoor Soccer League (1978-1992)	 	Hugh O'Neill	 	15	1	2	3	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	0	Cris Vaccaro	G	29	 	 	 	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	1	Rob Campbell	G	 	 	 	 	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	2	Desmond Armstrong	D	43	3	5	8	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	3	Dennis Mepham	D	48	18	9	27	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	4	Walter Schmetzer	M	4	1	0	1	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	5	Charlie Morgan	D	7	0	0	0	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	6	Mike Sweeney	M	17	2	2	4	Canada
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	7	Chris Chueden	M	13	5	4	9	Canada
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	7	Paul Kitson	M	19	6	3	9	England
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	8	Peter Ward	F	46	26	15	41	England
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	9	Ali Kazemaini	F	35	17	8	25	Iran
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	10	Carl Valentine	F	52	33	29	62	England/Canada
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	11	Gino DiFlorio	F	52	33	24	57	Italy/Canada
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	49	34	55	89	Finland
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	13	Michael King	D	14	3	0	3	England
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	14	Pasquale DeLuca	D	22	3	4	7	Canada
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	15	Benny Dargle	D	52	17	8	25	England/USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	16	Craig Allen	F	31	37	19	56	England
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	19	John Stollmeyer	D	48	8	10	18	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	20	Bernie James	D	51	4	6	10	England/USA
