team	year	number	name	position	games_played	points	minutes	goals	assists	shots	fouls
Michigan Bucks	2008	1	Mollon, Bret	GK	2		180				1
Michigan Bucks	2008	2	Stacy, Jake		2	2	104	1		1	
Michigan Bucks	2008	3	Holody, Michael (Mike)	D	12	2	1065	1		11	6
Michigan Bucks	2008	4	Russell, Kyle	D	15		1335			2	16
Michigan Bucks	2008	6	St. Louis, Stefan	F	6	1	174		1	6	6
Michigan Bucks	2008	7	Shipalane, Tiyiselani (Ty)	M	13	13	848	5	3	16	5
Michigan Bucks	2008	8	Jafta, Nathaniel (Nate)	M	11	17	791	4	9	17	4
Michigan Bucks	2008	9	Fuzetti, Mauro	M	8	2	414	1		11	5
Michigan Bucks	2008	10	Uzoigwe, Kenny	F	14	23	1193	10	3	39	16
Michigan Bucks	2008	11	Bega, Besmir (Bes)	M	10	6	457	2	2	12	9
Michigan Bucks	2008	13	Scaffidi, Zachary (Zac)	M	15	1	1021		1	7	17
Michigan Bucks	2008	14	Morisset, Alexandre (Alex)	M	12	3	679	1	1	3	7
Michigan Bucks	2008	15	Hertel, David (Dave)	D/M	13	5	1127	2	1	9	10
Michigan Bucks	2008	16	Djokic, Nik	F	8	1	385		1	1	2
Michigan Bucks	2008	17	Nowak, Piotr (Pete)	M	15	11	1131	4	3	18	16
Michigan Bucks	2008	18	DeMartin, Douglas (Doug)	F	15	16	880	7	2	24	11
Michigan Bucks	2008	20	Brent, Adam	D	4		185				1
Michigan Bucks	2008	22	Daniel, Ian	D	14		1179			2	3
Michigan Bucks	2008	23	Weaver, William (Billy)	M	6	5	342	2	1	9	7
Michigan Bucks	2008	24	Iyoha, Nosa	D/M	3		103				
Michigan Bucks	2008	25	Clark, Steven (Steve)	GK	15		1350				
Michigan Bucks	2008		Norman, Luke	M	1		19				1
Michigan Bucks	2008		Thompson, Spencer	M	2	1	26		1		
Cleveland Internationals	2008	25	Alexander, Christopher (Todd)	D	15		1084			2	7
Cleveland Internationals	2008	8	Bartulovic, Danny	M	14	4	767	1	2	23	15
Cleveland Internationals	2008	6	Boyer, Mitchell (Mitch)	D	9		764			1	8
Cleveland Internationals	2008	19	Brickman, Jonathan (Jon)	D	15		1019			4	8
Cleveland Internationals	2008	1	Demarchi, Matthew	GK	9		810				
Cleveland Internationals	2008	0	Harpel, Nicolas (Nick)	GK	1		90				
Cleveland Internationals	2008	7	Korb, Christopher (Chris)	D	4		404			2	4
Cleveland Internationals	2008	4	Marsh, Geoffrey (Geoff)	M	14	2	1112	1		6	8
Cleveland Internationals	2008	23	Mason, Matthew	M			90			2	1
Cleveland Internationals	2008	21	McCoy, Shakir N	M	10	3	489	1	1	8	3
Cleveland Internationals	2008	15	McKinney, Judson	D	10		725			5	4
Cleveland Internationals	2008	20	Morrow, Justin	M	14	22	1166	11		33	15
Cleveland Internationals	2008	3	Nagbe, Darlington J.		1		90				
Cleveland Internationals	2008	14	Nanchoff, Michael (Mike)	M	15	17	1279	6	5	31	30
Cleveland Internationals	2008	9	Pitorak, Kevin J	D	9		237			1	1
Cleveland Internationals	2008	22	Souza, Felipe	M	1	2	10	1		1	
Cleveland Internationals	2008	2	Speas, Ben	M							
Cleveland Internationals	2008	24	Thompson, Nick	M	6		336			4	2
Cleveland Internationals	2008		Tipton, Andrew								
Cleveland Internationals	2008	16	Tutich, Matthew (Matt)	M	14	18	1011	5	8	28	14
Cleveland Internationals	2008	10	Ubiparapovic, Slavisa	F	2		84				2
Cleveland Internationals	2008	0	Whitehead, Jason W	GK	6		496				
Cleveland Internationals	2008	18	Williams, Josh J	D	13	2	1107	1		4	7
Cleveland Internationals	2008	11	Zakuani, Steve	F	11	22	893	9	4	27	9
Cleveland Internationals	2008	13	Zemanski, Ben	M	15	14	1255	5	4	22	23
Toronto Lynx	2008	6	Alksnis, Cameron	D	6	1	338		1		3
Toronto Lynx	2008	18	Bahadur, Anthony	F	11	2	303	1		8	12
Toronto Lynx	2008	1	Binstock, Nils	GK	15		1313				
Toronto Lynx	2008	12	De Luca, Sergio		2		78				3
Toronto Lynx	2008	7	DeAbreu, Christopher	M	16	9	1367	4	1	29	18
Toronto Lynx	2008		DiBiase, Anthony								
Toronto Lynx	2008	2	DiLorenzo, Erik		13	2	1164	1		6	10
Toronto Lynx	2008	17	El-Masri, Sherif	F	5		128			3	3
Toronto Lynx	2008	17	Gomes, Elder	M	3		169			1	2
Toronto Lynx	2008	3	Grist, Lloyd	D	16	6	1440	1	4	7	8
Toronto Lynx	2008		Hay, Justin	M							
Toronto Lynx	2008	25	Heembrock, Brandon		3		172				
Toronto Lynx	2008	6	Jonke, John		10		886			2	7
Toronto Lynx	2008	19	Lecky, Kadian	F	2	2	85	1		7	3
Toronto Lynx	2008	14	McBride, Chris	F	9	2	151	1		3	6
Toronto Lynx	2008	13	McNamara, Mikael		16		1260			6	9
Toronto Lynx	2008	15	Medwin, Cameron		7	1	399		1	3	3
Toronto Lynx	2008	22	Mitchell, Chris	M	8	2	218	1		1	5
Toronto Lynx	2008	21	Omokhua, Kevin		5	2	376	1		12	6
Toronto Lynx	2008	20	Oppong, Dominic		2		49			2	
Toronto Lynx	2008	8	Petrasso, Vince	M/F	8	7	647	3	1	11	6
Toronto Lynx	2008	9	Revivo, Daniel		15	21	1171	9	3	32	15
Toronto Lynx	2008	10	Rios, Derek		13		980			16	8
Toronto Lynx	2008	21	Risto, Lukas	M	1		3				
Toronto Lynx	2008	23	Scott, Damion	M	16	3	1045	1	1	21	15
Toronto Lynx	2008	24	Smith, Matthew	GK	7		316				1
Toronto Lynx	2008	16	Soutar, Stephen	D/M	10		404				4
Toronto Lynx	2008	12	Stephens, Joshua (Josh)	M	6		130			3	3
Toronto Lynx	2008	5	Titus, Rick		4		315			1	1
Toronto Lynx	2008	11	Tshimpaka, Jean		14	5	969	2	1	31	17
Cincinnati Kings	2008	23	Arndt, Aaron	GK	6		499				
Cincinnati Kings	2008		Ashworth, Eric								
Cincinnati Kings	2008	4	Bishop, Braden	F	8		221			2	4
Cincinnati Kings	2008	21	Brown, Clifton J.	D	10		758			1	3
Cincinnati Kings	2008	12	Burke, Andrew (Andy)	M/F	11		389			3	4
Cincinnati Kings	2008	7	Clines, Thomas (Tommy)	D	9		666			1	7
Cincinnati Kings	2008	16	Cummings, Jimmy	M	14	6	1113	2	2	18	27
Cincinnati Kings	2008	13	Dimbi, Andy	M	16		1197			26	14
Cincinnati Kings	2008	3	Downey, Dustin	M	16	3	1041	1	1	8	5
Cincinnati Kings	2008	20	Eby, Andrew (Drew)	F	11		344			7	3
Cincinnati Kings	2008	2	Eckerlin, Chad (Seth)	M	12		961			1	6
Cincinnati Kings	2008	22	Jarvis, Justin T		4		247			1	1
Cincinnati Kings	2008	1	Long, Kyle	M	11		432			7	4
Cincinnati Kings	2008	11	Lopez-Cepero, Brian (David)	M/F	16	6	900	3		22	18
Cincinnati Kings	2008	8	Mellencamp, John	M	4		275			4	7
Cincinnati Kings	2008	6	Murray, Ben	M							
Cincinnati Kings	2008	24	Neal, Bryon	GK	4		311				1
Cincinnati Kings	2008	9	Noschang, Kevin	F	3		171			9	3
Cincinnati Kings	2008	17	Pettys, Charles (Charlie)	D/M	9		255			3	1
Cincinnati Kings	2008	18	Ray, Anthony (Tony)	F	15	1	1160		1	1	13
Cincinnati Kings	2008	10	Ross, Adam	M	10	1	660		1	9	3
Cincinnati Kings	2008	19	Simpson, Bradley	D	14		1006			9	9
Cincinnati Kings	2008	15	Stelmak, Branden		14	12	881	5	2	14	29
Cincinnati Kings	2008	6	Tony, Capurro		7		355			2	5
Cincinnati Kings	2008	14	Vollmer, Jacob (Jake)	D	14	1	1211		1	9	7
Cincinnati Kings	2008	25	Williams, Matt	GK	8		720				
West Virginia Chaos	2008	20	Acree, Alexander	M	5		193				1
West Virginia Chaos	2008	15	Ahmad, Ashraf (Ash)	D/M	12	1	976		1	11	10
West Virginia Chaos	2008	16	Akyere, Andre Kofinho (Kofi)	F/M	4		207			1	1
West Virginia Chaos	2008	14	Arthur, Adam	M/F	15	3	771	1	1	10	6
West Virginia Chaos	2008	17	Bohach, Chris	D/M	9	3	513	1	1	6	6
West Virginia Chaos	2008	34	Bryant, Tyler	F	1		17				1
West Virginia Chaos	2008	9	Burridge, Jack	F	6		152			1	1
West Virginia Chaos	2008	18	Clare, Matthew Christopher		8	4	528	2		14	5
West Virginia Chaos	2008	13	Crumrine, Michael (Vinny)	M	7		229			3	8
West Virginia Chaos	2008		Daniele, John (Johnny)	M							
West Virginia Chaos	2008		Dickerson, Matt	D							
West Virginia Chaos	2008	4	Flunder, Sterling	M/D	16		1351			16	9
West Virginia Chaos	2008	11	Geathers, Jamal	F/M	14	2	950	1		14	
West Virginia Chaos	2008	1	Gott, Tom P	GK	7		585				
West Virginia Chaos	2008	3	Harrison, Victor	D	15	2	1160	1		2	10
West Virginia Chaos	2008	3	Heimbecker, Dana John	M/D	9		655			8	2
West Virginia Chaos	2008	9	Ibbetson, Luke		3	5	79	2	1	7	
West Virginia Chaos	2008	21	Johns, Joseph T	M	5		304				11
West Virginia Chaos	2008		Klein, Paul	M							
West Virginia Chaos	2008	19	LaCrone, Kolby	F	12		631			7	7
West Virginia Chaos	2008	6	Letts, Scott	D	1		40				
West Virginia Chaos	2008		Mergena, Marc Elie	F/M							
West Virginia Chaos	2008	1	Mitchell, Adam	GK	5		450				
West Virginia Chaos	2008	0	Ott, Richard	GK	5		361				
West Virginia Chaos	2008	7	Shergill, Avneet	M	12	4	608	2		12	8
West Virginia Chaos	2008	23	Skelton, Todd		2		40				2
West Virginia Chaos	2008	10	Stapleton, James	F/M	12	3	853	1	1	11	9
West Virginia Chaos	2008	2	Thompson, Jack (Thompo)	M	12		739			15	12
West Virginia Chaos	2008	23	Usman, Kashetu (Kash)	D	4		289			2	7
West Virginia Chaos	2008	12	Villiard, Ryan	F/M	15	2	1138		2	8	20
West Virginia Chaos	2008	5	West, Kyle	D	7	2	569	1		5	3
West Virginia Chaos	2008	8	Whalley, Chris	M/F	16	3	981	1	1	26	23
Thunder Bay Chill	2008	5	Adelusimi, Olawale (Henry)	D	13		811			1	19
Thunder Bay Chill	2008	15	Alvarado, Jose	D	13		1032			3	23
Thunder Bay Chill	2008	17	Augruso, Adam	M	8	1	196		1	2	3
Thunder Bay Chill	2008	27	Cliff, Scott John	GK	1		90				
Thunder Bay Chill	2008	2	Coronado, Jose	D	12		862			3	21
Thunder Bay Chill	2008	21	Da Silva, Marcos Roberto	M	12	6	671	3		27	9
Thunder Bay Chill	2008	20	Gold, Casey	M	11	4	476	2		8	7
Thunder Bay Chill	2008	11	Gold, Jeremy	F	15	21	1142	9	3	39	11
Thunder Bay Chill	2008	3	Harris, Jamie Kentrel	D	8		203			2	3
Thunder Bay Chill	2008	25	Hoy, Gavin	M/F	1		14				
Thunder Bay Chill	2008	18	Intermoia, Nolan A.	D	13	7	935	1	5	6	19
Thunder Bay Chill	2008	7	Jones, Brandon Scott	M	13	6	588	3		17	6
Thunder Bay Chill	2008	14	Kawahara, Kyle	F	1		50			3	
Thunder Bay Chill	2008	24	Martinez, Brian	D	8		312			2	4
Thunder Bay Chill	2008	4	Milroth, Scott	D	13	2	981	1		5	16
Thunder Bay Chill	2008	6	Neto-Rodrigues, Wilson	D	13	2	1121	1		2	12
Thunder Bay Chill	2008	10	Oliveira-Araujo De F, Gustavo	M	10	13	409	4	5	18	2
Thunder Bay Chill	2008	1	Paterson, Stephen	GK	15		1350				
Thunder Bay Chill	2008	25	Pilat, Justin	D	1		9				1
Thunder Bay Chill	2008	8	Putrus, Anthony	M	12	3	744	1	1	11	26
Thunder Bay Chill	2008	26	Santos, Marcelo		7		210			1	5
Thunder Bay Chill	2008	12	Steenhuis, Sheldon	GK							
Thunder Bay Chill	2008	16	Swann, Robert	D	16		939			15	11
Thunder Bay Chill	2008	13	Swartzendruber, Brandon	F	16	34	1362	13	8	56	16
Thunder Bay Chill	2008	19	Tom, Peter	D	2		26				
Thunder Bay Chill	2008	23	Valente, antonio (Tony)	M	7		105			1	
Thunder Bay Chill	2008	9	Zendejas, Alvaro	M	14	6	972	3		23	23
Colorado Rapids U-23	2008	4	Abolaji, Sola		2	157					1
Colorado Rapids U-23	2008		Adams, Dominic								
Colorado Rapids U-23	2008	21	Beckford, Brian	D	11	644				1	4
Colorado Rapids U-23	2008	4	Brovsky, Jeb (Jeb)		1	82					1
Colorado Rapids U-23	2008	19	Cardenas, Nicholas		11	861	2	2	6	7	18
Colorado Rapids U-23	2008	22	Charles, Samuel	F	15	907	10	2	22	26	14
Colorado Rapids U-23	2008	18	Copeland, Sterling		12	461		1	1		10
Colorado Rapids U-23	2008		Galeski, Michael								
Colorado Rapids U-23	2008	8	Hemmi, Mac		15	1201	2	3	7	3	8
Colorado Rapids U-23	2008	18	Howlan, Jeremy (JT)		11	495	2	1	5	8	5
Colorado Rapids U-23	2008	6	Lewis, Payne Spencer		6	224					3
Colorado Rapids U-23	2008	19	Lind, Michael		10	380				2	6
Colorado Rapids U-23	2008	7	Miller, George (Bo)		1	55					
Colorado Rapids U-23	2008	1	Molony, Sean	GK	9	740					
Colorado Rapids U-23	2008	23	Moura, Willian		12	424	1		2	9	12
Colorado Rapids U-23	2008	5	Nummy, James M		13	652	1		2	3	4
Colorado Rapids U-23	2008	12	Peters, Bradley	F	6	248	1		2	8	6
Colorado Rapids U-23	2008	15	Prince, Zach	D	16	840	5	5	15	9	12
Colorado Rapids U-23	2008	2	Ruthven, Tyler	D	15	1230		1	1	2	15
Colorado Rapids U-23	2008	6	Schmoker, Jacob	M	16	1020	4		8	14	16
Colorado Rapids U-23	2008	10	Seth, Mike R.			85					3
Colorado Rapids U-23	2008	18	Stanley, Tyler		4	193		1	1	5	3
Colorado Rapids U-23	2008	9	Stisser, Brad S	M	12	624	1	3	5	11	3
Colorado Rapids U-23	2008	3	Tresslar, Daniel A		16	1025	2		4	11	14
Colorado Rapids U-23	2008	16	Tucker, Brandon		7	526	1		2	6	9
Colorado Rapids U-23	2008	20	Valles, Miguel A		10	442					4
Colorado Rapids U-23	2008	18	Warner, Collen D		12	750	1	2	4	13	20
Colorado Rapids U-23	2008	1	Willis, Joe		8	720					
Des Moines Menace	2008	21	Boltnar, Tomas		12	11	595	3	5	8	10
Des Moines Menace	2008	9	Cherisma, Marco		10	4	339	2		10	10
Des Moines Menace	2008	4	Cruz, Daniel		7	8	479	3	2	16	19
Des Moines Menace	2008	18	Dacy, Byron D.		4	2	207	1		4	1
Des Moines Menace	2008	7	Davis, Justin		3	5	208	2	1	8	2
Des Moines Menace	2008	12	De Las, Stefan		10		686			2	
Des Moines Menace	2008	10	DeFreitas, Eric		6	5	185	2	1	3	2
Des Moines Menace	2008		Deremer, Kyle								
Des Moines Menace	2008	18	Edward, Giovanni (Ed)		2		77				2
Des Moines Menace	2008		Estrada, Steven								
Des Moines Menace	2008	19	Fishback, Brian		7		204			2	4
Des Moines Menace	2008		Foster, Nick								
Des Moines Menace	2008		Goodenkauf, William (Buddy)								
Des Moines Menace	2008		Grider, Jordan T								
Des Moines Menace	2008		Halma, Mark								
Des Moines Menace	2008	13	Haugland, Benjamin T		15		1041			8	6
Des Moines Menace	2008		Kadlec, Jordan								
Des Moines Menace	2008	2	Klosterman, Joe		12	2	858	1		1	9
Des Moines Menace	2008	23	Krause, Tanner		1		85				2
Des Moines Menace	2008		Lehman, Gregory R								
Des Moines Menace	2008	19	Marquez, Ernesto		4	2	99	1		3	2
Des Moines Menace	2008		Martin, Darren								
Des Moines Menace	2008		Martinez, Harvey								
Des Moines Menace	2008	20	Michalsen, Aasmund (Ossie)		11		990				9
Des Moines Menace	2008	6	Moffat, Ross		13		549			8	12
Des Moines Menace	2008	11	Neagle, Lamar		11	7	819	2	3	23	19
Des Moines Menace	2008		Noonan, Michael								
Des Moines Menace	2008	14	Paterson, Nicholas		14	16	1102	6	4	33	19
Des Moines Menace	2008		Pfeifer, Eric J								
Des Moines Menace	2008	17	Prostran, Filip		2		64			1	1
Des Moines Menace	2008	15	Reinberg, Stephen		15		1335			7	14
Des Moines Menace	2008	3	Rozeboom, Lance	M	12	3	801	1	1	4	12
Des Moines Menace	2008	16	Salem, Joseph (Joe)		15	6	1289	2	2	20	24
Des Moines Menace	2008	8	Sawyer, Stephen T		4	2	328	1		1	2
Des Moines Menace	2008	5	Sindlinger, Tucker	F	6		292			3	7
Des Moines Menace	2008	9	Smithson, John		7		463			5	2
Des Moines Menace	2008		Talbot, Kyle								
Des Moines Menace	2008		Thaden, Michael								
Des Moines Menace	2008	25	Valencia, Camilo		7		352			3	10
Des Moines Menace	2008	1	Williams, Daniel J		15		1350				
Des Moines Menace	2008		Zobeck, Kyle	GK							
St. Louis Lions	2008	7	Abel, Miles		3		94				6
St. Louis Lions	2008		Akpore, JJ	D							
St. Louis Lions	2008	25	Allen, Craig	M	2		36				2
St. Louis Lions	2008	21	Andrade, Jona		15	3	757		3	7	7
St. Louis Lions	2008	2	Angus, Calum		6	4	453	2		13	10
St. Louis Lions	2008	7	Anzalone, Chris		1		7				
St. Louis Lions	2008	19	Bradaric, Alen		7		200			1	3
St. Louis Lions	2008	17	Clayes, Martin (Marty)		12	1	973		1	13	16
St. Louis Lions	2008	14	Dyson, Oliver (Olly)	M	15	3	1035	1	1	11	9
St. Louis Lions	2008		Ellis, Frankie	M							
St. Louis Lions	2008	31	Forrest, Brian		6		540				
St. Louis Lions	2008	10	Fridal, Jon		15	2	872		2	8	13
St. Louis Lions	2008	16	Gelven, Sam		11		615			1	12
St. Louis Lions	2008	20	Genovese, Joe		11		360			1	9
St. Louis Lions	2008	4	Gregory, Brett		12		763			1	4
St. Louis Lions	2008	9	Heinemann, Tommy		15	29	1283	13	3	52	23
St. Louis Lions	2008	12	Holmes, Jarius (Juice)		14	9	1072	1	7	12	4
St. Louis Lions	2008	8	Lopez-Uribe, Santiago		5		202				7
St. Louis Lions	2008	6	Merrick, Deno		14	4	1215	2		11	12
St. Louis Lions	2008	3	Mueller, David		15	2	1292	1		2	19
St. Louis Lions	2008	28	Niblett, Thomas		5	2	220	1		1	3
St. Louis Lions	2008	25	Orr, Nyron	M	9	5	538	2	1	8	7
St. Louis Lions	2008	23	Patterson, Kyle		6		486			11	4
St. Louis Lions	2008	24	Plow, Marshall		1		18				
St. Louis Lions	2008	11	Sa Freire, Thiago		3	4	72	2		2	
St. Louis Lions	2008	30	Saylor, Brenton		10		900				
St. Louis Lions	2008		Scalzullo, Pietro	F							
St. Louis Lions	2008	18	Spiess, Matt		12	3	431	1	1	4	5
St. Louis Lions	2008	15	Taylor, Matt		4		266				3
St. Louis Lions	2008	5	Utley, Mike		9	9	500	3	3	8	9
St. Louis Lions	2008	11	Walters, Tim	F	4		148			1	1
St. Louis Lions	2008	13	Webber, Phil		7		379			1	
St. Louis Lions	2008		Zenner, Nat	M							
Kansas City Brass	2008	1	Sokolowski, Adam	GK	12		1068				
Kansas City Brass	2008	2	Shrout, Kevin	D/M	10	2	764	1		4	8
Kansas City Brass	2008	3	Clark, Calvin	D	11		990				6
Kansas City Brass	2008	4	Coleman, Levi M.	F/D	15	15	1186	5	5	31	14
Kansas City Brass	2008	5	White, Joshua	D	13		1099			5	15
Kansas City Brass	2008	6	Thomas, Michael	M/D	3	1	270		1	4	4
Kansas City Brass	2008	7	Gorczyca, Luke	M	9	2	612	1			9
Kansas City Brass	2008	8	Raybould, Jordan	M	15	3	1350	1	1	20	26
Kansas City Brass	2008	9	Perez, Bryan	M/F	13		632			5	7
Kansas City Brass	2008	10	Warman, Jeremy (JD)	M/F	14	9	940	3	3	22	26
Kansas City Brass	2008	11	Wurst, Brian	M	12	2	454	1		5	4
Kansas City Brass	2008	12	Supica, John	GK							
Kansas City Brass	2008	13	Clayton, Michael	M	9	3	336	1	1	7	7
Kansas City Brass	2008	14	Leboo, Haggai	F	3		65			5	1
Kansas City Brass	2008	15	Williams, Austin	M/F	16	13	1050	5	3	16	7
Kansas City Brass	2008	16	Guthrie, Garret	M/D	14	2	721		2	4	8
Kansas City Brass	2008	17	Tovar, Angel (Manny)	M	7		318			1	6
Kansas City Brass	2008	18	Rodrigues Gutterres, Miguel	M/D	8		354			2	5
Kansas City Brass	2008	19	Rodriguez, Lucas	M	6	3	261	1	1	6	2
Kansas City Brass	2008	21	McDevitt, Matthew	F/M	3		180			3	2
Kansas City Brass	2008	22	Fitzpatrick, Andy	GK	5		372				
Kansas City Brass	2008	23	O'Neill, Peter	M/F	1		29				1
Kansas City Brass	2008	24	Hennessy, Ryan	D	14	1	1213		1	1	5
Kansas City Brass	2008	25	Webb, Garrett	F	9	4	341	2		7	5
Kansas City Brass	2008	26	Simon, James (Jimmy)	D/F	7		488			1	2
Kansas City Brass	2008	27	Parkhurst, Keith	M/D	6		168			2	
Kansas City Brass	2008	28	Klaus, Matthew Earl	M/F	6	2	437	1		7	7
Kansas City Brass	2008		Mallams, Marcus	D	1		11				1
Kansas City Brass	2008		Happy, Matt	F/M	1		7				
Springfield Demize	2008	18	Albuquerque, Ronaldo	M	3		169				1
Springfield Demize	2008	17	Bisoni, Israel	F	11	2	517	1		1	8
Springfield Demize	2008	10	Bonacker, Nick	D/M	5		257				3
Springfield Demize	2008	14	Bray, Isaiah M		8		498			1	7
Springfield Demize	2008	15	Calderon, Mario		6		284			4	10
Springfield Demize	2008	18	Chapman, Lane	M	7		217				3
Springfield Demize	2008	7	Conde, Eduardo	M	13	2	881	1		3	11
Springfield Demize	2008	10	Curro, Daniel	F	2		22				1
Springfield Demize	2008	20	Curtis, Robert	M	5		220				3
Springfield Demize	2008	12	Dowling, Donovan	GK	7		529				
Springfield Demize	2008	9	Dubay, Kyle	M/F	10	1	629		1	4	4
Springfield Demize	2008	16	Eloy, James	F	5	1	294		1	1	4
Springfield Demize	2008	21	Foerster, Daniel	D	15	6	1350	2	2	11	7
Springfield Demize	2008	19	Gritz, Patrick	D	6		483			2	4
Springfield Demize	2008	14	Hambach, Ryan	D	10		335				3
Springfield Demize	2008	1	Hanlon, Chris	GK	5		361				
Springfield Demize	2008	18	Katic, Nikola		9		765			1	15
Springfield Demize	2008	8	Knop, Daniel	D	10		846			2	4
Springfield Demize	2008	11	Melon Gil, Javier	M	2		89				5
Springfield Demize	2008	1	Murphy, Christopher	GK	7		585				
Springfield Demize	2008	8	Narvaez, Oscar		4		164				2
Springfield Demize	2008	3	Neighbour, James	D	13		1052			3	7
Springfield Demize	2008	5	Opacic, Nebojsa	F	6	5	391	2	1	4	9
Springfield Demize	2008	4	Oshiro, Leonardo	M	3		58				
Springfield Demize	2008	20	Senghore, Ousainou	D	9		486			1	4
Springfield Demize	2008	5	Shoucair, Omar		7	2	441		2	6	9
Springfield Demize	2008	16	Temple, Kyler	M	10		334			2	4
Springfield Demize	2008	6	Thomas, Brett	F	14	4	1206	2		6	3
Springfield Demize	2008	11	Webb, Jordan	F	6		232				4
Springfield Demize	2008	19	White, Anthony	D	8		286				2
Springfield Demize	2008	8	Yoshida, Eishun	F	5		375				3
Chicago Fire Premier	2008	11	Attarian, Dustin	F	8	2	407	1		9	12
Chicago Fire Premier	2008	5	Barklage, Brandon	M	12	7	930	3	1	11	15
Chicago Fire Premier	2008	6	Bauer, Zachary	D	2		180				
Chicago Fire Premier	2008	39	Binger, Joshua (JD)	D	1		39				3
Chicago Fire Premier	2008	4	Blades, Mark	D	12	2	975	1		8	13
Chicago Fire Premier	2008	17	Casciato, Dominic	D	2		55				
Chicago Fire Premier	2008	23	Cutshaw, Chris	F/M	9	6	613	2	2	13	13
Chicago Fire Premier	2008	18	DeGurian, Andrew	M	9	3	357	1	1	2	7
Chicago Fire Premier	2008	16	Duran, Andrew	M	5	2	280	1		2	3
Chicago Fire Premier	2008		Fallon, Geoff								
Chicago Fire Premier	2008	15	Ferguson, Michael	F	12	7	520	4	3	15	4
Chicago Fire Premier	2008	19	Fleak, Braden	F	4		96			2	3
Chicago Fire Premier	2008	39	Franca, Carlos Clay	M	15	11	1153	4	3	30	16
Chicago Fire Premier	2008	22	Gehrig, Eric	M	4	2	105	1		1	
Chicago Fire Premier	2008	5	Giffin, Michael	D	1		90				
Chicago Fire Premier	2008	10	Guzman, David	M	6	2	441		2	12	7
Chicago Fire Premier	2008	7	Hamzagic, Dado	F	2		47			1	
Chicago Fire Premier	2008		Harris, Jonathan	GK							
Chicago Fire Premier	2008	6	Jones, Alex	M	1		22				
Chicago Fire Premier	2008	2	King, Brendan	M	8	3	384	1	1	5	7
Chicago Fire Premier	2008	4	Knotek, Kyle	D/M	8		153				4
Chicago Fire Premier	2008		Lee, Issac	M							
Chicago Fire Premier	2008	30	Mack, James (JC)	F	1		42			1	
Chicago Fire Premier	2008	16	Marek, Mateusz		1		16				
Chicago Fire Premier	2008	9	Marosevic, Perica	F	7	7	625	3	1	21	7
Chicago Fire Premier	2008	26	McMahon, Patrick	D	16	1	1147		1	2	3
Chicago Fire Premier	2008	31	Noschang, Kevin								
Chicago Fire Premier	2008	14	Patano, Francesco (Frank)	F	4		113			3	1
Chicago Fire Premier	2008	6	Ratner, Drew	D	6		251			2	3
Chicago Fire Premier	2008	3	Ream, Timothy	D	12		1080			3	3
Chicago Fire Premier	2008	66	Rickman, Patrick	GK	1		135				
Chicago Fire Premier	2008	34	Ring, Brad								
Chicago Fire Premier	2008	0	Rosenthal, Misha	GK	2		135				
Chicago Fire Premier	2008	18	Schuler, Christopher	M/D	12	2	909	1		3	8
Chicago Fire Premier	2008	16	Simek, Daniel	F	2		57			3	
Chicago Fire Premier	2008	16	Smithson, John	F	1		37			2	
Chicago Fire Premier	2008	66	Sperry, Patrick	GK	11		990				1
Chicago Fire Premier	2008	2	Stephens, Michael		5	4	342	1	2	5	3
Chicago Fire Premier	2008	1	Stikl, Adam		1		45				
Chicago Fire Premier	2008	0	Tomlinson, Brock		2		135				
Chicago Fire Premier	2008	16	Trout, Charlie	M	15	5	1174	2	1	15	14
Chicago Fire Premier	2008	2	Usinger, Brian	M/D	6		398			4	4
Chicago Fire Premier	2008		Van Houten, Hunter	M							
Chicago Fire Premier	2008		VanKampen, Drew	GK							
Chicago Fire Premier	2008		Waspi, Taylor	D							
Chicago Fire Premier	2008	18	Younger, Robert	D	14		1237			4	6
Kalamazoo Outrage	2008		Andrews, Alex	D/M							
Kalamazoo Outrage	2008		Djokic, Luigj	M/F	2	1	54		1		1
Kalamazoo Outrage	2008		Ellis, Scott	M	6	2	432	1	1	5	2
Kalamazoo Outrage	2008		Johnson, Eric	M/F	6		376				1
Kalamazoo Outrage	2008		Mena, Adam	M/F							
Kalamazoo Outrage	2008		Snyder, Dustin	M	2		16				
Kalamazoo Outrage	2008		Sullivan, Noble	M/F							
Kalamazoo Outrage	2008	0	Guilliatt, Mike	GK							
Kalamazoo Outrage	2008	0	Hildebrandt, Mitch	GK	8		712				
Kalamazoo Outrage	2008	1	Shuttleworth, Bobby	GK	9	1	728		1		
Kalamazoo Outrage	2008	2	Simpara, Mahamadou	D/M	11	6	873	2	2	15	12
Kalamazoo Outrage	2008	3	Muckey, Lance	D/F	13	4	886	2		4	7
Kalamazoo Outrage	2008	4	Briggs, Mark	M	14	15	1222	6	3	14	15
Kalamazoo Outrage	2008	5	Alvino, Terry	D/M	14		1246			4	8
Kalamazoo Outrage	2008	6	Watts, Charlie	M/D	9		256			1	6
Kalamazoo Outrage	2008	7	Alexander, Eric	M	12	9	998	4	1	16	13
Kalamazoo Outrage	2008	8	Warmer, Tom	M/F	8	2	657	1		2	9
Kalamazoo Outrage	2008	9	Bulley, Dan	F	12	8	1028	4		20	8
Kalamazoo Outrage	2008	10	McGreal, Alan	M/F	16	9	1125	3	3	22	9
Kalamazoo Outrage	2008	11	Riddle, Stu	F							
