        name	team	position	games_played	minutes	goals	assists	shots	fouls_committed	year
Barone, Giuseppe	Kalamazoo Kingdom	F	4	143		1	5	6	2003
Challinor, Jon	Kalamazoo Kingdom	D	17	1526	2		19	35	2003
Duhl, Scott	Kalamazoo Kingdom	M	14	1136	1	3	17	9	2003
Dwaihy, David	Kalamazoo Kingdom	M	16	1050	3	1	14	3	2003
Foster, Brendon	Kalamazoo Kingdom		3	60			0	3	2003
Goss, Chris	Kalamazoo Kingdom						0	0	2003
Keenan, Chris	Kalamazoo Kingdom	M	2	41			1	1	2003
Kellogg, Matt	Kalamazoo Kingdom		4	196			1	3	2003
Kelto, Anders	Kalamazoo Kingdom	M	14	1035	2	4	10	10	2003
Kemple, Andrew	Kalamazoo Kingdom	D	18	1661			4	33	2003
Kreh, Layne	Kalamazoo Kingdom	D	16	1172	1	1	8	32	2003
Lukungu, Ali	Kalamazoo Kingdom	F	13	1166	5	1	26	23	2003
Luya, Ian	Kalamazoo Kingdom	M	18	1661	3	3	21	5	2003
Mead, Brandon	Kalamazoo Kingdom		1	72			0	2	2003
Miller, Trent	Kalamazoo Kingdom	D	15	1117	1	1	1	20	2003
Murphy, Brendan	Kalamazoo Kingdom	GK	15	1391			0	1	2003
Nelson, Nicholas	Kalamazoo Kingdom	F	14	594	3	1	15	12	2003
Ombiji, Brian	Kalamazoo Kingdom	F	11	1028	6	2	21	37	2003
Peaslee, Trevor	Kalamazoo Kingdom	D	8	463			0	3	2003
Schuring, Joseph	Kalamazoo Kingdom	D	8	176		1	2	2	2003
Sokolowski, Bradley	Kalamazoo Kingdom		9	693	4		15	9	2003
Teixeira, Giuliano	Kalamazoo Kingdom	M	14	902	1	2	13	19	2003
Vandevusse, Craig	Kalamazoo Kingdom	M	10	329			2	5	2003
Walton, Stephen	Kalamazoo Kingdom	M	12	615		1	2	18	2003
Whitehouse, Carl	Kalamazoo Kingdom	GK	0						2003
Ananda, Vairaji	West Michigan Edge	M/F	6	482			4	18	2003
Benjamin, St. Nicholas	West Michigan Edge	D	17	1462	3	3	12	29	2003
Blythe, Michael	West Michigan Edge		15	1322	2	3	23	22	2003
Bruemmer, Alex	West Michigan Edge		5	229		1	2	2	2003
Bryant, Brady	West Michigan Edge		11	1023		1	5	21	2003
Chirico, Jordon	West Michigan Edge		2	128			1	3	2003
Connor, Matthew	West Michigan Edge						0	0	2003
Croucher-Dugan, Kevney	West Michigan Edge		5	406			0	5	2003
Elmore, Jesse	West Michigan Edge	M	14	1297	3	1	24	18	2003
Ferguson, James	West Michigan Edge	D	5	471	1		3	8	2003
Flynn, Daniel	West Michigan Edge		5	192			0	4	2003
Hall, Kevin	West Michigan Edge		10	691			0	11	2003
Hayden, John	West Michigan Edge		9	459	1	1	9	3	2003
Herdsman, Stephen	West Michigan Edge		3	249			0	1	2003
Howard, Todd	West Michigan Edge		7	426			0	7	2003
Kuklenski, Nicholas	West Michigan Edge		9	659			1	7	2003
Leonard, Jonathan	West Michigan Edge	F	17	1523	9	1	22	32	2003
Lepper, Steve	West Michigan Edge		17	1467	1		4	9	2003
Linpow, Steve	West Michigan Edge		2	113			0	1	2003
Ross, Jason	West Michigan Edge		10	405			2	4	2003
Sanders, Oliver	West Michigan Edge	GK	16	1523			0	0	2003
Schnerpenisse, Nathan	West Michigan Edge		2	180			0	0	2003
Tudela, Joshua	West Michigan Edge		4	378			3	1	2003
Wagner, Daniel	West Michigan Edge		11	739			8	13	2003
Wagner, Ryan	West Michigan Edge		5	223			0	6	2003
Woodward, Oliver	West Michigan Edge		12	920		1	3	2	2003
Yadon, Scott	West Michigan Edge		11	376	1		2	1	2003
Alexander, Ryan	Michigan Bucks	M/F	6	303		1	17	3	2003
Cameron, Knox (Washington)	Michigan Bucks	M/F	13	882	6	2	31	15	2003
Craft, Nate	Michigan Bucks	M	15	927		1	5	12	2003
David, Stephan	Michigan Bucks	M	18	1398	2	4	21	8	2003
DeGraw, Nicholas	Michigan Bucks	D/M	6	332			0	4	2003
Detter, Justin	Michigan Bucks	M					0	0	2003
Dzubay, Peter	Michigan Bucks	GK	8	736			0	0	2003
Ferrin, Dan	Michigan Bucks	GK	3	225	1		1	1	2003
Geiger, Abraham	Michigan Bucks	D	6	514			2	5	2003
Gruber, Jordan	Michigan Bucks	M	10	326		1	5	2	2003
Heinemann, Adam	Michigan Bucks	M	14	1015		1	4	18	2003
Ikome, Francis	Michigan Bucks	D/M	4	121			1	3	2003
Kalso, Kellen	Michigan Bucks	D					0	0	2003
Khumalo, Thabiso	Michigan Bucks	M/F	2	42			3	3	2003
Kithas, George	Michigan Bucks	F	10	421		1	11	7	2003
Minagawa-Webster, John	Michigan Bucks	M	13	935	2	3	26	9	2003
Nelson, Erik	Michigan Bucks	M	18	1363		5	20	17	2003
Norman, Nathan	Michigan Bucks	M/F	10	706	1	2	7	10	2003
Omekanda, Simon	Michigan Bucks	F	15	905	6	1	30	6	2003
Perry, Jason	Michigan Bucks	D/M	15	1184			0	7	2003
Rice, Douglas	Michigan Bucks	M					0	0	2003
Rzepka, Ryan	Michigan Bucks	D/M	13	1077	2		14	5	2003
Scicluna, Valentino	Michigan Bucks	D/M	7	481		1	7	8	2003
Snape, Paul	Michigan Bucks	F	15	1021	8	2	38	20	2003
Taylor, Kevin	Michigan Bucks	D/F	14	1204	3		9	7	2003
Turpin, Mychal	Michigan Bucks	M/F	17	1057	8	5	35	8	2003
White, Marquis	Michigan Bucks	F	1	10			0	0	2003
White, Michael	Michigan Bucks	M/F	1	1			0	0	2003
Wiese, Jeff	Michigan Bucks	GK	8	758			0	0	2003
Agu, Alloysius	Indiana Invaders Invaders		14	1237			0	0	2003
Aguiar, Jacob	Indiana Invaders Invaders	D	7	339			1	11	2003
Ara, Ignacia	Indiana Invaders Invaders	M	16	1279			15	28	2003
Bills, Daniel	Indiana Invaders Invaders		8	427			4	13	2003
Braun, Erich	Indiana Invaders Invaders	F	1	90			2	0	2003
Chillemi, Filippo	Indiana Invaders Invaders		3	152			3	2	2003
Crouse, Benjamin	Indiana Invaders Invaders		5	450			2	7	2003
Dargout, Jefferson	Indiana Invaders Invaders		2	19			0	0	2003
Felman, Dario	Indiana Invaders Invaders		2	93			0	0	2003
Forstner, Andreas	Indiana Invaders Invaders		6	509	1		6	7	2003
Francis, Ricky	Indiana Invaders Invaders		14	1115	4	2	14	15	2003
Garcia, Rafael	Indiana Invaders Invaders		9	760	4	1	23	8	2003
Goldwaite, Kevin	Indiana Invaders Invaders	D	3	270		1	2	4	2003
Hausler, Dario	Indiana Invaders Invaders	M	11	910	1		5	9	2003
Hoge, Bradley	Indiana Invaders Invaders	M/D	1	14			0	0	2003
Hyde, David	Indiana Invaders Invaders						0	0	2003
Krause, Jeffrey	Indiana Invaders Invaders		12	633		1	6	13	2003
Lopez, Oscar	Indiana Invaders Invaders	D	18	1641			3	18	2003
Marques, Ryan	Indiana Invaders Invaders	D	15	1205		1	6	17	2003
Martin, Greg	Indiana Invaders Invaders	M	9	792	3	2	15	16	2003
Mault, Jordan	Indiana Invaders Invaders		3	64			0	1	2003
Murphy, Brian	Indiana Invaders Invaders	M/F	9	476	1	2	8	9	2003
Novas, Lomonaca, Ignacio	Indiana Invaders Invaders	F	14	843	6	1	24	12	2003
Peirano-Pardeiro, Leonardo	Indiana Invaders Invaders	M/F	9	622	2		10	15	2003
Roelke, Kyle	Indiana Invaders Invaders		3	121			0	0	2003
Roman, Austin	Indiana Invaders Invaders	D	17	1525			0	11	2003
Rowland, Jeffrey	Indiana Invaders Invaders		10	566	3	1	13	8	2003
Rybak, Gerald	Indiana Invaders Invaders	D	1	13			0	0	2003
Sanders, Aaron	Indiana Invaders Invaders						0	0	2003
Sawyer, Chris	Indiana Invaders Invaders	GK	4	313			0	0	2003
Snyder, Dustin	Indiana Invaders Invaders	F	11	395			5	11	2003
Suflita, Samuel	Indiana Invaders Invaders		6	30			2	1	2003
Taguinod, Brendon	Indiana Invaders Invaders	F	10	706	1	3	8	10	2003
Wanecke, William	Indiana Invaders Invaders		6	97			1	6	2003
Barber, Sasha	Columbus Shooting Stars	M	16	1172	1	3	18	16	2003
Berry, Gary	Columbus Shooting Stars		7	130			2	7	2003
Bertz, Kenneth	Columbus Shooting Stars		4	378			0	3	2003
Bigelow, Chris	Columbus Shooting Stars						0	0	2003
Chukwumah, Chiedu	Columbus Shooting Stars		10	846			0	5	2003
Cook, Justin	Columbus Shooting Stars		4	212	1		6	7	2003
Crew, Daniel	Columbus Shooting Stars		17	1572			5	23	2003
Davis, Jordan	Columbus Shooting Stars		13	1116	1	1	9	19	2003
Dombrowski, Jared	Columbus Shooting Stars		12	911	2		10	10	2003
Fitzpatrick, Leslie	Columbus Shooting Stars		12	1136	5	4	42	15	2003
Franks, Michael	Columbus Shooting Stars		12	778			0	0	2003
Goggins, Jason	Columbus Shooting Stars	D	15	1152			4	8	2003
Green, Chris	Columbus Shooting Stars		1	36			0	0	2003
Hemmert, Johnathan	Columbus Shooting Stars		8	210			2	4	2003
Jones, Bret	Columbus Shooting Stars	D/M	12	945		2	9	19	2003
Kerr, Shane	Columbus Shooting Stars		5	294			5	1	2003
Kletzien, William	Columbus Shooting Stars	D/M	3	202			0	4	2003
Koita, Mamady	Columbus Shooting Stars		8	510	1	1	7	10	2003
Larmond, Bunnyray	Columbus Shooting Stars	D	2	117			0	4	2003
McCune, Matthew	Columbus Shooting Stars	F	15	1214	1	1	7	3	2003
Menacho, Daniel	Columbus Shooting Stars	GK	1	90			0	0	2003
Myers, Bradley	Columbus Shooting Stars	D	6	474	2		10	2	2003
Nebbergall, Anthony	Columbus Shooting Stars		4	91			3	0	2003
O'Rourke, Daniel	Columbus Shooting Stars		7	522		1	8	21	2003
Reilly, Patrick	Columbus Shooting Stars		3	206			0	4	2003
Riddle, Joshua	Columbus Shooting Stars	M	1	23	1		1	1	2003
Rutledge, Andrew	Columbus Shooting Stars		9	521	3	1	14	1	2003
Salvati, Ronald	Columbus Shooting Stars	GK	10	730			0	0	2003
Schauer, Adam	Columbus Shooting Stars	D	12	645	1		9	6	2003
Veris, Kyle	Columbus Shooting Stars	F	7	351	2	1	11	6	2003
Wade, Nathan	Columbus Shooting Stars	D	5	350	1		2	4	2003
Williams, Lindsey	Columbus Shooting Stars		8	484	3		13	10	2003
Withers, Peter	Columbus Shooting Stars		12	734	2	2	6	13	2003
Buck, Garrett	Fort Wayne Fever	F	18	1428	3		10	15	2003
Buzzard, Brad	Fort Wayne Fever	GK					0	0	2003
Chorvat, Marcus	Fort Wayne Fever	M	9	602	3	2	19	22	2003
Crawford, Lee	Fort Wayne Fever	D	18	1484	1	1	15	28	2003
Dulworth, Kyle	Fort Wayne Fever	M	12	490	1	2	9	2	2003
Faily, Jesse	Fort Wayne Fever	F					0	0	2003
Gonzalez-Olvera, Cesar	Fort Wayne Fever	M	4	115		1	3	3	2003
Hein, Matt	Fort Wayne Fever	M	10	724	1		8	7	2003
Johnson, Andrew	Fort Wayne Fever	M	9	416	1		10	4	2003
Jordan, Cameron	Fort Wayne Fever	D/M	1	45			0	1	2003
Knitter, Michael	Fort Wayne Fever	GK	5	470			0	0	2003
Lopez-Peralta, Christian	Fort Wayne Fever	GK	3	270			0	0	2003
Mariscalco, John	Fort Wayne Fever	D	17	1295			7	12	2003
Nanchoff, George	Fort Wayne Fever	F	1	26			0	0	2003
O'Driscoll, Patrick	Fort Wayne Fever	D/M	12	1129	2	1	11	12	2003
Porto, Christian	Fort Wayne Fever	M	16	1200	4	3	43	12	2003
Potter, Nick	Fort Wayne Fever	F	6	48	1		3	3	2003
Pranger, Matthew	Fort Wayne Fever	F	3	83			4	0	2003
Presser, Philip	Fort Wayne Fever	M	16	1119	2	1	37	10	2003
Prosser, Mark	Fort Wayne Fever	D	5	97			1	1	2003
Quiroz-Gardona, Gerardo	Fort Wayne Fever	F	5	377	1		11	10	2003
Schwartz, Kyle	Fort Wayne Fever	D	13	1103			5	20	2003
Sharpe, Dennis	Fort Wayne Fever	M	15	843			35	7	2003
Shinabarger, Andrew	Fort Wayne Fever	D	17	1529			0	19	2003
Stevens, Ben	Fort Wayne Fever	GK	10	956			0	0	2003
Sulkin, Matt	Fort Wayne Fever	M	9	580	1		3	3	2003
Suzuki, Jeff	Fort Wayne Fever	M	12	746	3		13	9	2003
Swanson, Aaron	Fort Wayne Fever	F	10	400	2	1	6	5	2003
Umelo, Michael	Fort Wayne Fever	D	13	723			1	17	2003
Wilson, Philip	Fort Wayne Fever	F	4	139			4	0	2003
Yates, Patrick	Fort Wayne Fever	D	1	31			1	0	2003
Aldilami, Abdulaziz	Toledo Slayers		18	1479	1		20	11	2003
Aliakbar, Yousef	Toledo Slayers		1	2			0	0	2003
Behan, Patrick	Toledo Slayers		7	205	1		1	2	2003
Bennett, Damion	Toledo Slayers		11	1010		1	1	15	2003
Blanks, James	Toledo Slayers		11	510		2	5	8	2003
Bokole, Bonyoko	Toledo Slayers	M/F	18	1516	6	7	52	15	2003
Braithwaite, Richard	Toledo Slayers		17	1412			7	8	2003
Bruh, Adam	Toledo Slayers		10	571			7	5	2003
Degraff, Dave	Toledo Slayers		6	417			0	0	2003
DeVilbiss, Brad	Toledo Slayers		4	179			1	2	2003
Escobar-Fontal, Carlos	Toledo Slayers						0	0	2003
Freudeman, Deryck	Toledo Slayers		12	425			10	8	2003
Iding, Joseph	Toledo Slayers	D	14	1316		1	5	16	2003
Khalil, Josef	Toledo Slayers		16	835		2	7	16	2003
Mansell, Phil	Toledo Slayers		1	45			0	0	2003
Merker, Steven	Toledo Slayers		7	227		1	3	2	2003
Niemeyer, Matt	Toledo Slayers		1	45			0	1	2003
Pogue, Eric	Toledo Slayers	GK	15	1234			0	0	2003
Ringle, Michael	Toledo Slayers		1	20			0	0	2003
Robinson, Kevin	Toledo Slayers		13	654	1		15	4	2003
Roudbari, Ahmad	Toledo Slayers		18	1457		1	10	40	2003
Royzman, Eugene	Toledo Slayers		7	347	1		2	8	2003
Scheall, Brian	Toledo Slayers		18	1588			12	17	2003
Shook, Tyler	Toledo Slayers		4	111			0	3	2003
Uzoigwe, Kenny	Toledo Slayers		17	1474	9	2	85	46	2003
Wakawa, Simi	Toledo Slayers		11	614			4	13	2003
Wells, Jon	Toledo Slayers		11	725	2		6	8	2003
Bain, Brenton	Kansas City Brass	M	1	8			1	1	2003
Baker, Jesse	Kansas City Brass	M	11	944			12	8	2003
Barber, Ryan	Kansas City Brass	D	15	1362	1	1	13	13	2003
Bleyenberg, Jake	Kansas City Brass	F	15	1346	12	7	35	9	2003
Blinzler, Adam	Kansas City Brass	D	18	799			0	3	2003
Brennan, Zackary	Kansas City Brass	GK					0	0	2003
Clifton, Andrew	Kansas City Brass	M	7	255	1	1	3	2	2003
Dohlman, Todd	Kansas City Brass	GK	12	924		1	0	0	2003
Duffy, Joshua	Kansas City Brass	D	10	810			1	5	2003
Green, Dustin	Kansas City Brass	D	12	859			4	7	2003
John, William	Kansas City Brass	M	5	290		1	9	1	2003
Kincaid, Scott	Kansas City Brass	D	15	1353		1	7	14	2003
Miles, Geoff	Kansas City Brass	M	15	952	1	1	12	17	2003
Nekuda, Allan	Kansas City Brass	M	11	601	1	1	7	10	2003
Patton, Michael	Kansas City Brass	GK	9	740			1	0	2003
Perkins, Drew	Kansas City Brass	F	5	458	5	4	24	2	2003
Raybould, Ryan	Kansas City Brass	M	13	1191	1	3	24	33	2003
Rosenthal, Mike	Kansas City Brass	D	12	1101	1		7	7	2003
Ryan, Blake	Kansas City Brass	M	14	1172	6	3	31	20	2003
Scheller, Lawrence	Kansas City Brass	F	9	757	3	1	17	16	2003
Sebus, Kyle	Kansas City Brass	M	11	860	1	2	16	6	2003
Shaw, Ryan	Kansas City Brass	M	12	876	2	2	13	12	2003
Snowden, Jeremy	Kansas City Brass	M	3	186			0	0	2003
Van Pelt, Kurt	Kansas City Brass	M	2	49			0	0	2003
Wyllie, James	Kansas City Brass	M	3	49			0	0	2003
Zobrist, Eric	Kansas City Brass	D					0	0	2003
Boltnar, Tomas	Des Moines Menace	M	15	1200	14	10	55	19	2003
Bourne, Matthew	Des Moines Menace	D	3	84			2	4	2003
Brackett, Benjamin	Des Moines Menace		3	78			1	2	2003
Brazeau, Daryl	Des Moines Menace	D	17	1546	1		10	17	2003
Cuevas, Cristian	Des Moines Menace		10	644	2	1	12	3	2003
Disang, Edwin	Des Moines Menace		11	826	2	4	30	7	2003
Doss-Carter, Jason	Des Moines Menace		2	127			1	0	2003
Dukuly, Chris	Des Moines Menace						0	0	2003
Grau, Dustin	Des Moines Menace	F	12	768	2		20	10	2003
Harris, Jacob	Des Moines Menace		1	10			0	0	2003
Henning, David	Des Moines Menace	D	11	925			5	4	2003
Jones Ii, John	Des Moines Menace	M	110	731	6	1	20	9	2003
Junuzovic, Adnan	Des Moines Menace	D	12	947			1	10	2003
Kabwe, Joseph	Des Moines Menace		17	1398	9	10	36	27	2003
Lovell, Peter	Des Moines Menace		6	281	2	1	10	7	2003
Martos, Rastislav	Des Moines Menace	GK	1	90			0	0	2003
Mason, Christian	Des Moines Menace		6	337		1	0	3	2003
Mejias, Joseph	Des Moines Menace		1	21		1	2	0	2003
Modershon, Seth	Des Moines Menace	M					0	0	2003
Mujdzic, Armin	Des Moines Menace	F	2	55			2	3	2003
Nickell, Matthew	Des Moines Menace	M	5	168			7	3	2003
O'Neil, Kris	Des Moines Menace		14	906	4	2	24	14	2003
Peercy, Lane	Des Moines Menace	D	12	1002		1	1	12	2003
Redhage, Christopher	Des Moines Menace	F	15	1154	2	1	4	25	2003
Reis-Wandrey, Josh	Des Moines Menace		1	30			0	0	2003
Robinson, Chris (1)	Des Moines Menace		1	19			0	0	2003
Rodrigues-Osorio, Joao	Des Moines Menace		9	609			4	21	2003
Settle, Jake	Des Moines Menace	GK	2	146			0	0	2003
Shirley, Stephen	Des Moines Menace		14	1194		2	12	30	2003
Siberz, Jonathan	Des Moines Menace						0	0	2003
Sithonnorath, Khampratana	Des Moines Menace	M	14	745	3	3	14	14	2003
Tranchilla, Mike	Des Moines Menace	F					0	0	2003
Van Der Westhuizen, Warren	Des Moines Menace		10	928			1	1	2003
Wicks, Josh	Des Moines Menace		7	577			0	0	2003
Babcock, Sean	Chicago Fire Premier	M	15	964	1	1	14	16	2003
Blake, BJ	Chicago Fire Premier	F	9	448		1	8	6	2003
Boy, Alberto	Chicago Fire Premier		2	31			2	0	2003
Brown, Gregory	Chicago Fire Premier	GK	1	90	1		0	0	2003
Chromik, Steve	Chicago Fire Premier	D	10	345	3	1	5	4	2003
Clanton, Denny	Chicago Fire Premier	D	14	1207			1	11	2003
DeClute, Jacob	Chicago Fire Premier	D/M	8	335			3	1	2003
Dombrowski, Tighe	Chicago Fire Premier	F	15	1368	7	2	28	34	2003
Doster, Stephen	Chicago Fire Premier	D					0	0	2003
Drewry-Sutton, Jamal	Chicago Fire Premier	F	14	988	1	2	24	20	2003
Duda, Eric	Chicago Fire Premier	D	8	404	4		6	6	2003
Dunsheath, Christopher	Chicago Fire Premier		1	90			0	0	2003
El Ahmed, Khaled	Chicago Fire Premier		5	438			0	6	2003
Grabavoy, Ned	Chicago Fire Premier	F	15	1098	8	3	27	16	2003
Grange, Patrick	Chicago Fire Premier	F	9	260	3	5	7	4	2003
Guzan, Brad	Chicago Fire Premier						0	0	2003
Halcrow, Ryan	Chicago Fire Premier	M	9	515			2	7	2003
Hamburger, Chris	Chicago Fire Premier	M	5	328		1	2	3	2003
Harwat, Kirk	Chicago Fire Premier	F	12	597	6	2	16	8	2003
Lance, Kyle	Chicago Fire Premier	M	1	26			0	0	2003
Miller, Ryan	Chicago Fire Premier	F	2	117	2		4	0	2003
Mouw, Robert	Chicago Fire Premier	F	11	700	4	4	21	9	2003
Odwell, Alexander	Chicago Fire Premier	M	11	584	7	2	13	11	2003
Pickens, Matthew	Chicago Fire Premier	GK	16	1503			0	0	2003
Plotkin, Brian	Chicago Fire Premier	M	7	526	2	1	12	6	2003
Pollard, Nicholas	Chicago Fire Premier	D	8	666			0	2	2003
Reti, Sean	Chicago Fire Premier						0	0	2003
Robinson, Dasan	Chicago Fire Premier	D	12	945		1	2	19	2003
Rolfe, Christopher	Chicago Fire Premier	F	7	459	3	3	18	6	2003
Rupsis, Charles	Chicago Fire Premier		1	15			0	0	2003
Smith, Jordan	Chicago Fire Premier	D	2	135			0	2	2003
Strang, Brett	Chicago Fire Premier	D	5	397		1	4	5	2003
Tanner, Kyle	Chicago Fire Premier	D	17	1515	3	1	13	12	2003
Watson, Daniel	Chicago Fire Premier	D	2	108			3	0	2003
Weis, Jarrod	Chicago Fire Premier		2	36			0	0	2003
Wickart, Kevin	Chicago Fire Premier	D	11	928	1	2	11	17	2003
Zayner, Jedidiah	Chicago Fire Premier	D	5	227			0	0	2003
Androutsos, Vasilis	Thunder Bay Chill	F	18	1662	2	3	27	31	2003
Badanai, Ron	Thunder Bay Chill	F	18	1585	7	3	34	27	2003
Blankley, Martyn	Thunder Bay Chill	D	8	309	1		2	4	2003
Camara, Glen	Thunder Bay Chill	F	5	23			0	0	2003
Christey, Fitzroy	Thunder Bay Chill	M	17	1272	2	2	14	25	2003
Colistro, Dave	Thunder Bay Chill	M	11	248	2		5	4	2003
Dhillon, Parminder	Thunder Bay Chill	M	16	1228	1		3	6	2003
Francis, Damian	Thunder Bay Chill	D					0	0	2003
Goetting, Jordan	Thunder Bay Chill	M	18	1179	2	2	14	27	2003
Gorton, Steve	Thunder Bay Chill	D	18	1556		1	2	16	2003
Iachetta, Nicholas	Thunder Bay Chill	M	2	54			0	2	2003
Iorianni, Emanuel	Thunder Bay Chill	D	13	152	1		6	2	2003
Kolinski, Mike	Thunder Bay Chill	M	18	1664	5	5	34	22	2003
Nordin, Brett	Thunder Bay Chill	M	15	616		2	4	4	2003
Papa, Angelo	Thunder Bay Chill	D	1	9			0	0	2003
Peura, Petri	Thunder Bay Chill	GK	3	287			0	0	2003
Pollastrone, Angelo	Thunder Bay Chill	D	17	1565			1	26	2003
Rose, Andrew	Thunder Bay Chill	D	16	953	1		4	15	2003
Ruberto, Frank	Thunder Bay Chill	D					0	0	2003
Tonianse, Armen	Thunder Bay Chill	GK	15	1404			0	0	2003
Valente, Tony	Thunder Bay Chill	M	18	1177		1	3	8	2003
Veneziale, Michael	Thunder Bay Chill	F	2	11			0	0	2003
Wesseh, Doco	Thunder Bay Chill	F	18	1664	10	3	63	31	2003
Bennett, Paul	Sioux Falls Spitfire	D	11	441		1	5	6	2003
Bogdanov, Lubomir	Sioux Falls Spitfire	F	16	1294	14	2	57	16	2003
Cole, Justin	Sioux Falls Spitfire		3	183		1	1	4	2003
De Mares-Massi, Alfonso	Sioux Falls Spitfire	M	2	131			5	4	2003
Guzman, Eric	Sioux Falls Spitfire	F	3	129			0	0	2003
Haynes, Michael	Sioux Falls Spitfire	D	15	1380		1	0	8	2003
Hemenway, Jared	Sioux Falls Spitfire	M	1	7			0	0	2003
Johnson, Chris	Sioux Falls Spitfire	F	12	443	2	1	11	6	2003
Jones, Martin	Sioux Falls Spitfire	GK	17	1274			0	0	2003
Joseph, Roger	Sioux Falls Spitfire	M	15	1046	1	1	11	14	2003
Lascody, Douglas	Sioux Falls Spitfire		18	1330	4	2	46	35	2003
Lee, Shawn	Sioux Falls Spitfire	D	16	1176		1	13	26	2003
Levesque, James	Sioux Falls Spitfire	M	12	991	1	1	13	11	2003
McCabe, Timothy	Sioux Falls Spitfire	M	10	408	1	1	5	3	2003
Miech, Jesse	Sioux Falls Spitfire	GK	8	349			0	0	2003
Nelson, Joel	Sioux Falls Spitfire		8	363	3	1	7	4	2003
Newland, Brandon	Sioux Falls Spitfire	D	10	493			0	6	2003
Newland, Brian	Sioux Falls Spitfire	D/M	17	1560	1		5	15	2003
Norray, Kerry	Sioux Falls Spitfire						0	0	2003
Ochoa, Bernabe	Sioux Falls Spitfire	M	16	833	3	5	13	5	2003
Pederson, Brian	Sioux Falls Spitfire	D		4			0	0	2003
Soyer, Tyler	Sioux Falls Spitfire	F	1	7			0	0	2003
Tranchilla, Mike	Sioux Falls Spitfire	F	9	807	4	5	27	6	2003
Veldhouse, Joel	Sioux Falls Spitfire	M	10	810	2	1	29	16	2003
Watson, Jonathan	Sioux Falls Spitfire	D	18	1573	1	1	12	6	2003
Wylie, Brandon	Sioux Falls Spitfire	F	16	940	4	2	36	6	2003
Bohnsacker, Aaron	Wisconsin Rebels	GK	1	91			0	0	2003
Bremberger, Adam	Wisconsin Rebels		5	217			0	0	2003
Brisson, Christopher	Wisconsin Rebels	M	5	460			7	4	2003
Chin, David	Wisconsin Rebels		12	1040		1	4	13	2003
Connealy, Clint	Wisconsin Rebels	D					0	0	2003
Doyle, Terrence	Wisconsin Rebels		16	1172			9	11	2003
Dugandzic, Marko	Wisconsin Rebels						0	0	2003
Dziatkiewicz, Stephen	Wisconsin Rebels		14	977		1	21	2	2003
Fisher, Jason	Wisconsin Rebels						0	0	2003
Furtsch, Trent	Wisconsin Rebels	D	7	644	1		12	0	2003
Gehrt, Adam	Wisconsin Rebels		7	625			1	5	2003
German, Joel	Wisconsin Rebels		8	661			7	12	2003
Goerlitz, Noah	Wisconsin Rebels						0	0	2003
Goines, Thomas	Wisconsin Rebels		14	384			0	3	2003
Hanson, Eric	Wisconsin Rebels		8	619			0	0	2003
Hyde, David	Wisconsin Rebels		10	921	1	1	2	8	2003
Johnson, Jermaine	Wisconsin Rebels		10	738	1	2	3	6	2003
Kobussen, Matthew	Wisconsin Rebels		1	90			0	0	2003
Lish, Robert	Wisconsin Rebels		4	334	1		19	3	2003
McCaughey, Cort	Wisconsin Rebels		15	1084			7	6	2003
Merzlicker, Scott	Wisconsin Rebels		17	1525	1		17	15	2003
Meyer, Jerad	Wisconsin Rebels		11	418		1	6	1	2003
Miller, Nicholas	Wisconsin Rebels		9	519	1		1	4	2003
Morrison, Jacob	Wisconsin Rebels		6	208	1		2	1	2003
Romero, Carlos	Wisconsin Rebels		1	60	1	1	1	0	2003
Sanchez, Eric	Wisconsin Rebels	F	14	940	1		9	10	2003
Schmeeckle, Daniel	Wisconsin Rebels						0	0	2003
Sillars, Kyle	Wisconsin Rebels		12	969	2		22	5	2003
Spruell, Elliott	Wisconsin Rebels		2	20			0	0	2003
Ubert, Adam	Wisconsin Rebels		9	751			0	0	2003
Vollmer, Steve	Wisconsin Rebels		8	575			1	5	2003
Wolin, Matthew	Wisconsin Rebels		2	43			0	0	2003
Zenoni, Kyle	Wisconsin Rebels		7	637			10	14	2003
Anstey, Matthew	Boulder Rapids Reserves	M	5	220			7	4	2003
Bowman, Scott	Boulder Rapids Reserves	F	10	549	1		16	6	2003
Burden, Keith	Boulder Rapids Reserves	D	1	103			0	4	2003
Cashman, Audren	Boulder Rapids Reserves		6	358	1		4	8	2003
C'Debaca, Robbie	Boulder Rapids Reserves		2	78			1	2	2003
Cronkrite, Erik	Boulder Rapids Reserves	D	18	1648	2	3	30	14	2003
Deacon, Craig	Boulder Rapids Reserves		7	160	1		1	5	2003
Eriksen, Stian	Boulder Rapids Reserves		12	872	1	1	13	2	2003
Fink, Roy	Boulder Rapids Reserves	F	14	1001	3	3	31	18	2003
Folbrycht, Robert	Boulder Rapids Reserves	D	17	1590		3	12	28	2003
Fonseca, Kirk	Boulder Rapids Reserves		1	55			0	1	2003
Goodson, Clarence	Boulder Rapids Reserves		12	1030	1		9	12	2003
Guante-Vasquez, Miguel	Boulder Rapids Reserves						0	0	2003
Hartman, Nick	Boulder Rapids Reserves	M	10	532		1	4	7	2003
Hobbs, Gavin	Boulder Rapids Reserves		7	243			2	5	2003
Hutton, Martin	Boulder Rapids Reserves	GK	5	382			0	1	2003
Janusz, Matthew	Boulder Rapids Reserves						0	0	2003
