USA	1967	San Francisco		13	New York	a	2,2			5804
USA	1967	San Francisco		18	Boston	a	4,3			853
USA	1967	San Francisco		21	Detroit	h	6,1			4729
USA	1967	San Francisco		25	Washington	h	0,0			4657
USA	1967	San Francisco		28	Los Angeles	h	1,0			7123
USA	1967	San Francisco		30	Los Angeles	a	0,2			11572
USA	1967	San Francisco		5	Dallas	a	1,2			4916
USA	1967	San Francisco		9	Chicago	h	0,0			3992
USA	1967	Toronto	5	28	New York	a	1,1			21871
USA	1967	Toronto		31	Washington	h	1,2			12000
USA	1967	Toronto		4	San Francisco	a	2,0			3853
USA	1967	Toronto		11	Los Angeles	h	1,2			3663
USA	1967	Toronto		14	Dallas	a	2,2			9096
USA	1967	Toronto		18	Chicago	h	2,1			15178
USA	1967	Toronto		21	Vancouver	a	4,2			5114
USA	1967	Toronto		25	Vancouver	h	2,2			4385
USA	1967	Toronto		29	Houston	a	1,1			15371
USA	1967	Toronto		1	Cleveland	a	0,2			8514
USA	1967	Toronto		5	Boston	h	6,1			3152
USA	1967	Toronto		9	Detroit	h	1,1			3160
USA	1967	Vancouver	5	28	San Francisco	a	1,6			8177
USA	1967	Vancouver		4	Detroit	a	1,1			11629
USA	1967	Vancouver		7	Dallas	h	4,1			10053
USA	1967	Vancouver		11	Boston	h	1,0			7616
USA	1967	Vancouver		14	Los Angeles	a	1,5			5251
USA	1967	Vancouver		18	Houston	h	1,4			6785
USA	1967	Vancouver		21	Toronto	h	2,4			5114
USA	1967	Vancouver		25	Toronto	a	2,2			4385
USA	1967	Vancouver		28	Washington	a	1,1			8709
USA	1967	Vancouver		1	Chicago	a	2,2			3602
USA	1967	Vancouver		5	New York	h	1,1			6533
USA	1967	Vancouver		8	Cleveland	h	3,1			6012
USA	1967	Washington	5	26	Cleveland	h	1,2			9403
USA	1967	Washington		31	Toronto	a	2,1			12000
USA	1967	Washington		4	Chicago	h	1,1			6125
USA	1967	Washington		7	New York	h	3,0			51112
USA	1967	Washington		11	Detroit	a	2,2			5134
USA	1967	Washington		14	Cleveland	a	2,2			6162
USA	1967	Washington		20	Los Angeles	h	1,1			7847
USA	1967	Washington		25	San Francisco	a	0,0			4657
USA	1967	Washington		28	Vancouver	h	1,1			8709
USA	1967	Washington		1	Dallas	a	2,0			6839
USA	1967	Washington		4	Houston	a	1,0			12380
USA	1967	Washington		8	Boston	h	1,2			9760
USA	1967	Washington		10	Los Angeles	h	3,0			7641
USA	1967	Washington		14	Los Angeles	a	5,6			17824
NPSL	1967	Atlanta	4	16	Baltimore	a	0,1			8434
NPSL	1967	Atlanta		22	Los Angeles	h	1,1			11293
NPSL	1967	Atlanta		30	Los Angeles	a	3,0			5094
NPSL	1967	Atlanta		3	Oakland	a	1,2			2503
NPSL	1967	Atlanta		10	Toronto	h	3,2			6579
NPSL	1967	Atlanta		13	New York	h	2,0			5704
NPSL	1967	Atlanta		21	New York	a	2,2			3938
NPSL	1967	Atlanta		23	Toronto	a	4,1			2876
NPSL	1967	Atlanta		27	Pittsburgh	h	2,1			13132
NPSL	1967	Atlanta		31	Philadelphia	a	2,3			414
NPSL	1967	Atlanta		4	Chicago	h	4,4			3608
NPSL	1967	Atlanta		6	Baltimore	a	1,2			3417
NPSL	1967	Atlanta		14	Philadelphia	h	3,0			11375
NPSL	1967	Atlanta		16	Pittsburgh	a	0,1			2488
NPSL	1967	Atlanta		20	St. Louis	a	2,1			6434
NPSL	1967	Atlanta		25	Oakland	a	0,2			3816
NPSL	1967	Atlanta		28	Los Angeles	a	1,2			2131
NPSL	1967	Atlanta		2	Los Angeles	h	1,1			5742
NPSL	1967	Atlanta		4	Toronto	a	1,2			2723
NPSL	1967	Atlanta		6	Oakland	h	0,3			5120
NPSL	1967	Atlanta		12	Philadelphia	h	2,0			5863
NPSL	1967	Atlanta		14	Chicago	a	1,2			3546
NPSL	1967	Atlanta		19	Toronto	h	4,1			6965
NPSL	1967	Atlanta		22	New York	a	2,2			3334
NPSL	1967	Atlanta		30	Philadelphia	a	1,1			4236
NPSL	1967	Atlanta		2	New York	h	1,1			5942
NPSL	1967	Atlanta		5	Baltimore	h	2,2			7230
NPSL	1967	Atlanta		9	St. Louis	h	2,3			5583
NPSL	1967	Atlanta		11	Pittsburgh	a	2,3			1461
NPSL	1967	Atlanta		20	Baltimore	h	0,0			4361
NPSL	1967	Atlanta		26	Oakland	h	1,0			5919
NPSL	1967	Baltimore	4	16	Atlanta	h	1,0			8434
NPSL	1967	Baltimore		19	St. Louis	h	1,3			4409
NPSL	1967	Baltimore		23	Philadelphia	a	0,0			4815
NPSL	1967	Baltimore		28	Chicago	a	2,0			3753
NPSL	1967	Baltimore		3	Pittsburgh	h	3,5			5325
NPSL	1967	Baltimore		13	Chicago	h	2,2			3521
NPSL	1967	Baltimore		19	Philadelphia	h	3,2			3740
NPSL	1967	Baltimore		24	New York	a	0,0			2351
NPSL	1967	Baltimore		28	St. Louis	a	2,0			5908
NPSL	1967	Baltimore		31	Toronto	h	0,2			4024
NPSL	1967	Baltimore		4	Philadelphia	a	0,0			5127
NPSL	1967	Baltimore		6	Atlanta	h	2,1			3741
NPSL	1967	Baltimore		10	Toronto	h	3,2			4736
NPSL	1967	Baltimore		14	Pittsburgh	h	4,1			6643
NPSL	1967	Baltimore		18	Oakland	a	1,3			3480
NPSL	1967	Baltimore		21	Los Angeles	a	1,0			3463
NPSL	1967	Baltimore		27	Pittsburgh	a	2,2			3286
NPSL	1967	Baltimore		30	Toronto	a	1,2			3016
NPSL	1967	Baltimore		3	Oakland	h	1,0			8792
NPSL	1967	Baltimore		9	St. Louis	a	2,2			5135
