Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Foster, Mark	Orange County Zodiac	Orange County Zodiac	San Diego Flash	4/9/1999	51		LGE			
Leal, Gustavo	Orange County Zodiac	Orange County Zodiac	San Diego Flash	4/9/1999	96		LGE			
Dumitru, Mugurel	San Diego Flash	Orange County Zodiac	San Diego Flash	4/9/1999	18		LGE	Farias, Carlos		
Dumitru, Mugurel	San Diego Flash	San Diego Flash	Orange County Zodiac	4/10/1999	37		LGE	Robles, Antonio		
Adair, Charles	San Diego Flash	San Diego Flash	Orange County Zodiac	4/10/1999	74		LGE	Dumitru, Mugurel		
Soto, Eddie	Orange County Zodiac	San Diego Flash	Orange County Zodiac	4/10/1999	17	Penalty	LGE			
Polowski, PJ	Orange County Zodiac	Orange County Zodiac	US Pro 40	4/15/1999	84		LGE	McDonnell, Paul		
Cooks, Judah	US Pro 40	Orange County Zodiac	US Pro 40	4/15/1999	88		LGE			
Nunez, Luis	Jacksonville Cyclones	Jacksonville Cyclones	Boston Bulldogs	4/16/1999	69		LGE			
Vita, Mark	Boston Bulldogs	Jacksonville Cyclones	Boston Bulldogs	4/16/1999	22		LGE	Rocha, Carlos		
Rocha, Carlos	Boston Bulldogs	Jacksonville Cyclones	Boston Bulldogs	4/16/1999	34		LGE	Kerr, Jr., John		
Daley, Chaka	Boston Bulldogs	Jacksonville Cyclones	Boston Bulldogs	4/16/1999	54		LGE	Vita, Mark		
Patterson, Steve	Orange County Zodiac	Orange County Zodiac	SFB Seals	4/17/1999	3		LGE			
Leal, Gustavo	Orange County Zodiac	Orange County Zodiac	SFB Seals	4/17/1999	20		LGE	Patterson, Steve		
Leal, Gustavo	Orange County Zodiac	Orange County Zodiac	SFB Seals	4/17/1999	23		LGE	McDonnell, Paul		
Guthrie, Rivers	Orange County Zodiac	Orange County Zodiac	SFB Seals	4/17/1999	78		LGE			
Harty, Clay	SFB Seals	Orange County Zodiac	SFB Seals	4/17/1999	11		LGE	Simpson, Shani		
Huber, Geoff	SFB Seals	Orange County Zodiac	SFB Seals	4/17/1999	53		LGE			
Farias, Carlos	San Diego Flash	San Diego Flash	US Pro 40	4/17/1999	38		LGE	Hetherington, Nate		
Farias, Carlos	San Diego Flash	San Diego Flash	US Pro 40	4/17/1999	63		LGE			
Hetherington, Nate	San Diego Flash	San Diego Flash	US Pro 40	4/17/1999	68		LGE	Munro, Jamie		
Hetherington, Nate	San Diego Flash	San Diego Flash	US Pro 40	4/17/1999	76		LGE			
Adair, Charles	San Diego Flash	San Diego Flash	US Pro 40	4/17/1999	87		LGE	Dumitru, Mugurel		
Botello, Jose	US Pro 40	San Diego Flash	US Pro 40	4/17/1999	34		LGE	Quill, Eric		
Quill, Eric	US Pro 40	San Diego Flash	US Pro 40	4/17/1999	83		LGE	Quijano, Marvin		
Gonzalez, Alejandro	Jacksonville Cyclones	Jacksonville Cyclones	Connecticut Wolves	4/18/1999	64		LGE			
Cozier, Mangea (Mac)	Jacksonville Cyclones	Jacksonville Cyclones	Connecticut Wolves	4/18/1999	82		LGE			
Gonzalez, Alejandro	Jacksonville Cyclones	Jacksonville Cyclones	Connecticut Wolves	4/18/1999	90		LGE			
Ledesma, Jesus	Jacksonville Cyclones	Jacksonville Cyclones	Connecticut Wolves	4/18/1999	103		LGE			
Navarette, Hector	Connecticut Wolves	Jacksonville Cyclones	Connecticut Wolves	4/18/1999	55		LGE			
Cardozo, Blas	Connecticut Wolves	Jacksonville Cyclones	Connecticut Wolves	4/18/1999	63		LGE			
Cardozo, Blas	Connecticut Wolves	Jacksonville Cyclones	Connecticut Wolves	4/18/1999	72		LGE	Faris, Sammy		
Coxon, Steve	Connecticut Wolves	Connecticut Wolves	Boston Bulldogs	4/24/1999	98		LGE	Joseph, Roland		
Nunez, Luis	Jacksonville Cyclones	Raleigh Capital Express	Jacksonville Cyclones	4/24/1999	46		LGE	DeOliveira, Jose Marcone		
Cozier, Mangea (Mac)	Jacksonville Cyclones	Raleigh Capital Express	Jacksonville Cyclones	4/24/1999	78		LGE			
Miller, Rashad	Charleston Battery	Charleston Battery	Atlanta Silverbacks	4/24/1999	47		LGE	Miller, Todd		
Burke, Michael	Charleston Battery	Charleston Battery	Atlanta Silverbacks	4/24/1999	79		LGE	Hudock, Dusty		
Brownell, Derek	Charleston Battery	Charleston Battery	Atlanta Silverbacks	4/24/1999	85		LGE	Turner, Ryan		
Owens, William (Billy)	Hampton Roads Mariners	Hampton Roads Mariners	Hershey Wildcats	4/24/1999	73		LGE			
Fenger-Larsen, Jakob	Hampton Roads Mariners	Hampton Roads Mariners	Hershey Wildcats	4/24/1999	95		LGE	Donnelly, Seamus		
Mitchell, Jamal	Hershey Wildcats	Hampton Roads Mariners	Hershey Wildcats	4/24/1999	17		LGE	Segaar, Chris		
Ferruzzi, Marco	Richmond Kickers	Long Island Rough Riders	Richmond Kickers	4/24/1999	43		LGE			
Van Atta, Chris	Tennessee Rhythm	Tennessee Rhythm	Indiana Blast	4/24/1999	57		LGE			
Carver, Joe	Indiana Blast	Tennessee Rhythm	Indiana Blast	4/24/1999	12		LGE	Duff, Chris		
Duff, Chris	Indiana Blast	Tennessee Rhythm	Indiana Blast	4/24/1999	60		LGE	Crawford, Loren		
