Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Macias, Jorge	San Diego Gauchos	BYU Cougars	San Diego Gauchos	4/10/2004	60		LGE			
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Pittsburgh Riverhounds	4/16/2004	8		LGE	Mintah, Ishmael		
Watkins, Nathan	Charlotte Eagles	Charlotte Eagles	Pittsburgh Riverhounds	4/16/2004	10		LGE	Coggins, Jacob		
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Pittsburgh Riverhounds	4/16/2004	65		LGE	Rife, Josh		
DeMello, Nikolaus	California Gold	California Gold	Utah Blitzz	4/17/2004	18		LGE	Lopez-Acosta, Miguel		
Goodfellow, Jacobi	Utah Blitzz	California Gold	Utah Blitzz	4/17/2004	76		LGE	McNicol, William (BJ)		
Osborne, Matthew	Northern Virginia Royals	Northern Virginia Royals	Harrisburg City Islanders	4/17/2004	7		LGE	Pilkington, Matthew		
Sweeney, Patrick	Northern Virginia Royals	Northern Virginia Royals	Harrisburg City Islanders	4/17/2004	58		LGE			
Fisher, Steve	Harrisburg City Islanders	Northern Virginia Royals	Harrisburg City Islanders	4/17/2004	5		LGE	Feniger, Mike		
Costigan, Keith	Harrisburg City Islanders	Northern Virginia Royals	Harrisburg City Islanders	4/17/2004	14	Penalty	LGE			
Radovic, Aleksandar	Harrisburg City Islanders	Northern Virginia Royals	Harrisburg City Islanders	4/17/2004	50	Penalty	LGE			
Elmore, Jesse	Harrisburg City Islanders	Northern Virginia Royals	Harrisburg City Islanders	4/17/2004	69		LGE	Donnelly, Seamus		
Schofield, David	Harrisburg City Islanders	Northern Virginia Royals	Harrisburg City Islanders	4/17/2004	84		LGE	Shellenberger, Pete		
Simmonds, Greg	Charleston Battery	Richmond Kickers	Charleston Battery	4/17/2004	32		LGE			
Goos, Chris	Charleston Battery	Richmond Kickers	Charleston Battery	4/17/2004	54		LGE			
Macias, Jorge	San Diego Gauchos	San Diego Gauchos	Fresno Fuego	4/17/2004	42		LGE			
Espindola, Jose Luis	Fresno Fuego	San Diego Gauchos	Fresno Fuego	4/17/2004	17		LGE	Codeceira-Lopes, Fabricio		
Ramirez, Orlando	Fresno Fuego	San Diego Gauchos	Fresno Fuego	4/17/2004	38		LGE	Gutierrez, Eddie		
Ramirez, Orlando	Fresno Fuego	San Diego Gauchos	Fresno Fuego	4/17/2004	68		LGE	Codeceira-Lopes, Fabricio		
Blanco, Milton	Fresno Fuego	San Diego Gauchos	Fresno Fuego	4/17/2004	80		LGE	Ramirez, Orlando		
Arteaga, Adam	Fresno Fuego	San Diego Gauchos	Fresno Fuego	4/17/2004	90		LGE	Codeceira-Lopes, Fabricio		
