Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Rush, Sean	Real Maryland Monarchs	Harrisburg City Islanders	Real Maryland Monarchs	4/24/2010	17		LGE	Darvill, Jamie		
Hunter, Benjamin	Real Maryland Monarchs	Harrisburg City Islanders	Real Maryland Monarchs	4/24/2010	90	Penalty	LGE			
Bentos, Gustavo	Charlotte Eagles	Richmond Kickers	Charlotte Eagles	4/24/2010	29		LGE	Herrera, Jorge		
Spitz, Shay	Hollywood United Hitmen	Fresno Fuego	Hollywood United Hitmen	4/24/2010	27		LGE	Miranda, Edwin		
Chavez, Jaime Armando	Hollywood United Hitmen	Fresno Fuego	Hollywood United Hitmen	4/24/2010	60		LGE			
Chavez, Jaime Armando	Hollywood United Hitmen	Fresno Fuego	Hollywood United Hitmen	4/24/2010	63		LGE			
Heinemann, Tommy	Charleston Battery	Real Maryland Monarchs	Charleston Battery	4/27/2010	60		LGE			
Foley, David John	Puerto Rico Islanders	Puerto Rico Islanders	NSC Minnesota Stars	4/21/2010	0		LGE	Addlery, Nicholas Duane		
Gbandi, Sandy Hena	Puerto Rico Islanders	Puerto Rico Islanders	NSC Minnesota Stars	4/21/2010	0		LGE			
Telesford, Osei	Puerto Rico Islanders	Puerto Rico Islanders	NSC Minnesota Stars	4/21/2010	0		LGE			
Hlavaty, Neil	NSC Minnesota Stars	Puerto Rico Islanders	NSC Minnesota Stars	4/21/2010	0		LGE	Friedland, Kevin Scott		
Pore, Ryan	Portland Timbers	Portland Timbers	AC St. Louis	4/22/2010	1		LGE	Obatola, Gabriel (O.J.)		
Pore, Ryan	Portland Timbers	Portland Timbers	AC St. Louis	4/22/2010	45		LGE	Josten, George		
Obatola, Gabriel (O.J.)	Portland Timbers	Portland Timbers	AC St. Louis	4/22/2010	62		LGE	Pore, Ryan		
Akloul, Mouloud	Vancouver Whitecaps	Vancouver Whitecaps	AC St. Louis	4/24/2010	0		LGE	Nash, Martin		
Gao, Leilei	NSC Minnesota Stars	NSC Minnesota Stars	Tampa Bay Rowdies	4/24/2010	0		LGE			
Andongcho, Matthew Mbuta	Crystal Palace Baltimore	Crystal Palace Baltimore	Puerto Rico Islanders	4/24/2010	0		LGE			
Addlery, Nicholas Duane	Puerto Rico Islanders	Crystal Palace Baltimore	Puerto Rico Islanders	4/24/2010	0		LGE	Gbandi, Sandy Hena		
Hansen, Joshua Randolph	Puerto Rico Islanders	Crystal Palace Baltimore	Puerto Rico Islanders	4/24/2010	0		LGE			
Hansen, Joshua Randolph	Puerto Rico Islanders	Crystal Palace Baltimore	Puerto Rico Islanders	4/24/2010	0		LGE			
Pizzolitto, Nevio	Montreal Impact	Montreal Impact	Portland Timbers	4/25/2010	0		LGE			
Pore, Ryan	Portland Timbers	Montreal Impact	Portland Timbers	4/25/2010	0		LGE	Danso, Mamadou		
Hamilton, Anthony	Rochester Rhinos	Rochester Rhinos	Austin Aztex	4/25/2010	0		LGE	Pitchkolan, Aaron		
Hoxie, Andrew	Rochester Rhinos	Rochester Rhinos	Austin Aztex	4/25/2010	0		LGE			
Griffin, Leonard	Austin Aztex	Rochester Rhinos	Austin Aztex	4/25/2010	0		LGE			
Nunez, Agustin	Rochester Rhinos	NSC Minnesota Stars	Rochester Rhinos	4/28/2010	0		LGE	Aguilar, Carlos		
Nunez, Agustin	Rochester Rhinos	NSC Minnesota Stars	Rochester Rhinos	4/28/2010	0		LGE	Motagalvan, Felix (Alfonso)		
Costanzo, Rich	Rochester Rhinos	NSC Minnesota Stars	Rochester Rhinos	4/28/2010	0		LGE	Sanfilippo, Frankie		
Pore, Ryan	Portland Timbers	Portland Timbers	Vancouver Whitecaps	4/29/2010	0		LGE	Marcelin, James		
Pore, Ryan	Portland Timbers	Portland Timbers	Vancouver Whitecaps	4/29/2010	0		LGE			
Akwari, Nelson	Vancouver Whitecaps	Portland Timbers	Vancouver Whitecaps	4/29/2010	0		LGE	Nash, Martin		
Cvilikas, Brian Anthony	NSC Minnesota Stars	NSC Minnesota Stars	Austin Aztex	5/1/2010	37		LGE	Tarley, Duncan (Melvin)		
Johnson, Edward	Austin Aztex	NSC Minnesota Stars	Austin Aztex	5/1/2010	75		LGE	Needham, Jay		
Watson, Jamie	Austin Aztex	NSC Minnesota Stars	Austin Aztex	5/1/2010	83		LGE	Alvarez, Yordany		
King, Aaron	Tampa Bay Rowdies	Tampa Bay Rowdies	Austin Aztex	5/8/2010	0		LGE			
Christie, Jeremy	Tampa Bay Rowdies	Tampa Bay Rowdies	Austin Aztex	5/8/2010	0		LGE			
Johnson, Edward	Austin Aztex	Tampa Bay Rowdies	Austin Aztex	5/8/2010	0		LGE			
Watson, Jamie	Austin Aztex	Tampa Bay Rowdies	Austin Aztex	5/8/2010	0		LGE			
Watson, Jamie	Austin Aztex	Austin Aztex	Crystal Palace Baltimore	5/16/2010	0		LGE	Griffin, Maxwell		
Watson, Lance	Austin Aztex	Austin Aztex	Crystal Palace Baltimore	5/16/2010	0		LGE	Johnson, Edward		
Andongcho, Matthew Mbuta	Crystal Palace Baltimore	Austin Aztex	Crystal Palace Baltimore	5/16/2010	0		LGE	Bush, Evan William		
Johnson, Edward	Austin Aztex	Austin Aztex	Tampa Bay Rowdies	5/19/2010	0		LGE	Olum, Lawrence		
Johnson, Edward	Austin Aztex	Austin Aztex	Tampa Bay Rowdies	5/19/2010	0		LGE	Griffin, Leonard		
Marshall, Yohance	Austin Aztex	Austin Aztex	Tampa Bay Rowdies	5/19/2010	0		LGE			
Wheeler, Aaron	Tampa Bay Rowdies	Austin Aztex	Tampa Bay Rowdies	5/19/2010	0		LGE	Tatters, Graham		
Donoho, Joe	Tampa Bay Rowdies	Austin Aztex	Tampa Bay Rowdies	5/19/2010	0		LGE			
Kljestan, Gordon	Tampa Bay Rowdies	Austin Aztex	Tampa Bay Rowdies	5/19/2010	0		LGE			
Gomez, Christian	Miami FC Blues	Miami FC Blues	Tampa Bay Rowdies	5/1/2010	40		LGE			
Valentin, Julian	Tampa Bay Rowdies	Miami FC Blues	Tampa Bay Rowdies	5/1/2010	82		LGE	Burt, Chad		
Richardson, Gregory	Carolina RailHawks	Carolina RailHawks	Tampa Bay Rowdies	5/14/2010	82		LGE			
Donoho, Joe	Tampa Bay Rowdies	Carolina RailHawks	Tampa Bay Rowdies	5/14/2010	0		LGE	Christie, Jeremy		
Wheeler, Aaron	Tampa Bay Rowdies	Carolina RailHawks	Tampa Bay Rowdies	5/14/2010	0		LGE	Adjeman-Pamboe, Kwame (JJ)		
Milien, Pascal	Tampa Bay Rowdies	AC St. Louis	Tampa Bay Rowdies	5/22/2010	37		LGE	Tan, Long		
Adjeman-Pamboe, Kwame (JJ)	Tampa Bay Rowdies	AC St. Louis	Tampa Bay Rowdies	5/22/2010	64		LGE	Yamada, Takuya		
Tan, Long	Tampa Bay Rowdies	AC St. Louis	Tampa Bay Rowdies	5/22/2010	90	Penalty	LGE			
Perez Rousseaux, Yaikel	Crystal Palace Baltimore	Portland Timbers	Crystal Palace Baltimore	5/13/2010	11		LGE	Healey, Patrick Joseph		
Keita, Mandjou	Portland Timbers	Portland Timbers	AC St. Louis	5/15/2010	0		LGE	Pore, Ryan		
Ambersley, Mike Anthony	AC St. Louis	Portland Timbers	AC St. Louis	5/15/2010	0		LGE			
Donatelli, Tony	Montreal Impact	Portland Timbers	Montreal Impact	5/19/2010	0		LGE	Placentino, Rocco		
Bixler, Dustin	Harrisburg City Islanders	Harrisburg City Islanders	Charleston Battery	5/22/2010	58		LGE	Schofield, David		
Zimmerman, Nicholas	Harrisburg City Islanders	Harrisburg City Islanders	Charleston Battery	5/22/2010	78		LGE	Hotchkin, Jason		
Jackson, Kevin	Charleston Battery	Harrisburg City Islanders	Charleston Battery	5/22/2010	86		LGE			
Villanueva, Jonathan	Richmond Kickers	Richmond Kickers	Charlotte Eagles	5/21/2010	2		LGE			
Delicate, Matthew (Deli)	Richmond Kickers	Richmond Kickers	Charlotte Eagles	5/21/2010	21		LGE	Goerres, Sascha		
Burke, Michael	Richmond Kickers	Richmond Kickers	Charlotte Eagles	5/21/2010	52		LGE			
Herrera, Jorge	Charlotte Eagles	Richmond Kickers	Charlotte Eagles	5/21/2010	54		LGE			
Deighton, Jeremy	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Charleston Battery	5/21/2010	45		LGE	Kouadio-Tobey, Koffi Lee		
Kouadio-Tobey, Koffi Lee	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Charleston Battery	5/21/2010	47		LGE	Severs, Chad		
Weekes, Alex	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Charleston Battery	5/21/2010	80		LGE	Baker, Matthew		
Neagle, Lamar	Charleston Battery	Pittsburgh Riverhounds	Charleston Battery	5/21/2010	20		LGE			
Heinemann, Tommy	Charleston Battery	Pittsburgh Riverhounds	Charleston Battery	5/21/2010	24		LGE			
Nunes, Amaury	Charleston Battery	Pittsburgh Riverhounds	Charleston Battery	5/21/2010	83		LGE	Heinemann, Tommy		
Nunes, Amaury	Charleston Battery	Pittsburgh Riverhounds	Charleston Battery	5/21/2010	90		LGE	Jackson, Kevin		
Vercollone, Luke	Richmond Kickers	Real Maryland Monarchs	Richmond Kickers	5/16/2010	43		LGE	Evans, Jordan		
Elcock, Edson	Richmond Kickers	Real Maryland Monarchs	Richmond Kickers	5/16/2010	50		LGE	Burke, Michael		
Kamara, Kei	Kansas City Wizards	Kansas City Wizards	Colorado Rapids	4/10/2010	49		LGE	Smith, Ryan		
Fucito, Michael	Seattle Sounders	Seattle Sounders	Kansas City Wizards	4/17/2010	90		LGE	Evans, Brad		
Landin, Luis Angel	Houston Dynamo	Houston Dynamo	Kansas City Wizards	5/1/2010	23		LGE	Oduro, Dominic		
Mullan, Brian	Houston Dynamo	Houston Dynamo	Kansas City Wizards	5/1/2010	52		LGE	Landin, Luis Angel		
