Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Juninho	Los Angeles Galaxy	Seattle Sounders	Los Angeles Galaxy	3/15/2011	58		LGE	Dunivant, Todd		
Harris, Atiba	Vancouver Whitecaps	Vancouver Whitecaps	Toronto FC	3/19/2011	62		LGE			
Hassli, Eric	Vancouver Whitecaps	Vancouver Whitecaps	Toronto FC	3/19/2011	15		LGE			
Dunfield, Terry	Vancouver Whitecaps	Vancouver Whitecaps	Toronto FC	3/19/2011	26		LGE			
Hassli, Eric	Vancouver Whitecaps	Vancouver Whitecaps	Toronto FC	3/19/2011	73		LGE			
De Rosario, Dwayne	Toronto FC	Vancouver Whitecaps	Toronto FC	3/19/2011	20		LGE			
Maicon Santos	Toronto FC	Vancouver Whitecaps	Toronto FC	3/19/2011	75		LGE			
Wolff, Josh	D.C. United	D.C. United	Columbus Crew	3/19/2011	50		LGE			
Davies, Charlie	D.C. United	D.C. United	Columbus Crew	3/19/2011	62		LGE			
Davies, Charlie	D.C. United	D.C. United	Columbus Crew	3/19/2011	76		LGE			
Rogers, Robbie	Columbus Crew	D.C. United	Columbus Crew	3/19/2011	78	Penalty	LGE			
Agudelo, Juan	New York Red Bulls	New York Red Bulls	Seattle Sounders	3/19/2011	69		LGE			
Rodriguez, Milton	FC Dallas 96	FC Dallas 96	Chicago Fire	3/19/2011	18		LGE			
Puerari, Gaston	Chicago Fire	FC Dallas 96	Chicago Fire	3/19/2011	17		LGE			
Califf, Danny	Philadephia Union	Houston Dynamo	Philadephia Union	3/19/2011	5		LGE			
Larentowicz, Jeff	Colorado Rapids	Colorado Rapids	Portland Timbers	3/19/2011	7		LGE			
Cummings, Omar	Colorado Rapids	Colorado Rapids	Portland Timbers	3/19/2011	29		LGE			
Smith, Jamie	Colorado Rapids	Colorado Rapids	Portland Timbers	3/19/2011	30		LGE			
Cooper, Kenny	Portland Timbers	Colorado Rapids	Portland Timbers	3/19/2011	80		LGE			
Conrad, Jimmy	CD Chivas USA	CD Chivas USA	Sporting Kansas City	3/19/2011	55		LGE			
Zemanski, Ben	CD Chivas USA	CD Chivas USA	Sporting Kansas City	3/19/2011	81		LGE			
Sapong, C.J.	Sporting Kansas City	CD Chivas USA	Sporting Kansas City	3/19/2011	1		LGE			
Bravo, Omar	Sporting Kansas City	CD Chivas USA	Sporting Kansas City	3/19/2011	45		LGE			
Bravo, Omar	Sporting Kansas City	CD Chivas USA	Sporting Kansas City	3/19/2011	74		LGE			
Beckerman, Kyle	Real Salt Lake	San Jose Earthquakes	Real Salt Lake	3/19/2011	64		LGE			
Juninho	Los Angeles Galaxy	Los Angeles Galaxy	New England Revolution	3/20/2011	39		LGE			
Joseph, Shalrie	New England Revolution	Los Angeles Galaxy	New England Revolution	3/20/2011	3		LGE	Perovic, Marko		
Zakuani, Steve	Seattle Sounders	Seattle Sounders	Houston Dynamo	3/25/2011	80		LGE			
Cameron, Geoff	Houston Dynamo	Seattle Sounders	Houston Dynamo	3/25/2011	42		LGE			
Javier Martina	Toronto FC	Toronto FC	Portland Timbers	3/26/2011	14		LGE			
Javier Martina	Toronto FC	Toronto FC	Portland Timbers	3/26/2011	70		LGE			
Ruiz, Carlos	Philadephia Union	Philadephia Union	Vancouver Whitecaps	3/26/2011	77		LGE			
Chaves, Diego	Chicago Fire	Chicago Fire	Sporting Kansas City	3/26/2011	33	Penalty	LGE			
Puerari, Gaston	Chicago Fire	Chicago Fire	Sporting Kansas City	3/26/2011	39		LGE			
Pappa, Marco	Chicago Fire	Chicago Fire	Sporting Kansas City	3/26/2011	59		LGE			
