Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Aunger, Geoff	Vancouver 86ers	Vancouver 86ers	Atlanta Ruckus	5/5/1995	68		LGE			
Soebye, Staale	Atlanta Ruckus	Vancouver 86ers	Atlanta Ruckus	5/5/1995	7		LGE			
Webber, Wade	Seattle Sounders	Seattle Sounders	Colorado Foxes	5/6/1995	54		LGE			
Hoggan, David	Seattle Sounders	Seattle Sounders	Colorado Foxes	5/6/1995	60		LGE			
McCormick, Dick	Seattle Sounders	Seattle Sounders	Colorado Foxes	5/6/1995	70		LGE			
Dougherty, Paul	Montreal Impact	New York Centaurs	Montreal Impact	5/7/1995	83		LGE			
Dunn, Jason	Seattle Sounders	Seattle Sounders	Vancouver 86ers	5/12/1995	46		LGE			
Heale, Gary	Seattle Sounders	Seattle Sounders	Vancouver 86ers	5/12/1995	52		LGE			
Reed, Rob	Vancouver 86ers	Seattle Sounders	Vancouver 86ers	5/12/1995	38		LGE			
Dougherty, Paul	Montreal Impact	Colorado Foxes	Montreal Impact	5/13/1995	14		LGE			
Needham, Grant	Montreal Impact	Colorado Foxes	Montreal Impact	5/13/1995	60		LGE			
Osazuwa, Moses	New York Centaurs	New York Centaurs	Atlanta Ruckus	5/14/1995	61		LGE			
McCormick, Dick	Seattle Sounders	Seattle Sounders	Vancouver 86ers	5/20/1995	39		LGE			
Hattrup, Peter	Seattle Sounders	Seattle Sounders	Vancouver 86ers	5/20/1995	51		LGE			
Heale, Gary	Seattle Sounders	Seattle Sounders	Vancouver 86ers	5/20/1995	69		LGE			
Slater, Shawn	Vancouver 86ers	Seattle Sounders	Vancouver 86ers	5/20/1995	89		LGE			
Steenkamp, Lenin	Atlanta Ruckus	Atlanta Ruckus	Colorado Foxes	5/20/1995	25		LGE			
Steenkamp, Lenin	Atlanta Ruckus	Atlanta Ruckus	Colorado Foxes	5/20/1995	59		LGE			
Soebye, Staale	Atlanta Ruckus	Atlanta Ruckus	Colorado Foxes	5/20/1995	58		LGE	Suri, Moise		
Eck, Ted	Colorado Foxes	Atlanta Ruckus	Colorado Foxes	5/20/1995	36	Penalty	LGE			
Eck, Ted	Colorado Foxes	Atlanta Ruckus	Colorado Foxes	5/20/1995	38		LGE			
Okoh, Matthew Nwabueze	Colorado Foxes	Atlanta Ruckus	Colorado Foxes	5/20/1995	2		LGE			
Needham, Grant	Montreal Impact	Montreal Impact	New York Centaurs	5/21/1995	78		LGE			
Hooker, Jeff	Colorado Foxes	Colorado Foxes	Seattle Sounders	5/26/1995	65		LGE			
Fry, Chance	Seattle Sounders	Colorado Foxes	Seattle Sounders	5/26/1995	16		LGE			
Kouzmanis, Tom	Montreal Impact	Montreal Impact	Vancouver 86ers	5/26/1995	83		LGE			
Soebye, Staale	Atlanta Ruckus	Atlanta Ruckus	New York Centaurs	5/27/1995	22		LGE			
Soebye, Staale	Atlanta Ruckus	Atlanta Ruckus	New York Centaurs	5/27/1995	80		LGE			
Babatunde, Joseph	New York Centaurs	Atlanta Ruckus	New York Centaurs	5/27/1995	29		LGE			
Reed, Rob	Vancouver 86ers	New York Centaurs	Vancouver 86ers	5/28/1995	76		LGE			
Reed, Rob	Vancouver 86ers	New York Centaurs	Vancouver 86ers	5/28/1995	79		LGE			
Slater, Shawn	Vancouver 86ers	New York Centaurs	Vancouver 86ers	5/28/1995	66		LGE			
Soebye, Staale	Atlanta Ruckus	Atlanta Ruckus	Montreal Impact	6/2/1995	45		LGE	Sheen, Greg		
Steenkamp, Lenin	Atlanta Ruckus	Atlanta Ruckus	Montreal Impact	6/2/1995	73		LGE	Soebye, Staale		
Gjonbalaj, Sadri	New York Centaurs	New York Centaurs	Seattle Sounders	6/4/1995	64		LGE			
Carrera, Marcelo	New York Centaurs	New York Centaurs	Seattle Sounders	6/4/1995	76		LGE			
Osazuwa, Moses	New York Centaurs	New York Centaurs	Seattle Sounders	6/4/1995	83		LGE			
Paulinho	Montreal Impact	Montreal Impact	Atlanta Ruckus	6/4/1995	18		LGE			
Paulinho	Montreal Impact	Montreal Impact	Atlanta Ruckus	6/4/1995	20		LGE			
Needham, Grant	Montreal Impact	Montreal Impact	Atlanta Ruckus	6/4/1995	57		LGE			
Biello, Mauro	Montreal Impact	Montreal Impact	Atlanta Ruckus	6/4/1995	75		LGE			
Oliviero, Giuliano	Vancouver 86ers	Vancouver 86ers	Atlanta Ruckus	6/9/1995	77		LGE			
Murray, Bruce	Atlanta Ruckus	Vancouver 86ers	Atlanta Ruckus	6/9/1995	30		LGE			
Huwiler, Mike	Atlanta Ruckus	Vancouver 86ers	Atlanta Ruckus	6/9/1995	33		LGE			
Steenkamp, Lenin	Atlanta Ruckus	Vancouver 86ers	Atlanta Ruckus	6/9/1995	57		LGE			
Hattrup, Peter	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/11/1995	70		LGE			
Hoggan, David	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/11/1995	90		LGE			
Hattrup, Peter	Seattle Sounders	Montreal Impact	Seattle Sounders	6/16/1995	27		LGE			
Hattrup, Peter	Seattle Sounders	Montreal Impact	Seattle Sounders	6/16/1995	84		LGE			
Steenkamp, Lenin	Atlanta Ruckus	Atlanta Ruckus	Vancouver 86ers	6/16/1995	43		LGE			
Gambatese, Tag	Atlanta Ruckus	Atlanta Ruckus	Vancouver 86ers	6/16/1995	75		LGE			
Murray, Bruce	Atlanta Ruckus	Atlanta Ruckus	Vancouver 86ers	6/16/1995	80		LGE			
Moore, Brian	Atlanta Ruckus	Atlanta Ruckus	Vancouver 86ers	6/16/1995	88		LGE			
Oliviero, Giuliano	Vancouver 86ers	Atlanta Ruckus	Vancouver 86ers	6/16/1995	56		LGE			
Nash, Martin	Vancouver 86ers	Atlanta Ruckus	Vancouver 86ers	6/16/1995	82		LGE			
Araujo, Michael	Atlanta Ruckus	New York Centaurs	Atlanta Ruckus	6/18/1995	89		LGE			
Aunger, Geoff	Vancouver 86ers	Vancouver 86ers	Montreal Impact	6/18/1995	36	Penalty	LGE			
Oliviero, Giuliano	Vancouver 86ers	Vancouver 86ers	Montreal Impact	6/18/1995	50		LGE			
Sibiya, Sipho	Vancouver 86ers	Vancouver 86ers	Montreal Impact	6/18/1995	75		LGE			
