Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Ibbetson, Luke	Wilmington Hammerheads	Wilmington Hammerheads	Western Mass Pioneers	4/28/2007	46		LGE	Hughes, Jeffrey		
McFarlane, Omar	Western Mass Pioneers	Wilmington Hammerheads	Western Mass Pioneers	4/28/2007	66		LGE			
Maciel, Everson	Western Mass Pioneers	Wilmington Hammerheads	Western Mass Pioneers	4/28/2007	77		LGE	Manning, Ahmad		
Lookingland, Michael	Harrisburg City Islanders	Bermuda Hogges	Harrisburg City Islanders	4/29/2007	5		LGE	Severs, Chad		
Lemons, Christopher	Cleveland City Stars	Crystal Palace Baltimore	Cleveland City Stars	5/4/2007	12		LGE	Leibbrandt, Ian		
Leibbrandt, Ian	Cleveland City Stars	Crystal Palace Baltimore	Cleveland City Stars	5/4/2007	18		LGE	De Vae, John		
McGregor, Dana	Cleveland City Stars	Crystal Palace Baltimore	Cleveland City Stars	5/4/2007	58		LGE	Williams, Luke		
Moffat, Adam	Cleveland City Stars	Crystal Palace Baltimore	Cleveland City Stars	5/4/2007	90		LGE	Duerr, Glen		
Palguta, Scott	Rochester Rhinos	Rochester Rhinos	Vancouver Whitecaps	5/4/2007	51		LGE			
Gjertsen, Joseph (Joey)	Vancouver Whitecaps	Rochester Rhinos	Vancouver Whitecaps	5/4/2007	9		LGE	Nash, Martin		
Hayes, David	Atlanta Silverbacks	Atlanta Silverbacks	Carolina Railhawks	5/5/2007	18	Penalty	LGE			
Moore, Justin	Atlanta Silverbacks	Atlanta Silverbacks	Carolina Railhawks	5/5/2007	48		LGE	Rios-Rodriguez, Rodrigo		
Jones, Bret (Eric)	Cincinnati Kings	Crystal Palace Baltimore	Cincinnati Kings	5/5/2007	87		LGE	McCloskey, Kevin		
Odour, Moffat	Harrisburg City Islanders	Harrisburg City Islanders	Charlotte Eagles	5/5/2007	7		LGE	Ombiji, Brian		
Ombiji, Brian	Harrisburg City Islanders	Harrisburg City Islanders	Charlotte Eagles	5/5/2007	68		LGE	Schofield, David		
Fisher, Stephen	Harrisburg City Islanders	Harrisburg City Islanders	Charlotte Eagles	5/5/2007	70		LGE	Schofield, David		
Velten, Timothy	Harrisburg City Islanders	Harrisburg City Islanders	Charlotte Eagles	5/5/2007	90		LGE	Fisher, Stephen		
Ruud, Adam	Charlotte Eagles	Harrisburg City Islanders	Charlotte Eagles	5/5/2007	4		LGE	Coggins, Jacob		
Ruud, Adam	Charlotte Eagles	Harrisburg City Islanders	Charlotte Eagles	5/5/2007	36		LGE	Swinehart, Dustin		
Coggins, Jacob	Charlotte Eagles	Harrisburg City Islanders	Charlotte Eagles	5/5/2007	85		LGE	Ruud, Adam		
Gbeke, Charles	Montreal Impact	Miami FC	Montreal Impact	5/5/2007	69		LGE	Moojen, Frederico		
Knox, Nathan	Seattle Sounders	Seattle Sounders	Portland Timbers	5/5/2007	20		LGE	Gardner, Joshua		
Northup, Nathan	Wilmington Hammerheads	Wilmington Hammerheads	Richmond Kickers	5/5/2007	36		LGE	Holmes, Jamie		
Watson, Matthew	Richmond Kickers	Wilmington Hammerheads	Richmond Kickers	5/5/2007	89		LGE	Schramm, Frederick (Ricky)		
Schramm, Frederick (Ricky)	Richmond Kickers	Wilmington Hammerheads	Richmond Kickers	5/5/2007	77		LGE			
Willis, Jason	Western Mass Pioneers	Western Mass Pioneers	New Hampshire Phantoms	5/5/2007	49		LGE	Maciel, Everson		
Barbosa, Almir	New Hampshire Phantoms	Western Mass Pioneers	New Hampshire Phantoms	5/5/2007	26	Penalty	LGE			
Chin, Gordan	Charleston Battery	Charleston Battery	Rochester Rhinos	5/6/2007	3		LGE	Vercollone, Luke		
Menyongar, Johnny	Rochester Rhinos	Charleston Battery	Rochester Rhinos	5/6/2007	58		LGE			
Juarez, Frederico (Freddy)	Minnesota Thunder	Minnesota Thunder	Vancouver Whitecaps	5/6/2007	66		LGE			
Alberts, James (Jay)	Vancouver Whitecaps	Minnesota Thunder	Vancouver Whitecaps	5/6/2007	50		LGE	Kindel, Steve		
Klein, Steve	Vancouver Whitecaps	Minnesota Thunder	Vancouver Whitecaps	5/6/2007	88		LGE	Nash, Martin		
Holder, Laurence (Lloyd)	Bermuda Hogges	Bermuda Hogges	Cincinnati Kings	5/9/2007	47		LGE	Astwood, Stephen (Ste)		
McCloskey, Kevin	Cincinnati Kings	Bermuda Hogges	Cincinnati Kings	5/9/2007	4		LGE			
Jordan, Bryan	Portland Timbers	Portland Timbers	Seattle Sounders	5/11/2007	78		LGE			
Gregor, Andrew	Portland Timbers	Portland Timbers	Seattle Sounders	5/11/2007	87	Penalty	LGE			
Le Toux, Sebastian	Seattle Sounders	Portland Timbers	Seattle Sounders	5/11/2007	8		LGE	Levesque, Roger		
Levesque, Roger	Seattle Sounders	Portland Timbers	Seattle Sounders	5/11/2007	77		LGE	Le Toux, Sebastian		
Zapata, Alberto	Puerto Rico Islanders	Puerto Rico Islanders	Montreal Impact	5/11/2007	76		LGE	Herrera, Victor Manuel		
Moojen, Frederico	Montreal Impact	Puerto Rico Islanders	Montreal Impact	5/11/2007	43		LGE	Biello, Mauro		
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Wilmington Hammerheads	5/11/2007	13		LGE	Ruud, Adam		
