									
									



	16	2009-07-03	H	San Jose	1-1	D	5-6-5	own goal (Leitch) 91+	Nick Rimando, Chris Wingert (Raphael Cox 91+), Nat Borchers, Robbie Russell, Tony Beltran (Jamison Olave 72), Ned Grabavoy, Clint Mathis, Javier Morales, Andy Williams (Robbie Findley 62), Yura Movsisyan, Fabian Espindola (sent off 77)
	17	2009-07-18	A	Columbus	1-3	L	5-7-5	Cox 1 (Campos 3, Wingert 2) 76	Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran (Pablo Campos 46), Robbie Russell, Clint Mathis, Javier Morales, Ned Grabavoy, Yura Movsisyan, Robbie Findley (Raphael Cox 61).
	18	2009-07-24	H	Dallas	4-2	W	6-7-5	Movsisyan 5 (Johnson 2) 55; Findley 7 (penalty kick) 62; own goal (Torres) 88; Movsisyan 6 (unassisted) 93+	Nick Rimando, Robbie Russell (Tony Beltran 10), Nat Borchers, Jamison Olave, Chris Wingert, Ned Grabavoy (Yura Movsisyan 46), Javier Morales, Will Johnson, Clint Mathis (Andy Williams 91+), Robbie Findley, Fabian Espindola.
	19	2009-08-01	A	Chicago	0-1	L	6-8-5		Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran, Kyle Beckerman, Javier Morales, Will Johnson (Andy Williams 84), Clint Mathis, Yura Movsisyan (Robbie Findley 46), Fabian Espindola (Pablo Campos 76)
	20	2009-08-08	H	Seattle	1-0	W	7-8-5	Findley 8 (Rimando 1) 62	Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran, Kyle Beckerman, Javier Morales, Will Johnson, Clint Mathis (Rachid El Khalifi 67), Robbie Findley, Fabian Espindola (Pablo Campos 89).
	21	2009-08-15	H	Houston	0-0	D	7-8-6		Nick Rimando, Robbie Russell (Chris Wingert 83), Nat Borchers, Jamison Olave, Tony Beltran (Pablo Campos 86), Kyle Beckerman, Javier Morales, Will Johnson, Clint Mathis (sent off 47+), Robbie Findley, Fabian Espindola (Yura Movsisyan 65).
	22	2009-08-23	A	New England	1-3	L	7-9-6	own goal (Barnes) 85	Nick Rimando, Chris Wingert, Nat Borchers, Robbie Russell, Tony Beltran, Fabian Espindola, Kyle Beckerman (Ned Grabavoy 71), Will Johnson, Javier Morales (Andy Williams 13), Rachid El Khalifi (Pablo Campos 57), Robbie Findley.
	23	2009-08-26	H	Chivas USA	4-0	W	8-9-6	Campos 3 (Beckerman 2, Espindola 2) 43; Espindola 2 (unassisted) 75; Findley 9 (Wingert 3) 85; Findley 10 (Mathis 7) 90	Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran, Kyle Beckerman (Ned Grabavoy 78), Andy Williams, Will Johnson, Rachid El Khalifi (Clint Mathis 53), Pablo Campos (Robbie Findley 66), Fabian Espindola.
	24	2009-08-29	A	Kansas City	1-0	W	9-9-6	Campos 4 (Williams 2, Russell 2) 18	Chris Seitz, Chris Wingert, Nat Borchers, Jamison Olave, Robbie Russell, Kyle Beckerman, Andy Williams (Jean Alexandre 46), Ned Grabavoy (sent off 42), Raphael Cox (Fabian Espindola 72), Pablo Campos (Robbie Findley 56), Clint Mathis.
	25	2009-09-12	H	Chicago	1-1	D	9-9-7	Olave 3 (Williams 3) 72	Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran, Clint Mathis (Jean Alexandre 15) (Javier Morales 62), Andy Williams, Will Johnson, Robbie Findley, Pablo Campos (Yura Movsisyan 46), Fabian Espindola.
	26	2009-09-19	A	Houston	2-3	L	9-10-7	Beckerman 3 (Campos 4, Williams 4) 27; Movsisyan 7 (Campos 5) 60	Nick Rimando, Robbie Russell, Nat Borchers, Jamison Olave (sent off 32), Chris Wingert, Andy Williams (Yura Movsisyan 52), Kyle Beckerman, Will Johnson, Rachid El Khalifi (Javier Morales 46), Pablo Campos (Robbie Findley 61), Fabian Espindola.
	27	2009-09-26	A	Dallas	0-3	L	9-11-7		Nick Rimando, Chris Wingert, Nat Borchers, Robbie Russell, Tony Beltran, Robbie Findley, Kyle Beckerman, Javier Morales (Andy Williams 61), Will Johnson (Clint Mathis 61), Pablo Campos (Fabian Espindola 61), Yura Movsisyan,
	28	2009-10-14	H	New York	2-0	W	10-11-7	Williams 2 (Findley 3, Johnson 3) 80; Espindola 3 (unassisted) 90	Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran, Clint Mathis (Andy Williams 63), Kyle Beckerman, Javier Morales (Ned Grabavoy 82), Will Johnson, Yura Movsisyan (Robbie Findley 69), Fabian Espindola.
	29	2009-10-17	A	Toronto	0-1	L	10-12-7		Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran (Pablo Campos 76), Clint Mathis (Andy Williams 59), Kyle Beckerman, Javier Morales, Will Johnson, Fabian Espindola, Yura Movsisyan (Robbie Findley 59).
	30	2009-10-24	H	Colorado	3-0	W	11-12-7	Findley 11 (Espindola 3, Williams 5) 15; Findley 12 (Williams 6) 33; Movsisyan 8 (Morales 5) 85	Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran, Andy Williams (Ned Grabavoy 62), Kyle Beckerman, Javier Morales, Will Johnson, Robbie Findley (Yura Movsisyan 62), Fabian Espindola (Clint Mathis 72).

