1	Jarrod Smith	Toronto FC
2	Desmond Brooks	Chivas USA
3	Aaron Hohlbein	Kansas City Wizards
4	John DiRaimondo	Colorado Rapids
5	Steve Purdy	Los Angeles Galaxy
6	Randi Patterson	Red Bull New York
7	Nick Noble	Chicago Fire
8	Mark Totten	Chicago Fire
9	Sandi Gbandi	FC Dallas
10	Gordon Kljestan	Los Angeles Galaxy
11	Shawn Crowe	D.C. United
12	Phil Marfuggi	New England Revolution
13	Nick Hatzke	Houston Dynamo
14	Darryl Roberts	Toronto FC
15	Ryan Junge	Columbus Crew
16	Michael Todd	Kansas City Wizards
17	Haddon Kirk	Real Salt Lake
18	Kevin Long	Los Angeles Galaxy
19	Sal Caccavale	Red Bull New York
20	Erasmo Solorzano	Chivas USA
21	Osei Telesford	Chicago Fire
22	Zach Kirby	Los Angeles Galaxy
23	Tonci Skroce	Columbus Crew
24	Raul Batista	Chivas USA
25	Gary Flood	New England Revolution
26	Taylor Canel	Los Angeles Galaxy
27	Hunter West	Toronto FC
28	Jared Kent	Real Salt Lake
29	Chris Konopka	Kansas City Wizards
30	Eric Frimpong	Kansas City Wizards
31	Anthony Hamilton	Chivas USA
32	A. J. Godbolt	Kansas City Wizards
33	Lyle Martin	Chivas USA
34	Asmir Pervan	Chicago Fire
35	Kosuke Kimura	Colorado Rapids
36	Riley O'Neill	Colorado Rapids
37	Guy-Roland Kpene	D.C. United
38	Chris Loftus	New England Revolution
39	Erik Ustruck	Houston Dynamo
40	Tyler Hemming	Toronto FC
41	Ted Niziolek	Columbus Crew
42	Justin Douglass	Houston Dynamo
43	Kyle Reynish	Real Salt Lake
44	Kiel McClung	Los Angeles Galaxy
45	Chase Wileman	FC Dallas
46	Danny Cepero	Red Bull New York
47	Daniel Woolard	Chicago Fire
48	Michael Kraus	Kansas City Wizards
49	Dustin Kirby	Real Salt Lake
50	Kevin Burns	Columbus Crew
51	PASS	New England Revolution
52	Willy Guadarrama	Kansas City Wizards
