1	Nicola Caricola (D)	New York/New Jersey MetroStars
2	Edmundo Rodriguez (M)	New York/New Jersey MetroStars
3	Roberto Gonzales (M)	San Jose Clash
4	Evans Wise (M)	Tampa Bay Mutiny
5	Pat Harrington (GK)	Kansas City Wiz
6	Alberto Naveda (F)	New England Revolution
7	Chris Armas (M)	Los Angeles Galaxy
8	Mario Gori (D)	D.C. United
9	Dusty Hudock (GK)	Colorado Rapids
10	Paul Caligiuri (D)	Columbus Crew
11	Juninho (M)	New York/New Jersey MetroStars
12	Ken Hesse (D)	New York/New Jersey MetroStars
13	Michael Robles (M)	Columbus Crew
14	Vagner (D)	Dallas Burn
15	David Moxom (D)	Kansas City Wiz
16	Welton (F)	New England Revolution
17	David Vaudreuil (D)	Los Angeles Galaxy
18	Chad Ashton (M)	Dallas Burn
19	Richard Sharpe (F)	Colorado Rapids
20	Rob Smith (M)	Columbus Crew
21	Tulio (F)	New York/New Jersey MetroStars
22	Danny Barber (M)	New York/New Jersey MetroStars
23	James Woolridge (D)	San Jose Clash
24	Boniface Okafor (F)	Tampa Bay Mutiny
25	Paul Wright (F)	Kansas City Wiz
26	Zak Ibsen (D)	New England Revolution
27	Chugger Adair (F)	Los Angeles Galaxy
28	Jonny Walker (GK)	Dallas Burn
29	PASS	Colorado Rapids
30	Kevin East (GK)	Columbus Crew
