1	Omar Salgado	Vancouver Whitecaps FC
2	Darlington Nagbe	Portland Timbers
3	Perry Kitchen	D.C. United
4	Zarek Valentin	Chivas USA
5	Zac MacMath	Philadelphia Union
6	A. J. Soares	New England Revolution
7	Kofi Sarkodie	Houston Dynamo
8	Michael Nanchoff	Vancouver Whitecaps FC
9	Jalil Anibaba	Chicago Fire
10	C. J. Sapong	Sporting Kansas City
11	Will Bruin	Houston Dynamo
12	Rich Balchan	Columbus Crew
13	Corey Hertzog	New York Red Bulls
14	Víctor Estupiñán	Chivas USA
15	Justin Meram	Columbus Crew
16	Paolo Cardozo	Los Angeles Galaxy
17	Bobby Warshaw	FC Dallas
18	Eddie Ababio	Colorado Rapids
19	Jeb Brovsky	Vancouver Whitecaps FC
20	Michael Tetteh	Seattle Sounders FC
21	Leone Cruz	Seattle Sounders FC
22	Chris Taylor	Portland Timbers
23	Michael Farfan	Philadelphia Union
24	Stephen McCarthy	New England Revolution
25	John Rooney	New York Red Bulls
26	Demitrius Omphroy	Toronto FC
27	Servando Carrasco	Seattle Sounders FC
28	Cole Grossman	Columbus Crew
29	Bryan Meredith	Seattle Sounders FC
30	Tyler Lassiter	New York Red Bulls
31	Chris Korb	D.C. United
32	J. T. Murray	Sporting Kansas City
33	Anthony Ampaipitakwong	San Jose Earthquakes
34	Héctor Jiménez	Los Angeles Galaxy
35	Charlie Campbell	FC Dallas
36	Colin Givens	Colorado Rapids
37	Bilal Duckett	Vancouver Whitecaps FC
38	Billy Cortes	New York Red Bulls
39	Steven Perry	New England Revolution
40	Jon Okafor	Chivas USA
41	Levi Houapeu	Philadelphia Union
42	Ryan Kinne	New England Revolution
43	Matt Gold	Toronto FC
44	Efrain Burgos, Jr.	Toronto FC
45	Jason Herrick	Chicago Fire
46	Konrad Warzycha	Sporting Kansas City
47	Alex Caskey	Seattle Sounders FC
48	Bernardo Anor	Columbus Crew
49	Joao Plata	Toronto FC
50	Joe Willis	D.C. United
51	Davis Paul	Chicago Fire
52	Jarad Van Schaik	Real Salt Lake
53	Scott Gordon	FC Dallas
54	Alan Koger	New England Revolution
