1	Steven Rhyne (M)	Real Salt Lake
2	Javier Barragan (GK)	C.D. Chivas USA
3	Justin Cook (F)	Chicago Fire
4	Kevin Wilson (M)	FC Dallas
5	Brett Rodriguez (D)	San Jose Earthquakes
6	Jason Hernandez (D)	MetroStars
7	Sasha Gotsmanov (F)	Colorado Rapids
8	Matt Oliver (D)	Columbus Crew
9	Bill Gaudette (GK)	Columbus Crew
10	Benjamin Benditson (D)	Los Angeles Galaxy
11	Edwin Ruiz (F)	Kansas City Wizards
12	Matt Nickell (F)	D.C. United
13	Mike Lookingland (D)	Real Salt Lake
14	Helmis Matute (M)	C.D. Chivas USA
15	David Mahoney (GK)	Chicago Fire
16	Abe Thompson (F)	FC Dallas
17	Jamie Holmes (F)	New England Revolution
18	Robby Fulton (GK)	San Jose Earthquakes
19	Drew McAthy (F)	Los Angeles Galaxy
20	Eric Vasquez (M)	Columbus Crew
21	Ryan Latham (F)	New England Revolution
22	Matt Kovar (D)	Los Angeles Galaxy
23	Aaron Pitchkolan (D)	FC Dallas
24	Drew Cavanagh (D)	FC Dallas
25	Noah Palmer (GK)	Real Salt Lake
26	Mike Munoz (M)	C.D. Chivas USA
27	Chris Karcz (M)	Chicago Fire
28	Chris Schwarze (D)	FC Dallas
29	Noah Merl (D)	San Jose Earthquakes
30	Patrick Hannigan (GK)	MetroStars
31	Eugene Sepuya (F)	Colorado Rapids
32	Ryan Kelly (D)	Columbus Crew
33	Easton Wilson (M)	New England Revolution
34	Ryan Shaw (F)	Los Angeles Galaxy
35	Doug Lascody (M)	Kansas City Wizards
36	Andrew Terris (GK)	D.C. United
37	Cameron Knowles (D)	Real Salt Lake
38	Dan Kennedy (GK)	C.D. Chivas USA
39	Hollis Ryan Donalson (D)	Chicago Fire
40	Sammy Tamporello (M)	FC Dallas
41	Chris Wondolowski (M)	San Jose Earthquakes
42	Usiel Vasquez (F)	MetroStars
43	Dan Gargan (D)	Colorado Rapids
44	Chris Lee (F)	Columbus Crew
45	Jeff Larentowicz (D)	New England Revolution
46	Jeremiah Gallegos (F)	Los Angeles Galaxy
47	Ryan Caugherty (D)	Kansas City Wizards
48	Shawn Kuykendall (M)	D.C. United
