122	Josh McKay (D)	Colorado Rapids
123	Jimmy Glenn (F)	Dallas Burn
124	Brad Wilson (M)	Los Angeles Galaxy
125	Geoff Aunger (M)	New England Revolution
126	Billy Baumhoff (D)	Kansas City Wiz
127	Zen Luzniak (M)	Tampa Bay Mutiny
128	Rafael Amaya (D)	San Jose Clash
129	Andrew Restrepo (D)	New York/New Jersey MetroStars
130	Matthew Olson (GK)	D.C. United
131	Laurence Piturro (D)	Columbus Crew
132	Khalil Azmi (GK)	Colorado Rapids
133	Steve Keller (M)	Dallas Burn
134	David Beall (M)	Los Angeles Galaxy
135	Antonio Superbia (M)	New England Revolution
136	Terry Woodberry (D)	Kansas City Wiz
137	Scott Budnick (GK)	Tampa Bay Mutiny
138	Tom Liner (GK)	San Jose Clash
139	Nidal Baba (M)	New York/New Jersey MetroStars
140	Sterling Wescott (F)	D.C. United
141	Todd Haskins (M)	Columbus Crew
142	Brian Hurley (M)	Colorado Rapids
143	Ed Puskarich (D)	Dallas Burn
144	Garfield Shaw (F)	Los Angeles Galaxy
145	Derk Droze (F)	New England Revolution
146	Samuel Ekeme (D)	Kansas City Wiz
147	Goran Hunjak (F)	Tampa Bay Mutiny
148	Carlos Farias (F)	San Jose Clash
149	Jorge Acosta (F)	New York/New Jersey MetroStars
150	Garth Lagerwey (GK)	D.C. United
151	Manny Catano (M)	Columbus Crew
152	Joel Shanker (M)	Colorado Rapids
153	Gabriel Gentile (M)	Dallas Burn
154	Carlos Jaguande (M)	Los Angeles Galaxy
155	Jorge Olamendi (M)	New England Revolution
156	Ken Snow (F)	Kansas City Wiz
157	Greg Lalas (M)	Tampa Bay Mutiny
158	Kevin Grimes (M)	San Jose Clash
159	Walter Bustamante (M)	New York/New Jersey MetroStars
160	Carlos Garcia (M)	D.C. United
