1	Freddy Adu (F)	D.C. United
2	Chad Marshall (D)	Columbus Crew
3	Joseph Ngwenya (F)	Los Angeles Galaxy
4	Matt Taylor (F)	Kansas City Wizards
5	Ryan Cochrane (D)	San Jose Earthquakes
6	Ramon Nuñez (M)	Dallas Burn
7	Clarence Goodson (D)	Dallas Burn
8	Clint Dempsey (M)	New England Revolution
9	Scott Buete (M)	Chicago Fire
10	Steve Cronin (GK)	San Jose Earthquakes
11	Leonard Griffin (D)	Chicago Fire
12	Chris Wingert (D)	Columbus Crew
13	Josh Gardner (M)	Los Angeles Galaxy
14	Ned Grabavoy (M)	Los Angeles Galaxy
15	Adolfo Gregorio (M)	Colorado Rapids
16	Adrian Cann (D)	Colorado Rapids
17	Will Hesmer (GK)	Kansas City Wizards
18	Seth Stammler (D)	MetroStars
19	Matt Pickens (GK)	Chicago Fire
20	Sumed Ibrahim (M)	Chicago Fire
21	Zach Wells (GK)	MetroStars
22	Memo Arzate (M)	Los Angeles Galaxy
23	Jeremiah White (F)	New England Revolution
24	Kevin Ara (M)	D.C. United
25	Kevin Taylor (D)	Colorado Rapids
26	Olivier Occean (F)	MetroStars
27	Mike Wilson (M)	San Jose Earthquakes
28	Khari Stephenson (M)	Chicago Fire
29	Ty Maurin (M)	Dallas Burn
30	Lindon Pecorelli (M)	San Jose Earthquakes
31	David Wagenfuhr (D)	Dallas Burn
32	Jamal Sutton (F)	Columbus Crew
33	David McGill (M)	Los Angeles Galaxy
34	Josh Gros (M)	D.C. United
35	Kevin Richards (D)	Colorado Rapids
36	Michael Bradley (M)	MetroStars
37	Jay Alberts (M)	Kansas City Wizards
38	Denny Clanton (D)	Chicago Fire
39	Phil Hucles (D)	Chicago Fire
40	Marin Pusek (M)	San Jose Earthquakes
41	Adom Crew (M)	Columbus Crew
42	Luke Vercollone (M)	Columbus Crew
43	Jason Perry (D)	Los Angeles Galaxy
44	Kevin Hudson (M)	D.C. United
45	Gary Sullivan (D)	Colorado Rapids
46	Johnny David (M)	MetroStars
47	Justin Detter (F)	Kansas City Wizards
48	Ryan Barber (D)	Kansas City Wizards
49	Ian Pilarski (M)	Chicago Fire
50	Tighe Dombrowski (M)	San Jose Earthquakes
51	Ryan McGowan (M)	Chicago Fire
52	Matthew Haefner (GK)	Columbus Crew
53	Alan Gordon (F)	Los Angeles Galaxy
54	Edwin Miranda (D)	Dallas Burn
55	John Pulido (M)	Colorado Rapids
56	Felix Brillant (F)	New England Revolution
57	Chris Aloisi (D)	Los Angeles Galaxy
58	Andy Dorman (M)	New England Revolution
59	Tony McManus (D)	Chicago Fire
60	Jeff Parke (D)	MetroStars
