1	Chance Myers	Kansas City Wizards[1]
2	Brek Shea	FC Dallas[2]
3	Tony Beltran	Real Salt Lake
4	Sean Franklin	Los Angeles Galaxy
5	Ciaran O'Brien	Colorado Rapids
6	Andy Iro	Columbus Crew
7	Patrick Nyarko	Chicago Fire[3]
8	Josh Lambo	FC Dallas
9	Julius James	Toronto FC[4]
10	Pat Phelan	Toronto FC[5]
11	Roger Espinoza	Kansas City Wizards
12	Dominic Cervi	Chicago Fire
13	Rob Valentino	New England Revolution
14	David Horst	Real Salt Lake[6]
15	Shea Salinas	San Jose Earthquakes
16	Eric Brunner	Red Bull New York[7]
17	Alex Nimo	Real Salt Lake
18	Michael Videira	New England Revolution[8]
19	Eric Avila	FC Dallas[9]
20	George Josten	Columbus Crew
21	Ely Allen	Los Angeles Galaxy[10]
22	Ricardo Pierre-Louis	Columbus Crew[11]
23	Yomby William	Kansas City Wizards[12]
24	Andrew Jacobson	D.C. United
25	Jonathan Leathers	Kansas City Wizards[13]
26	Peter Lowry	Chicago Fire
27	Joe Germanese	New England Revolution
28	Brian Edwards	Toronto FC[14]
29	Julian Valentin	Los Angeles Galaxy[15]
30	Mike Zaher	Toronto FC
31	Ryan Miller	Columbus Crew[16]
32	Luke Sassano	Red Bull New York[17]
33	Ryan Cordeiro	D.C. United[18]
34	Matt Allen	Los Angeles Galaxy[19]
35	Joseph Lapira	Toronto FC[20]
36	Adrian Chevannes	Colorado Rapids[21]
37	Brennan Tennelle	Real Salt Lake[22]
38	Dwight Barnett	Chicago Fire[23]
39	Matt Marquess	Kansas City Wizards
40	Stephen King	Chicago Fire
41	Matt Britner	New England Revolution
42	Geoff Cameron	Houston Dynamo
43	Keith Savage	Chivas USA[24]
44	David Roth	Red Bull New York[25]
45	Jamil Roberts	FC Dallas[26]
46	Brandon McDonald	Los Angeles Galaxy
47	Brian Grazier	Colorado Rapids
48	Steven Lenhart	Columbus Crew
49	Scott Campbell	Colorado Rapids[27]
50	Ben Nason	FC Dallas
51	Matt Hatzke	Los Angeles Galaxy[28]
52	Tony Schmitz	D.C. United
53	Rauwshan McKenzie	Kansas City Wizards
54	Austin Washington	Chicago Fire
55	Spencer Wadsworth	New England Revolution
56	Jeremy Barlow	Houston Dynamo
