1	Philadelphia Union	Danny Mwanga
2	New York Red Bulls	Tony Tchani
3	San Jose Earthquakes	Ike Opara
4	Kansas City Wizards	Teal Bunbury
5	FC Dallas	Zach Loyd
6	Philadelphia Union	Amobi Okugo
7	Philadelphia Union	Jack McInerney
8	Columbus Crew	Dilly Duka
9	New England Revolution	Zack Schilawski
10	C.D. Chivas USA	Blair Gavin
11	Seattle Sounders FC	David Estrada
12	Columbus Crew	Bright Dike
13	Chicago Fire S.C.	Corben Bone
14	New York Red Bulls	Austin da Luz
15	Real Salt Lake	Collen Warner
16	Los Angeles Galaxy	Michael Stephens
17	Philadelphia Union	Toni Ståhl
18	New York Red Bulls	Tim Ream
19	San Jose Earthquakes	Michael Thomas
20	Kansas City Wizards	Olukorede Aiyegbusi
21	FC Dallas	Andrew Wiedeman
22	Colorado Rapids	Andre Akpan
23	Colorado Rapids	Ross LaBauex
24	Toronto FC	Zachary Herold
25	New England Revolution	Seth Sinovic
26	Chicago Fire	Kwame Watson-Siriboe
27	Seattle Sounders FC	Mike Seamon
28	San Jose Earthquakes	Justin Morrow
29	Chicago Fire	Drew Yates
30	San Jose Earthquakes	Steven Beitashour
31	New England Revolution	Zak Boggs
32	Real Salt Lake	Justin Davis
33	Philadelphia Union	Kyle Nakazawa
34	New York Red Bulls	Conor Chinn
35	Chivas USA	Kevin Tangney
36	Kansas City Wizards	Nick Cardenas
37	San Jose Earthquakes	Andrew Hoxie
38	FC Dallas	Jason Yeisley
39	Real Salt Lake	Chris Schuler
40	Colorado Rapids	Chad Borak
41	Kansas City Wizards	Mauro Fuzetti
42	C.D. Chivas USA	Isaac Kissi
43	Houston Dynamo	David Walker
44	FC Dallas	Eric Alexander
45	Chicago Fire	Steven Kinney
46	Houston Dynamo	Samuel Appiah
47	C.D. Chivas USA	Ben Zemanski
48	New England Revolution	Jason Griffiths
49	Philadelphia Union	Brian Perk
50	New York Red Bulls	Irving Garcia
51	Chicago Fire	Sean Johnson
52	Kansas City Wizards	Ofori Sarkodie
53	Toronto FC	Nane Joseph
54	FC Dallas	Dane Saintus
55	D.C. United	Jordan Graye
56	Colorado Rapids	Chris Cutshaw
57	New England Revolution	Adam Welch
58	C.D. Chivas USA	Chris Ross
59	Seattle Sounders FC	Jamel Wallace
60	Columbus Crew	Kwaku Nyamekye
61	Columbus Crew	Othaniel Yanez
62	Houston Dynamo	Euan Holden
63	Columbus Crew	Shaun Francis
64	Real Salt Lake	Kris Banghart
