Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Kreis, Jason	Dallas Burn	Palestino - Chile	Dallas Burn	3/25/2003	65	Penalty	FDLY			
Franca, Bruno	Dallas Burn	Palestino - Chile	Dallas Burn	3/25/2003	71		FDLY			
O'Brien, Ronnie	Dallas Burn	Palestino - Chile	Dallas Burn	3/25/2003	88		FDLY			
Doyle, John	San Jose Earthquakes	Necaxa - Mexico	San Jose Earthquakes	12/13/2000	7		FDLY	Bower, Scott		
Convey, Bobby	DC United	DC United	CD Aguila - El Salvador	10/26/2002	9		FDLY	Quintanilla, Elieso		
Moreno, Jaime	DC United	DC United	CD Aguila - El Salvador	10/26/2002	61		FDLY	Quintanilla, Elieso		
Moreno, Jaime	DC United	DC United	CD Aguila - El Salvador	10/26/2002	62		FDLY	Villegas, Petter		
Lassiter, Roy	DC United	DC United	CD Aguila - El Salvador	10/26/2002	80		FDLY	Curtis, Ali		
Peart, O'Neil	MetroStars	MetroStars	Fylkir - Iceland	2/17/2001	43		FDLY			
Comas, Alex	MetroStars	MetroStars	Fylkir - Iceland	2/17/2001	57		FDLY	Ramos, Tab		
