Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Da Silva, Nino	US Project 40	Sheffield Wednesday - England	US Project 40	12/8/1998	8		FDLY			
Jolley, Steve	US Project 40	Sheffield Wednesday - England	US Project 40	12/8/1998	71		FDLY			
Jolley, Steve	US Project 40	Sheffield United - England	US Project 40	12/19/1998	32		FDLY			
Vermillion, Scott	US Project 40	Sheffield United - England	US Project 40	12/19/1998	50		FDLY			
Jolley, Steve	US Project 40	Everton - England	US Project 40	12/16/1998	55		FDLY			
Kotschau, Ritchie	US Project 40	Everton - England	US Project 40	12/16/1998	75		FDLY			
Moreno, Jaime	DC United	DC United	Ikast - Denmark	3/1/1998	4		FDLY	Sanneh, Tony		
Moreno, Jaime	DC United	DC United	Ikast - Denmark	3/1/1998	64		FDLY	Wood, AJ		
Slivinski, Mike	DC United	DC United	Ikast - Denmark	3/1/1998	78		FDLY	Sanneh, Tony		
Sanneh, Tony	DC United	DC United	Ikast - Denmark	3/1/1998	89		FDLY			
Paule, Ross	US Project 40	Sunderland - England	US Project 40	12/11/1998	13		FDLY			
Nowak, Peter	Chicago Fire	Atlas - Mexico	Chicago Fire	2/26/1998	59		FDLY			
