Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Northern Virginia Royals	4/15/2005	5		LGE	Coggins, Jacob		
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Northern Virginia Royals	4/15/2005	24		LGE	Coggins, Jacob		
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Northern Virginia Royals	4/15/2005	47		LGE	Faro, Aaron		
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Northern Virginia Royals	4/15/2005	60		LGE			
Casey, Sam	Charlotte Eagles	Charlotte Eagles	Northern Virginia Royals	4/15/2005	70		LGE	Swinehart, Dustin		
Daka, Patrick	Charlotte Eagles	Charlotte Eagles	Northern Virginia Royals	4/15/2005	80		LGE	Watkins, Nathan		
Harvey, Daniel	Charlotte Eagles	Charlotte Eagles	Northern Virginia Royals	4/15/2005	82		LGE	Watkins, Nathan		
Jeffrey, Kevin	Richmond Kickers	Richmond Kickers	Atlanta Silverbacks	4/16/2005	37		LGE			
Delicate, Matthew	Richmond Kickers	Richmond Kickers	Atlanta Silverbacks	4/16/2005	72		LGE			
Delicate, Matthew	Richmond Kickers	Richmond Kickers	Atlanta Silverbacks	4/16/2005	74		LGE	Knight, Kevin		
Rios-Rodriguez, Rodrigo	Atlanta Silverbacks	Richmond Kickers	Atlanta Silverbacks	4/16/2005	39	Penalty	LGE			
Miller, Ryan	Wilmington Hammerheads	Wilmington Hammerheads	Northern Virginia Royals	4/16/2005	7		LGE	Gledhill, James		
Gledhill, James	Wilmington Hammerheads	Wilmington Hammerheads	Northern Virginia Royals	4/16/2005	11	Penalty	LGE			
Hufstader, Philip	Wilmington Hammerheads	Wilmington Hammerheads	Northern Virginia Royals	4/16/2005	32		LGE	Gledhill, James		
Budnyy, Andriy	Cascade Surge	Abbotsford Rangers	Cascade Surge	5/7/2005	65		LGE	Clark, Matthew		
Clark, Matthew	Cascade Surge	Abbotsford Rangers	Cascade Surge	5/7/2005	90		LGE	Budnyy, Andriy		
Dawkins, Fabian	Atlanta Silverbacks	Virginia Beach Mariners	Atlanta Silverbacks	4/17/2005	63		LGE	Pineda-Chacon, Alex		
Dawkins, Fabian	Atlanta Silverbacks	Virginia Beach Mariners	Atlanta Silverbacks	4/17/2005	71		LGE	Stone, Kristopher		
Fiore, Salvator	Cincinnati Kings	Northern Virginia Royals	Cincinnati Kings	4/22/2005	19		LGE	Hughes, Jeffrey		
Caldwell, Jon	Cincinnati Kings	Northern Virginia Royals	Cincinnati Kings	4/22/2005	37		LGE	Rhodis, Craig		
Kithas, George	Cincinnati Kings	Northern Virginia Royals	Cincinnati Kings	4/22/2005	58		LGE			
Cummings, John (Jack)	Cincinnati Kings	Northern Virginia Royals	Cincinnati Kings	4/22/2005	82		LGE			
Sobers, Travis	Cincinnati Kings	Northern Virginia Royals	Cincinnati Kings	4/22/2005	89		LGE	McCloskey, Kevin		
Delicate, Matthew	Richmond Kickers	Richmond Kickers	Virginia Beach Mariners	4/22/2005	53		LGE	Jeffrey, Kevin		
Worthen, Joey	Richmond Kickers	Richmond Kickers	Virginia Beach Mariners	4/22/2005	60		LGE	Jeffrey, Kevin		
