Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Beasley, Jamar	US Pro 40	Orange County Waves	US Pro 40	4/9/2000	78		LGE	Lavrinenko, Yuri		
Iotov, Velko	Charleston Battery	Atlanta Silverbacks	Charleston Battery	4/15/2000	84		LGE	Akin, Jon		
Suarez, Cuauhtemoc (Temoc)	Charleston Battery	Atlanta Silverbacks	Charleston Battery	4/15/2000	55		LGE			
Georgiev, Bisser	El Paso Patriots	El Paso Patriots	US Pro 40	4/15/2000	51		LGE			
Georgiev, Bisser	El Paso Patriots	El Paso Patriots	US Pro 40	4/15/2000	5	Penalty	LGE			
Griego, Michael	El Paso Patriots	El Paso Patriots	US Pro 40	4/15/2000	28		LGE			
Rowland, Mark	El Paso Patriots	El Paso Patriots	US Pro 40	4/15/2000	72		LGE			
Martinez, Antonio	US Pro 40	El Paso Patriots	US Pro 40	4/15/2000	58		LGE			
Beasley, Jamar	US Pro 40	El Paso Patriots	US Pro 40	4/15/2000	12		LGE			
Legg, Kevin	San Diego Flash	San Diego Flash	Boston Bulldogs	4/15/2000	62		LGE	Banks, David		
Watson, Jerome	San Diego Flash	San Diego Flash	Boston Bulldogs	4/15/2000	86		LGE	Hetherington, Nate		
Franklin, Sam	Boston Bulldogs	San Diego Flash	Boston Bulldogs	4/15/2000	3		LGE	Poltl, Thomas		
Leal-Gustavo, Oscar	Orange County Waves	Orange County Waves	Boston Bulldogs	4/16/2000	56		LGE	Boyce, Jason		
Patterson, Steve	Orange County Waves	Orange County Waves	Boston Bulldogs	4/16/2000	15		LGE	Polowski, PJ		
Grant, Stephen	Boston Bulldogs	Orange County Waves	Boston Bulldogs	4/16/2000	46		LGE	Phillips, Sullivan		
Jeffrey, Kevin	Bay Area Seals	Bay Area Seals	Indiana Blast	4/21/2000	89		LGE	Duncan, Todd		
Boyce, Jason	Orange County Waves	San Diego Flash	Orange County Waves	4/21/2000	85		LGE			
Polowski, PJ	Orange County Waves	San Diego Flash	Orange County Waves	4/21/2000	5		LGE	Boyce, Jason		
Boyce, Jason	Orange County Waves	San Diego Flash	Orange County Waves	4/21/2000	27		LGE			
Ilarianov, Ivailo	Charleston Battery	Charleston Battery	Atlanta Silverbacks	4/22/2000	94		LGE	Warham, Darren		
Martinez, Saul	Hampton Roads Mariners	Hampton Roads Mariners	Richmond Kickers	4/22/2000	80		LGE			
Martinez, Saul	Hampton Roads Mariners	Hampton Roads Mariners	Richmond Kickers	4/22/2000	79		LGE	Kraemer, Steve		
Dumitru, Mugurel	San Diego Flash	Orange County Waves	San Diego Flash	4/22/2000	43		LGE			
Alegre-Ramirez, Mauricio	San Diego Flash	Orange County Waves	San Diego Flash	4/22/2000	16		LGE	Dumitru, Mugurel		
Weinstein, Cordt	Long Island Rough Riders	Long Island Rough Riders	Boston Bulldogs	4/26/2000	73		LGE	Leon-Penaranda, Daniel		
Buddle, Edson	Long Island Rough Riders	Long Island Rough Riders	Boston Bulldogs	4/26/2000	63		LGE	Weinstein, Cordt		
Keegan, Paul	Boston Bulldogs	Long Island Rough Riders	Boston Bulldogs	4/26/2000	90		LGE	Brooks, Paul		
De Rosario, Dwayne	Richmond Kickers	Richmond Kickers	Connecticut Wolves	4/28/2000	30		LGE	Ukrop, Rob		
Donohue, Keith	Richmond Kickers	Richmond Kickers	Connecticut Wolves	4/28/2000	24		LGE	De Rosario, Dwayne		
Oliveira, Pedro Paul	Connecticut Wolves	Richmond Kickers	Connecticut Wolves	4/28/2000	90		LGE	Fernandes, Fernando		
Martinez, Saul	Hampton Roads Mariners	Hampton Roads Mariners	Connecticut Wolves	4/29/2000	9		LGE	Ribeiro, Anselmo (Jair)		
Moleka, Ignace (Iggy)	Atlanta Silverbacks	Atlanta Silverbacks	Raleigh Capital Express	4/29/2000	80		LGE	Alvarez, Daniel		
Moleka, Ignace (Iggy)	Atlanta Silverbacks	Atlanta Silverbacks	Raleigh Capital Express	4/29/2000	82		LGE	Piesner, Brian		
Soto, Tony	Atlanta Silverbacks	Atlanta Silverbacks	Raleigh Capital Express	4/29/2000	61		LGE			
Bonseu, Tenywa	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Toronto Lynx	4/29/2000	70	Penalty	LGE			
DiPlacido, David	Toronto Lynx	Pittsburgh Riverhounds	Toronto Lynx	4/29/2000	72		LGE	Ashton, Brian		
Schenkel, Doug	Tennessee Rhythm	Tennessee Rhythm	Indiana Blast	4/29/2000	29		LGE	Ziyenge, Lincoln		
Rebuck, Daniel	Tennessee Rhythm	Tennessee Rhythm	Indiana Blast	4/29/2000	106		LGE	Kinturi, Pasi		
Ogden, Matthew	Indiana Blast	Tennessee Rhythm	Indiana Blast	4/29/2000	1		LGE	Baah, Peter		
Dos Santos, Paulo	Boston Bulldogs	Boston Bulldogs	Connecticut Wolves	5/5/2000	73		LGE	Grant, Stephen		
Vasquez-Martinez, Jose	Orange County Waves	Orange County Waves	US Pro 40	5/7/2000	29	Penalty	LGE			
Longo, Mario	US Pro 40	Orange County Waves	US Pro 40	5/7/2000	90		LGE	Sahaydak, Tim		
Rodriguez, Esmundo	US Pro 40	Orange County Waves	US Pro 40	5/7/2000	82		LGE	Wilson, John		
McCreath, Anthony	Long Island Rough Riders	Long Island Rough Riders	Connecticut Wolves	5/6/2000	0		LGE			
Rudolph, Daniel	Connecticut Wolves	Long Island Rough Riders	Connecticut Wolves	5/6/2000	41		LGE			
Jordan, Jason	Vancouver 86ers	Vancouver 86ers	Seattle Sounders	5/6/2000	72		LGE	Dailly, Paul		
Jordan, Jason	Vancouver 86ers	Vancouver 86ers	Seattle Sounders	5/6/2000	25		LGE	Dailly, Paul		
Sawatzky, Darren	Seattle Sounders	Vancouver 86ers	Seattle Sounders	5/6/2000	58		LGE			
Sawatzky, Darren	Seattle Sounders	Vancouver 86ers	Seattle Sounders	5/6/2000	38		LGE			
Gregor, Andrew	Seattle Sounders	Vancouver 86ers	Seattle Sounders	5/6/2000	39		LGE			
Gregor, Andrew	Seattle Sounders	Vancouver 86ers	Seattle Sounders	5/6/2000	23		LGE	Howes, Gregory		
Medved, Shawn	Bay Area Seals	Bay Area Seals	Orange County Waves	5/6/2000	56	Penalty	LGE			
Edwards, Ryan	Bay Area Seals	Bay Area Seals	Orange County Waves	5/6/2000	36		LGE	Baicher, Jeff		
White, Marquis	Bay Area Seals	Bay Area Seals	Orange County Waves	5/6/2000	84		LGE	Weiss, Simon		
Baicher, Jeff	Bay Area Seals	Bay Area Seals	Orange County Waves	5/6/2000	71		LGE	Edwards, Ryan		
Dancy, Jake	Orange County Waves	Bay Area Seals	Orange County Waves	5/6/2000	35		LGE	Theslof, Nick		
Baena, Mark	San Diego Flash	San Diego Flash	Minnesota Thunder	5/6/2000	89		LGE			
Baena, Mark	San Diego Flash	San Diego Flash	Minnesota Thunder	5/6/2000	64		LGE	Farias, Carlos		
Zeba, Morgan	Minnesota Thunder	San Diego Flash	Minnesota Thunder	5/6/2000	24		LGE	Menyongar, Johnny		
Labastida, Luis	Minnesota Thunder	San Diego Flash	Minnesota Thunder	5/6/2000	41		LGE			
Schneider, Paul	Minnesota Thunder	San Diego Flash	Minnesota Thunder	5/6/2000	72		LGE	Mladenov, Stoian		
Leonard, Tim	Hershey Wildcats	Raleigh Capital Express	Hershey Wildcats	5/7/2000	85		LGE	Henning, Mike		
