Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
St. Louis, Terry	Toronto Lynx	Toronto Lynx	Hershey Wildcats	8/31/1997	88		LGE	Parry, Ben		
D'Ambra, Don	Hershey Wildcats	Toronto Lynx	Hershey Wildcats	8/31/1997	14		LGE	Tschantret, Lee		
Feniger, Mike	Hershey Wildcats	Toronto Lynx	Hershey Wildcats	8/31/1997	34		LGE	Fairchild, Nate		
Longenecker, Brent	Hershey Wildcats	Toronto Lynx	Hershey Wildcats	8/31/1997	70		LGE	Tschantret, Lee		
Zoric, Sasa	Hershey Wildcats	Toronto Lynx	Hershey Wildcats	8/31/1997	93	Penalty	LGE			
Barbieri, Erik	Connecticut Wolves	Connecticut Wolves	Worcester Wildfire	8/31/1997	30		LGE	Coxon, Steve		
Wright, Hector	Connecticut Wolves	Connecticut Wolves	Worcester Wildfire	8/31/1997	50		LGE			
Hickey, Ben	Connecticut Wolves	Connecticut Wolves	Worcester Wildfire	8/31/1997	60		LGE	Barbieri, Erik		
Wright, Hector	Connecticut Wolves	Connecticut Wolves	Worcester Wildfire	8/31/1997	90		LGE	McDermott, Michael (Mick)		
Roberto, Marcos	Atlanta Ruckus	Atlanta Ruckus	California Jaguars	9/1/1997	38		LGE	Jacinto, Carlos		
Ayegbaroju, Adeola	Atlanta Ruckus	Atlanta Ruckus	California Jaguars	9/1/1997	59		LGE	Suri, Mo		
Watson, Jerome	California Jaguars	Atlanta Ruckus	California Jaguars	9/1/1997	84		LGE	Mann, Randy		
Watson, Jerome	California Jaguars	Atlanta Ruckus	California Jaguars	9/1/1997	90		LGE	Ibsen, Zak		
Baena, Mark	California Jaguars	Atlanta Ruckus	California Jaguars	9/1/1997	104		LGE	Collins, Ryan		
Schmetzer, Andy	Charleston Battery	Charleston Battery	Carolina Dynamo	9/1/1997	40		LGE	Carithers, Chad		
Loftin, Brian	Carolina Dynamo	Charleston Battery	Carolina Dynamo	9/1/1997	38		LGE	Hamid, Ayman		
Care, Danny	Carolina Dynamo	Charleston Battery	Carolina Dynamo	9/1/1997	44		LGE	Allnutt, Yari		
Hamid, Ayman	Carolina Dynamo	Charleston Battery	Carolina Dynamo	9/1/1997	57		LGE	Loftin, Brian		
Loftin, Brian	Carolina Dynamo	Charleston Battery	Carolina Dynamo	9/1/1997	58		LGE	Haupt, Jason		
Kennel, Chris	Rochester Rhinos	Rochester Rhinos	Toronto Lynx	9/1/1997	9		LGE	Phelps, Jason		
Daligcon, Nate	Rochester Rhinos	Rochester Rhinos	Toronto Lynx	9/1/1997	70		LGE	Schmidt, Brad		
Miller, Doug	Rochester Rhinos	Rochester Rhinos	Toronto Lynx	9/1/1997	77		LGE	Tomaro, Paul		
St. Louis, Terry	Toronto Lynx	Rochester Rhinos	Toronto Lynx	9/1/1997	63		LGE			
Stalteri, Paul	Toronto Lynx	Rochester Rhinos	Toronto Lynx	9/1/1997	89		LGE	Parry, Ben		
Duguid, John	Jacksonville Cyclones	Jacksonville Cyclones	Toronto Lynx	4/12/1997	38		LGE	Fitzsimons, Stuart		
Fitzsimons, Stuart	Jacksonville Cyclones	Jacksonville Cyclones	Toronto Lynx	4/12/1997	56		LGE	Valle, Dion		
Ledesma, Carlos	Jacksonville Cyclones	Jacksonville Cyclones	Toronto Lynx	4/12/1997	69		LGE	McKnight, Ben		
Thomas, Elvis	Toronto Lynx	Jacksonville Cyclones	Toronto Lynx	4/12/1997	80		LGE	Centurione, Luca		
Allnutt, Yari	Carolina Dynamo	Carolina Dynamo	Raleigh Flyers	4/12/1997	18		LGE	Chan, Robin		
Hunter, Mike	Raleigh Flyers	Carolina Dynamo	Raleigh Flyers	4/12/1997	15		LGE			
Siikala, Toni	Raleigh Flyers	Carolina Dynamo	Raleigh Flyers	4/12/1997	40		LGE			
Rooney, Jim	Long Island Rough Riders	Orlando Sundogs	Long Island Rough Riders	4/18/1997	9		LGE	Riley, Paul		
Navarino, Joe	Long Island Rough Riders	Orlando Sundogs	Long Island Rough Riders	4/18/1997	41		LGE	Price, David		
Mann, Randy	California Jaguars	California Jaguars	El Paso Patriots	4/18/1997	35		LGE	Ibsen, Zak		
Ibsen, Zak	California Jaguars	California Jaguars	El Paso Patriots	4/18/1997	70		LGE			
Kusch, Garrett	Vancouver 86ers	Seattle Sounders	Vancouver 86ers	4/12/1997	47		LGE	Skinner, Jeff		
Earl, Dion	Seattle Sounders	Vancouver 86ers	Seattle Sounders	4/18/1997	40		LGE	Adair, Chugger		
Castillo, Juan	Charleston Battery	Charleston Battery	Toronto Lynx	4/19/1997	10		LGE			
Boisson, Alvin	Charleston Battery	Charleston Battery	Toronto Lynx	4/19/1997	20		LGE			
St. Louis, Terry	Charleston Battery	Charleston Battery	Toronto Lynx	4/19/1997	41		LGE			
Hoffman, David	Charleston Battery	Charleston Battery	Toronto Lynx	4/19/1997	75		LGE			
Stalteri, Paul	Toronto Lynx	Charleston Battery	Toronto Lynx	4/19/1997	27		LGE			
De Rosario, Dwayne	Toronto Lynx	Charleston Battery	Toronto Lynx	4/19/1997	71		LGE			
Ferrandino, John	Hershey Wildcats	Raleigh Flyers	Hershey Wildcats	4/19/1997	85		LGE	Longenecker, Brent		
Vasquez-Martinez, Jose	Orange County Zodiac	Orange County Zodiac	El Paso Patriots	4/20/1997	95		LGE	Farias, Carlos		
Bigu	Atlanta Ruckus	Atlanta Ruckus	El Paso Patriots	4/25/1997	33		LGE	Rodrigues, Andre		
Silva, Jacenir	Atlanta Ruckus	Atlanta Ruckus	El Paso Patriots	4/25/1997	44		LGE			
Jacinto, Jacenir	Atlanta Ruckus	Atlanta Ruckus	El Paso Patriots	4/25/1997	77		LGE			
Miller, Doug	Rochester Rhinos	Rochester Rhinos	Montreal Impact	7/4/1997	100	Penalty	LGE			
Barnes, Sebastian	Orlando Sundogs	California Jaguars	Orlando Sundogs	7/18/1997	14		LGE			
Provan, Jake	Milwaukee Rampage	Atlanta Ruckus	Milwaukee Rampage	4/19/1997	63		LGE	Weiger, Steve		
Aunger, Geoff	Seattle Sounders	Colorado Foxes	Seattle Sounders	4/20/1997	65		LGE	Hoggan, David		
Baena, Mark	California Jaguars	California Jaguars	Vancouver 86ers	4/23/1997	10		LGE			
Mann, Randy	California Jaguars	California Jaguars	Vancouver 86ers	4/23/1997	79	Penalty	LGE			
Baena, Mark	California Jaguars	California Jaguars	Vancouver 86ers	4/23/1997	85		LGE	Iverson, Rick		
Kindel, Steve	Vancouver 86ers	California Jaguars	Vancouver 86ers	4/23/1997	54		LGE			
Redd, Alan	Atlanta Ruckus	Atlanta Ruckus	Minnesota Thunder	5/2/1997	44		LGE	Suri, Mo		
Suri, Mo	Atlanta Ruckus	Atlanta Ruckus	Vancouver 86ers	5/23/1997	21		LGE	Negatu, Golla		
Shishkov, Stilian	Atlanta Ruckus	Atlanta Ruckus	Vancouver 86ers	5/23/1997	39		LGE	Dunlap, Chris		
Silva, Jacenir	Atlanta Ruckus	Atlanta Ruckus	Vancouver 86ers	5/23/1997	53		LGE	Suri, Mo		
Evans, Chris	Vancouver 86ers	Atlanta Ruckus	Vancouver 86ers	5/23/1997	42		LGE	Muirhead, Doug		
Mobilio, Domenic	Vancouver 86ers	Atlanta Ruckus	Vancouver 86ers	5/23/1997	75		LGE	Kusch, Garrett		
Bigu	Atlanta Ruckus	Atlanta Ruckus	Colorado Foxes	5/29/1997	84		LGE	Redd, Alan		
Martinez, Chris	Colorado Foxes	Atlanta Ruckus	Colorado Foxes	5/29/1997	32		LGE	Tadlock, Stoner		
Minihan, David	Charleston Battery	Charleston Battery	Atlanta Ruckus	5/31/1997	85		LGE	Hoffman, David		
Olalere, Patrick	Charleston Battery	Charleston Battery	Atlanta Ruckus	5/31/1997	89		LGE	Castillo, Juan		
Suri, Mo	Atlanta Ruckus	Charleston Battery	Atlanta Ruckus	5/31/1997	26		LGE	Shishkov, Stilian		
Suri, Mo	Atlanta Ruckus	Charleston Battery	Atlanta Ruckus	5/31/1997	54		LGE	Dunlap, Chris		
Mobilio, Domenic	Vancouver 86ers	Vancouver 86ers	Atlanta Ruckus	6/6/1997	21		LGE	Kusch, Garrett		
Hoggan, David	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/8/1997	2		LGE	Aunger, Geoff		
Gelvezon, Paul	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/8/1997	22		LGE	Adair, Chugger		
Adair, Chugger	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/8/1997	26		LGE	Gailey, Mike		
