
	15	2005-06-25	A	Colorado	3-1	W	10-2-3	Pitchkolan 2 (unassisted) 13; Rhine 1 (O'Brien 6) 85; Thompson 3 (unassisted) 88	Scott Garlick, Drew Moor, Clarence Goodson, Greg Vanney, Chris Gbandi, Aaron Pitchkolan, Ronnie O'Brien, Simo Valakari, Arturo Alvarez (Oscar Pareja 76), Bobby Rhine (David Wagenfuhr 85), Roberto Mina (Abe Thompson 80).
	16	2005-07-02	H	San Jose	2-2	D	10-2-4	Alvarez 1 (Rhine 4, O'Brien 7) 4; Gbandi 1 (Alvarez 2) 57	Scott Garlick, Drew Moor (Oscar Pareja 46), Clarence Goodson, Steve Jolley, Chris Gbandi, Ronnie O'Brien, Simo Valakari, Aaron Pitchkolan (Ramon Nunez 84), Bobby Rhine, Roberto Mina, Arturo Alvarez (Abe Thompson 77).

	17	2005-07-16	A	New England	2-3	L	10-3-4	Alvarez 2 (unassisted) 7; O'Brien 6 (Ruiz 3) 46+	Scott Garlick, Bobby Rhine, Clarence Goodson, Steve Jolley, Chris Gbandi, Ronnie O'Brien (Abe Thompson 89), Aaron Pitchkolan, Simo Valakari, Arturo Alvarez (Carey Talley 83), Roberto Mina (Drew Moor 74), Carlos Ruiz.
	18	2005-07-23	A	Real Salt Lake	0-3	L	10-4-4		Scott Garlick, Bobby Rhine, Clarence Goodson, Steve Jolley (Abe Thompson 66), Chris Gbandi, Ronnie O'Brien, Simo Valakari, Oscar Pareja, Roberto Mina (Ramon Nunez 74), Carlos Ruiz, Arturo Alvarez.
	19	2005-07-27	A	Metrostars	2-3	L	10-5-4	Goodson 1 (Mina 2) 38; Goodson 2 (unassisted) 47	Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, David Wagenfuhr, Ronnie O'Brien, Aaron Pitchkolan (Ramon Nunez 83), Simo Valakari, Arturo Alvarez, Roberto Mina (Abe Thompson 81), Carlos Ruiz.

	20	2005-08-06	H	Metrostars	2-2	D	10-5-5	Ruiz 8 (O'Brien 8, Rhine 5) 31; Ruiz 9 (O'Brien 9, Rhine 6) 34	Jeff Cassar, David Wagenfuhr, Clarence Goodson, Greg Vanney, Bobby Rhine, Simo Valakari, Ramon Nunez, Ronnie O'Brien, Eddie Johnson (Aaron Pitchkolan 63), Carlos Ruiz, Arturo Alvarez (Roberto Mina 78).
	21	2005-08-13	H	New England	1-2	L	10-6-5	Ruiz 10 (Gbandi 1, Talley 2) 58	Jeff Cassar, Chris Gbandi (Ramon Nunez 84), Drew Moor, Steve Jolley, Greg Vanney, Ronnie O'Brien, Carey Talley (Abe Thompson 86), Simo Valakari, Arturo Alvarez (Roberto Mina 50), Eddie Johnson, Carlos Ruiz.
	22	2005-08-20	A	Columbus	0-1	L	10-7-5		Jeff Cassar, Drew Moor, Clarence Goodson, Steve Jolley, Chris Gbandi, Aaron Pitchkolan (Eddie Johnson 66), Carey Talley (Ramon Nunez 88), Simo Valakari, Ronnie O'Brien, Carlos Ruiz, Roberto Mina (Arturo Alvarez 79).

	23	2005-08-27	H	Chivas USA	2-2	D	10-7-6	Ruiz 11 (Johnson 2, Vanney 1) 44; Nunez 1 (unassisted) 67	Jeff Cassar (Scott Garlick 63), Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi, Ronnie O'Brien (Roberto Mina 89), Carey Talley (Oscar Pareja 86), Simo Valakari, Ramon Nunez, Eddie Johnson, Carlos Ruiz,
	24	2005-09-03	H	San Jose	0-2	L	10-8-6		Scott Garlick, Bobby Rhine, Steve Jolley, Greg Vanney, David Wagenfuhr, Ronnie O'Brien, Roberto Mina (Arturo Alvarez 63), Carey Talley (Mark Wilson 54), Simo Valakari (Oscar Pareja 77), Ramon Nunez, Eddie Johnson,
	25	2005-09-10	H	DC United	1-2	L	10-9-6	Nunez 2 (unassisted) 87	Scott Garlick, Drew Moor (Eddie Johnson 62), Clarence Goodson, Greg Vanney, David Wagenfuhr, Bobby Rhine, Oscar Pareja (Arturo Alvarez 74), Mark Wilson, Ronnie O'Brien, Ramon Nunez, Abe Thompson (Carlos Ruiz 63),

	26	2005-09-18	H	Real Salt Lake	2-1	W	11-9-6	Mina 4 (Alvarez 4) 17; Mina 5 (Rhine 7, Nunez 3) 52	Scott Garlick, Bobby Rhine, Clarence Goodson (Drew Moor 77), Greg Vanney, David Wagenfuhr, Ronnie O'Brien, Carey Talley, Mark Wilson, Arturo Alvarez (Aaron Pitchkolan 66), Roberto Mina (Abe Thompson 86), Ramon Nunez,
	27	2005-09-21	H	Los Angeles	4-1	W	12-9-6	own goal (Roberts) 34; Mina 6 (Wagenfuhr 2) 37; Mina 7 (unassisted) 45; Thompson 4 (O'Brien 10, Talley 3) 91+	Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, David Wagenfuhr, Arturo Alvarez (Aaron Pitchkolan 77), Simo Valakari, Mark Wilson, Ronnie O'Brien, Roberto Mina (Abe Thompson 84), Ramon Nunez (Carey Talley 61),
	28	2005-09-24	A	San Jose	1-1	D	12-9-7	Nunez 3 (penalty kick) 58	Scott Garlick, Drew Moor, Steve Jolley, Alex Yi (Clarence Goodson 66), Chris Gbandi, Arturo Alvarez (David Wagenfuhr 83), Aaron Pitchkolan, Carey Talley (sent off 61), Simo Valakari, Ramon Nunez (Bobby Rhine 70), Abe Thompson,

