Competition: USL Premier Developmental League   
Season: 2008

Date: 4/26/2008
2230; Ventura County Fusion; 1-2; San Jose Frogs; Lick High School

Date: 5/18/2008
1500; Fredericksburg Gunners; 1-0; Richmond Kickers Future; First Market Stadium
1500; Kalamazoo Outrage; 1-0; Cincinnati Kings; Town & Country Sports Complex
1600; Kansas City Brass; 2-1; Colorado Rapids U-23; Boulder High School
1700; Carolina Dynamo; 5-2; Palm Beach Pumas; Lauderhill Sports Complex
1730; Vermont Voltage; 0-1; Reading Rage; Exeter High School
1800; Abbotsford Mariners; 1-3; Vancouver Whitecaps Residency; Simon Fraser University
1800; West Michigan Edge; 0-3; Cleveland Internationals; St. Edwards High School
1900; Baton Rouge Capitals; 0-1; New Orleans Jesters; Tad Gormley Stadium

Date: 5/20/2008
1900; Fort Wayne Fever; 1-0; Chicago Fire Premier; Toyota Park
2000; Brooklyn Knights; 0-1; Long Island Rough Riders; St. Anthony's High School

Date: 5/21/2008
1800; Hampton Roads Piranhas; 2-4; Reading Rage; Exeter High School
1900; Michigan Bucks; 3-1; West Michigan Edge; Kentwood High School
1900; Cape Cod Crusaders; 4-1; Rhode Island Stingrays; Pierce Memorial
2000; Bradenton Academics; 2-0; Nashville Metros; Ezell Park Stadium

Date: 5/22/2008
1700; Palm Beach Pumas; 0-4; Atlanta Silverbacks U23's; RE/MAX Greater Atlanta Stadium
1900; Indiana Invaders; 1-1; Fort Wayne Fever; Hefner Stadium
1900; Panama City Pirates; 1-2; Cary Clarets; WakeMed Soccer Park
2000; Richmond Kickers Future; 0-1; Newark Ironbound Express; NJIT Stadium
2030; Kansas City Brass; 3-1; Springfield Demize; Cooper Sports Complex

Date: 5/23/2008
1900; Chicago Fire Premier; 3-0; Kalamazoo Outrage; Mayors Riverfront Park Mayors Riverfront
1900; Des Moines Menace; 0-2; Colorado Rapids U-23; Pleasant View Field
1900; Cincinnati Kings; 2-1; West Virginia Chaos; Schoenbaum Stadium
1930; Cape Cod Crusaders; 5-2; Vermont Voltage; Collins-Perley Sports Complex
1930; Richmond Kickers Future; 1-3; Ocean City Barons;  
2000; Lancaster Rattlers; 1-3; Orange County Blue Star; Concordia University
2000; Fredericksburg Gunners; 2-0; Hampton Roads Piranhas; Virginia Wesleyan College
2030; New Orleans Jesters; 2-1; DFW Tornados; Pennington Field
2115; Austin Aztex U23s; 1-0; Laredo Heat; Texas A&M Intl Univ Soccer Complex
2200; San Jose Frogs; 0-2; Fresno Fuego; Chukchansi Park
2205; Ogden Outlaws; 0-5; Tacoma Tide; Curtis High School
2205; BYU Cougars; 1-2; Yakima Reds; Marquette Stadium
2205; Vancouver Whitecaps Residency; 1-0; Cascade Surge; McCulloch Stadium (WU)
2230; San Fernando Valley Quakes; 0-5; Los Angeles Legends; A.P.U. - Cougar Stadium

Date: 5/24/2008
1600; Fort Wayne Fever; 0-5; Michigan Bucks; Canton Cup Soccer Tournament
1800; Mississippi Brilla; 0-3; Houston Leones; Soccer World Center
1800; Springfield Demize; 0-1; St. Louis Lions; Tony Glavin Complex
1900; Reading Rage; 2-0; Northern Virginia Royals; Fairfax High School, Fairfax
1900; New Jersey Rangers; 0-0; Virginia Legacy; James City County Stadium
1900; Des Moines Menace; 2-2; Colorado Rapids U-23; Pleasant View Field
1900; Cleveland Internationals; 1-1; West Virginia Chaos; Schoenbaum Stadium
1930; Brooklyn Knights; 2-0; Vermont Voltage; Collins-Perley Sports Complex
1930; Panama City Pirates; 2-2; Carolina Dynamo; Macpherson Stadium
2000; Palm Beach Pumas; 0-1; Nashville Metros; Ezell Park Stadium
2200; Bakersfield Brigade; 1-0; Southern California Seahorses; La Mirada HS
2205; BYU Cougars; 1-1; Tacoma Tide; Curtis High School
2205; Ogden Outlaws; 1-2; Yakima Reds; Marquette Stadium
2300; Ventura County Fusion; 0-1; San Francisco Seals; University of San Francisco

Date: 5/25/2008
1400; Brooklyn Knights; 1-1; New Hampshire Phantoms; Manchester Memorial HS
1530; New Orleans Jesters; 0-1; Austin Aztex U23s; Dragon Stadium - Round Rock
1700; Rhode Island Stingrays; 0-1; Fredericksburg Gunners; Fredericksburg Academy
1700; New Jersey Rangers; 0-3; Hampton Roads Piranhas; Virginia Wesleyan College
1800; St. Louis Lions; 2-2; Kansas City Brass; William Jewell College
1900; Orange County Blue Star; 3-4; Fresno Fuego; Chukchansi Park
2030; Mississippi Brilla; 1-2; DFW Tornados; Pennington Field

Date: 5/26/2008
1700; Chicago Fire Premier; 2-0; West Michigan Edge; Kentwood High School
1730; Central Florida Kraze; 0-3; Bradenton Academics; IMG Soccer Academy
1900; Michigan Bucks; 2-1; Cleveland Internationals; St. Edwards High School
1930; Kalamazoo Outrage; 4-0; Indiana Invaders; Indiana Invaders Soccer Complex

Date: 5/27/2008
1700; Nashville Metros; 0-2; Atlanta Silverbacks U23's; RE/MAX Greater Atlanta Stadium

Date: 5/28/2008
1100; Fort Wayne Fever; 1-4; Toronto Lynx; Centennial Stadium

Date: 5/29/2008
1900; Richmond Kickers Future; 0-1; Virginia Legacy; James City County Stadium

Date: 5/30/2008
1700; Carolina Dynamo; 0-1; Atlanta Silverbacks U23's; RE/MAX Greater Atlanta Stadium
1730; Cary Clarets; 1-1; Bradenton Academics; IMG Soccer Academy
1900; Kalamazoo Outrage; 3-2; West Virginia Chaos; Schoenbaum Stadium
1930; Michigan Bucks; 1-0; Cincinnati Kings; Town & Country Sports Complex
1930; Chicago Fire Premier; 1-0; Toronto Lynx; Varsity Centre
2000; San Francisco Seals; 3-2; Orange County Blue Star; Concordia University
2030; Laredo Heat; 1-1; DFW Tornados; Pennington Field
2130; BYU Cougars; 0-2; Abbotsford Mariners; Bateman Park
2205; Spokane Spiders; 1-1; Cascade Surge; McCulloch Stadium (WU)
2230; Fresno Fuego; 0-3; Ventura County Fusion; Buena High School

Date: 5/31/2008
1600; Hampton Roads Piranhas; 1-1; Richmond Kickers Future; University of Richmond Stadium
1705; Spokane Spiders; 0-5; Tacoma Tide; Curtis High School
1730; Newark Ironbound Express; 1-3; Westchester Flames; City Park Stadium
1800; Virginia Legacy; 2-1; Fredericksburg Gunners; Fredericksburg Academy
1800; Austin Aztex U23s; 0-2; Mississippi Brilla; Robert P. Longabaugh Stadium
1800; BYU Cougars; 1-4; Vancouver Whitecaps Residency; Simon Fraser University
1800; El Paso Patriots; 1-2; Houston Leones; Soccer World Center
1900; Ocean City Barons; 2-1; Cape Cod Crusaders; Mass Maritime Academy
1900; Vermont Voltage; 5-4; Rhode Island Stingrays; Pierce Memorial
1900; Nashville Metros; 0-4; Central Florida Kraze; Seminole Soccer Complex
1930; Northern Virginia Royals; 1-1; Reading Rage; Exeter High School
1930; Cary Clarets; 3-4; Palm Beach Pumas; Lauderhill Sports Complex
2000; New Orleans Jesters; 1-4; Baton Rouge Capitals; Olympia Stadium
2030; Ottawa Fury; 1-2; Brooklyn Knights; Aviator Field
2100; Springfield Demize; 0-2; Kansas City Brass; William Jewell College
2200; Los Angeles Legends; 1-1; Southern California Seahorses; La Mirada HS
2205; Yakima Reds; 1-0; Cascade Surge; McCulloch Stadium (WU)
2230; San Fernando Valley Quakes; 1-1; Bakersfield Brigade; Bakersfield Christian HS

Date: 6/1/2008
1600; West Michigan Edge; 2-3; Toronto Lynx; Centennial Stadium
1700; Hampton Roads Piranhas; 0-1; New Jersey Rangers; Morris Catholic High School
1700; Ocean City Barons; 1-1; Rhode Island Stingrays; Pierce Memorial
1800; Nashville Metros; 2-3; Panama City Pirates; Gavlak Stadium
1800; Fresno Fuego; 1-1; San Jose Frogs; Lick High School
1800; DFW Tornados; 1-0; Houston Leones; Soccer World Center
1800; Westchester Flames; 3-4; Long Island Rough Riders; Tully Park
1900; Michigan Bucks; 2-0; West Virginia Chaos; Schoenbaum Stadium
1900; Kalamazoo Outrage; 1-4; Cleveland Internationals; St. Edwards High School
2000; San Francisco Seals; 0-1; Ventura County Fusion; Buena High School
2000; Ottawa Fury; 0-3; Newark Ironbound Express; NJIT Stadium

Date: 6/4/2008
1900; Chicago Fire Premier; 2-1; Fort Wayne Fever; Hefner Stadium
1900; Northern Virginia Royals; 2-2; Virginia Legacy; James City County Stadium
1900; Palm Beach Pumas; 1-4; Central Florida Kraze; Seminole Soccer Complex
1930; West Michigan Edge; 0-3; Michigan Bucks; Ultimate Soccer Arenas
2000; Newark Ironbound Express; 0-2; Brooklyn Knights; Aviator Field
2000; San Fernando Valley Quakes; 1-1; Orange County Blue Star; Concordia University
2115; New Orleans Jesters; 3-3; Laredo Heat; Texas A&M Intl Univ Soccer Complex

Date: 6/5/2008
1600; Hampton Roads Piranhas; 3-1; Richmond Kickers Future; Sports Backers Stadium
1730; Panama City Pirates; 1-1; Bradenton Academics; IMG Soccer Academy
1900; Toronto Lynx; 2-0; West Virginia Chaos; Schoenbaum Stadium
2200; Bakersfield Brigade; 0-4; Fresno Fuego; Chukchansi Park

Date: 6/6/2008
1900; Vermont Voltage; 0-2; Cape Cod Crusaders; Mass Maritime Academy
1930; New Hampshire Phantoms; 1-2; Reading Rage; Exeter High School
2000; Houston Leones; 1-2; Baton Rouge Capitals; Olympia Stadium
2030; Kansas City Brass; 1-0; Springfield Demize; Cooper Sports Complex
2030; El Paso Patriots; 0-2; Austin Aztex U23s; Dragon Stadium - Round Rock
2115; Mississippi Brilla; 0-3; Laredo Heat; Texas A&M Intl Univ Soccer Complex
2205; Lancaster Rattlers; 2-4; San Fernando Valley Quakes; Calabasas High School
2205; Abbotsford Mariners; 0-2; Tacoma Tide; Curtis High School
2205; Ogden Outlaws; 0-0; Cascade Surge; McCulloch Stadium (WU)

Date: 6/7/2008
1700; Cary Clarets; 3-2; Atlanta Silverbacks U23's; RE/MAX Greater Atlanta Stadium
1900; New Hampshire Phantoms; 3-1; Northern Virginia Royals; Fairfax High School, Fairfax
1900; Fredericksburg Gunners; 0-1; Virginia Legacy; James City County Stadium
1900; Westchester Flames; 1-0; New Jersey Rangers; Morris Catholic High School
1900; Cape Cod Crusaders; 2-2; Rhode Island Stingrays; Pierce Memorial
1930; Brooklyn Knights; 1-1; Ocean City Barons; Carey Stadium
