1	Chris Carrieri (F)	San Jose Earthquakes
2	Ali Curtis (F)	Tampa Bay Mutiny
3	Mark Lisi (M)	D.C. United
4	Ryan Nelsen (M)	D.C. United
5	Joselito Vaca (M)	Dallas Burn
6	Craig Demmin (D)	Tampa Bay Mutiny
7	Ryan Suarez (D)	Dallas Burn
8	Santino Quaranta (F)	D.C. United
9	Brian Mullan (M)	Los Angeles Galaxy
10	Duncan Oughton (F)	Columbus Crew
11	Isaias Bardales (F)	Los Angeles Galaxy
12	Jose Burciaga (D)	Kansas City Wizards
13	Rodrigo Faria (F)	MetroStars
14	Devin Barclay (F)	Tampa Bay Mutiny
15	Bryan Namoff (M)	D.C. United
16	Brian Ching (F)	Los Angeles Galaxy
17	Stephen Herdsman (D)	Colorado Rapids
18	Ali Gerba (F)	Miami Fusion
19	Eddie Johnson (F)	Dallas Burn
20	Eddie Robinson (M)	San Jose Earthquakes
21	Nick Downing (D)	New England Revolution
22	Robbie Russell (M)	Los Angeles Galaxy
23	Justin Evans (M)	Chicago Fire
24	Andrew Gregor (M)	Kansas City Wizards
25	Josue Mayard (M)	Dallas Burn
26	Kerwyn Jemmott (M)	MetroStars
27	Edson Buddle (F)	Columbus Crew
28	Craig Ziadie (D)	D.C. United
29	Jim Curtin (D)	Chicago Fire
30	Kevin Adams (D)	Columbus Crew
31	Craig Waibel (D)	San Jose Earthquakes
32	Ryan Lee (D)	Colorado Rapids
33	Henry Ring (GK)	Chicago Fire
34	Alberto Munoz (M)	Tampa Bay Mutiny
35	Ben Stafford (F)	Kansas City Wizards
36	Eric Lukin (F)	Colorado Rapids
37	Fabio Eidelwein (F)	San Jose Earthquakes
38	Greg Simmonds (F)	Miami Fusion
39	McKinley Tennyson (F)	Columbus Crew
40	Cory Gibbs (D)	Miami Fusion
41	Ryan Trout (M)	Colorado Rapids
42	Yari Allnutt (M)	New England Revolution
43	Adam Zapala (GK)	Dallas Burn
44	Adam Throop (GK)	Tampa Bay Mutiny
45	Brent Rahim (M)	Los Angeles Galaxy
46	Martin Klinger (F)	MetroStars
47	Fernando Ortiz Solis (D)	New England Revolution
48	Pablo Webster (M)	Kansas City Wizards
49	Corey Woolfolk (F)	San Jose Earthquakes
50	Caleb Norkus (F)	D.C. United
51	Scott Powers (M)	Columbus Crew
52	Teofilo Cubillas Jr. (M)	Miami Fusion
53	Eric Pogue (GK)	New England Revolution
54	Shaun Tsakiris (M)	New England Revolution
55	Gary DePalma (M)	Dallas Burn
56	Mersim Beskovic (D)	Tampa Bay Mutiny
57	Alex Bengard (M)	Los Angeles Galaxy
58	O'neil Peart (F)	MetroStars
59	Narciso Fernandes (M)	Kansas City Wizards
60	Hector Navarte (M)	Tampa Bay Mutiny
61	Jorge Martinez (M)	San Jose Earthquakes
62	T.J. Hannig (GK)	D.C. United
63	Phil Karn (F)	Columbus Crew
64	Daouda Kante (D)	Miami Fusion
65	John Carroll (M)	Colorado Rapids
66	Michael Feller (D)	New England Revolution
67	Miguel Saavedra (M)	Dallas Burn
68	Danny Risch (F)	Chicago Fire
69	Mike Potempa (D)	Los Angeles Galaxy
70	Russell Payne (GK)	MetroStars
71	Roberto Navarro (M)	Dallas Burn
72	Matthew Cross (GK)	Kansas City Wizards
