1       Dax McCarty    Portland Timbers
2       Sanna Nyassi    Vancouver Whitecaps FC
3       Eric Brunner    Portland Timbers
4       Atiba Harris    Vancouver Whitecaps FC
5       Adam Moffat    Portland Timbers
6       Nathan Sturgis    Vancouver Whitecaps FC
7       Anthony Wallace    Portland Timbers
8       Shea Salinas    Vancouver Whitecaps FC
9       David Horst    Portland Timbers
10      Alan Gordon    Vancouver Whitecaps FC
11      Robbie Findley    Portland Timbers
12      O'Brian White    Vancouver Whitecaps FC
13      Peter Lowry    Portland Timbers
14      Alejandro Moreno    Vancouver Whitecaps FC
15      Jonathan Bornstein    Portland Timbers
16      Joe Cannon    Vancouver Whitecaps FC
17      Jordan Graye    Portland Timbers
18      Jonathan Leathers    Vancouver Whitecaps FC
19      Arturo Alvarez    Portland Timbers
20      John Thorrington    Vancouver Whitecaps FC
