1	Steve Shak (D)	MetroStars
2	Nick Garcia (D)	Kansas City Wizards
3	Adin Brown (GK)	Colorado Rapids
4	Carlos Bocanegra (D)	Chicago Fire
5	Aleksey Korol (F)	Dallas Burn
6	Danny Califf (D)	Los Angeles Galaxy
7	Wes Hart (M)	Colorado Rapids
8	Travis Mulraine (M)	San Jose Earthquakes
9	John Wilson (M)	Kansas City Wizards
10	Alan Woods (D)	Colorado Rapids
11	Sasha Victorine (M)	Los Angeles Galaxy
12	Bobby Convey (M)	D.C. United
13	Stephen Armstrong (M)	D.C. United
14	Rusty Pierce (D)	New England Revolution
15	Peter Byaruhanga (F)	Kansas City Wizards
16	Justin Evans (M)	San Jose Earthquakes
17	Martín Machón (M)	Miami Fusion
18	Joseph Ragusa (D)	San Jose Earthquakes
19	Eric Denton (D)	D.C. United
20	Keyeno Thomas (M)	Colorado Rapids
21	Roland Aguilera (M)	Columbus Crew
22	Antonio Martinez (M)	Dallas Burn
23	Peter Vagenas (M)	Los Angeles Galaxy
24	Adrian Narine (F)	San Jose Earthquakes
25	David Wright (D)	Miami Fusion
26	Jeff Dimaria (F)	Colorado Rapids
27	Sergio Salas (F)	D.C. United
28	Jon Conway (GK)	San Jose Earthquakes
29	Jose Retiz (M)	Los Angeles Galaxy
30	Kerry Zavagnin (D)	Kansas City Wizards
31	Shaker Asad (M)	New England Revolution
32	Yuri Lavrinenko (M)	Chicago Fire
33	Brian Winters (M)	Columbus Crew
34	Steve Bernal (D)	Dallas Burn
35	Nick Rimando (GK)	Miami Fusion
36	Fabio Zuniga (F)	New England Revolution
37	Daniel Alvarez (M)	MetroStars
38	Adam Eyre (D)	New England Revolution
39	Bo Oshoniyi (GK)	New England Revolution
40	Andrew Hemmerich (D)	San Jose Earthquakes
41	Michael Burke (F)	D.C. United
42	Amos Magee (F)	Tampa Bay Mutiny
43	Lance Key (D)	Colorado Rapids
44	John Wolyniec (F)	Chicago Fire
45	Christof Lindenmayer (F)	Columbus Crew
46	Brian Piesner (M)	Dallas Burn
47	Josh Henderson (F)	Los Angeles Galaxy
48	Orlando Perez (M)	MetroStars
49	Colby Jackson (F)	MetroStars
50	Tom Zawislan (GK)	Kansas City Wizards
51	Mark Schulte (D)	Tampa Bay Mutiny
52	Ian Russell (F)	San Jose Earthquakes
53	Pablo Gentile (D)	Miami Fusion
54	Brian Waltrip (F)	Tampa Bay Mutiny
55	Peter Scavo (F)	Colorado Rapids
56	Alejandro Rincon (M)	Chicago Fire
57	Dominic Schell (D)	Columbus Crew
58	Seth Marks (D)	Dallas Burn
59	Thomas Serna (F)	Los Angeles Galaxy
60	Micah Cooks (M)	D.C. United
61	Jake Dancy (D)	MetroStars
62	Casey Sweeney (D)	Kansas City Wizards
63	Tom Hardy (D)	New England Revolution
64	Ubusuku Abukusumo (D)	Tampa Bay Mutiny
65	Ernest Inneh (F)	Tampa Bay Mutiny
66	Mike Gentile (M)	Tampa Bay Mutiny
67	Rich Cullen (GK)	Colorado Rapids
68	Kevin Jackson (M)	Chicago Fire
69	PASS	Columbus Crew
70	Angel Rivillo (M)	Dallas Burn
71	Ali John Utush (F)	Los Angeles Galaxy
72	PASS	D.C. United
