1	Tahj Jakins (D)	Colorado Rapids
2	Mike Fisher (M)	Tampa Bay Mutiny
3	Rob Jachym (M)	Columbus Crew
4	Alberto Montoya (M)	San Jose Clash
5	Brian Kelly (M)	New York/New Jersey MetroStars
6	Temoc Suarez (F)	Dallas Burn
7	Brian Johnson (M)	Kansas City Wizards
8	Mike Mekelburg (M)	Tampa Bay Mutiny
9	Steve Jolley (M)	Los Angeles Galaxy
10	Danny Care (D)	D.C. United
11	Ross Paule (M)	Colorado Rapids
12	Scott Coufal (GK)	New England Revolution
13	John Smith (F)	Columbus Crew
14	Jason Annichero (D)	San Jose Clash
15	Will Kohler (M)	New York/New Jersey MetroStars
16	Alan Branigan (D)	Dallas Burn
17	Ike Udeh (F)	Kansas City Wizards
18	PASS	Tampa Bay Mutiny
19	Shawn Boney (M)	Los Angeles Galaxy
20	Tom Presthus (GK)	D.C. United
21	Mike Feniger (F)	Colorado Rapids
22	Steve Klein (M)	New England Revolution
23	Todd DeNault (F)	Columbus Crew
24	Chris McDonald (M)	San Jose Clash
25	Andrew Lewis (D)	New York/New Jersey MetroStars
26	J.T. Roberts (M)	New England Revolution
27	Jake Joy (M)	Kansas City Wizards
28	Musa Shannon (F)	Tampa Bay Mutiny
29	Kevin Hartman (GK)	Los Angeles Galaxy
30	Brandon Leib (D)	D.C. United
