1	Gabe Eastman (D)	Los Angeles Galaxy
2	Brandon Prideaux (D)	Kansas City Wizards
3	Adam Frye (D)	San Jose Clash
4	Petter Villegas (M)	MetroStars
5	Dusty Hudock (GK)	Miami Fusion
6	Kirk Wilson (M)	Dallas Burn
7	Kevin Anderson (M)	Colorado Rapids
8	Darren Sawatzky (F)	Colorado Rapids
9	Michael Butler (F)	Columbus Crew
10	Orlando Perez (D)	Los Angeles Galaxy
11	Max Viera (M)	San Jose Clash
12	Tomas Wygonik (D)	Chicago Fire
13	Chris Fox (D)	New England Revolution
14	Ryan Turner (M)	Kansas City Wizards
15	Carlos Farias (F)	San Jose Clash
16	PASS	Tampa Bay Mutiny
17	Juan Ramos (D)	Miami Fusion
18	Gabe Jones (F)	Dallas Burn
19	PASS	Miami Fusion
20	David Winner (GK)	Colorado Rapids
21	John DeBrito (M)	Columbus Crew
22	John Jones (M)	Los Angeles Galaxy
23	PASS	Dallas Burn
24	PASS	Chicago Fire
25	PASS	New England Revolution
26	PASS	Kansas City Wizards
27	Anthony Farace (F)	San Jose Clash
28	PASS	Tampa Bay Mutiny
29	PASS	Miami Fusion
30	PASS	Dallas Burn
31	Nansha Kalonji (D)	MetroStars
32	Tim Martin (D)	Colorado Rapids
33	Craig Yacks (M)	Columbus Crew
34	PASS	Miami Fusion
35	PASS	D.C. United
36	PASS	Chicago Fire
