Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
5/16/1997	Milwaukee Rampage	El Paso Patriots	3	1	2,481	League Game	LGE			As Scored	0	0	
5/16/1997	Nashville Metros	Seattle Sounders	0	1	2,814	League Game	LGE			As Scored	0	0	
5/16/1997	New Orleans Riverboat Gamblers	Vancouver 86ers	2	4	1,265	League Game	LGE			As Scored	0	0	
5/16/1997	Orange County Zodiac	Colorado Foxes	2	4	1,895	League Game	LGE			As Scored	0	0	
5/16/1997	Raleigh Flyers	Montreal Impact	0	0	1,267	League Game	LGE	Raleigh wins SO 2-1		As Scored	0	0	
5/16/1997	Worcester Wildfire	Long Island Rough Riders	0	3	1,957	League Game	LGE			As Scored	0	0	
5/17/1997	Hershey Wildcats	Charleston Battery	5	0	3,010	League Game	LGE			As Scored	0	0	
5/18/1997	Atlanta Ruckus	Seattle Sounders	0	0	3,782	League Game	LGE	Seattle wins 3-1 in SO		As Scored	0	0	
5/18/1997	California Jaguars	Colorado Foxes	3	0	100	League Game	LGE			As Scored	0	0	
5/18/1997	Connecticut Wolves	Long Island Rough Riders	0	2	1,117	League Game	LGE			As Scored	0	0	
5/18/1997	Jacksonville Cyclones	Montreal Impact	0	3	1,581	League Game	LGE			As Scored	0	0	
5/18/1997	Minnesota Thunder	El Paso Patriots	1	1	2,832	League Game	LGE	El Paso wins SO 1-0		As Scored	0	0	
5/18/1997	Orlando Sundogs	Vancouver 86ers	0	2	1,100	League Game	LGE			As Scored	0	0	
5/18/1997	Richmond Kickers	Carolina Dynamo	0	2	1,720	League Game	LGE			As Scored	0	0	
5/19/1997	Toronto Lynx	Rochester Rhinos	3	2	1,492	League Game	LGE			As Scored	0	0	
5/21/1997	Orange County Zodiac	California Jaguars	2	1	1,028	League Game	LGE			As Scored	0	0	
5/22/1997	Jacksonville Cyclones	Orlando Sundogs	2	3	2,212	League Game	LGE			As Scored	0	0	
5/23/1997	Atlanta Ruckus	Vancouver 86ers	3	2	2,800	League Game	LGE			As Scored	0	0	
5/23/1997	Carolina Dynamo	Worcester Wildfire	4	1	100	League Game	LGE			As Scored	0	0	
5/23/1997	Connecticut Wolves	Richmond Kickers	0	1	9,113	League Game	LGE			As Scored	0	0	
5/23/1997	El Paso Patriots	California Jaguars	0	1	2,975	League Game	LGE			As Scored	0	0	
5/23/1997	Minnesota Thunder	Hershey Wildcats	0	1	2,671	League Game	LGE			As Scored	0	0	
5/23/1997	New Orleans Riverboat Gamblers	Seattle Sounders	0	2	1,103	League Game	LGE			As Scored	0	0	
5/23/1997	Toronto Lynx	Charleston Battery	1	1	1,515	League Game	LGE	Toronto wins SO 2-0		As Scored	0	0	
5/24/1997	Raleigh Flyers	Jacksonville Cyclones	1	2	1,647	League Game	LGE			As Scored	0	0	
5/25/1997	Colorado Foxes	California Jaguars	3	2	727	League Game	LGE			As Scored	0	0	
5/25/1997	Milwaukee Rampage	Hershey Wildcats	0	2	1,123	League Game	LGE			As Scored	0	0	
5/25/1997	Montreal Impact	Charleston Battery	2	0	5,754	League Game	LGE			As Scored	0	0	
5/25/1997	Nashville Metros	Vancouver 86ers	1	2	936	League Game	LGE			As Scored	0	0	
5/25/1997	Orlando Sundogs	Seattle Sounders	1	0	1,611	League Game	LGE			As Scored	0	0	
5/25/1997	Richmond Kickers	Worcester Wildfire	3	2	1,153	League Game	LGE			As Scored	0	0	
5/26/1997	Rochester Rhinos	Toronto Lynx	2	3	12,153	League Game	LGE			As Scored	0	0	
5/28/1997	Vancouver 86ers	El Paso Patriots	0	0	2,909	League Game	LGE	Vancouver wins SO 3-0		As Scored	0	0	
5/29/1997	Atlanta Ruckus	Colorado Foxes	1	1	100	League Game	LGE	Atlanta wins 2-1 in SO		As Scored	0	0	
5/29/1997	Richmond Kickers	Carolina Dynamo	2	1	1,024	League Game	LGE			As Scored	0	0	
5/30/1997	California Jaguars	New Orleans Riverboat Gamblers	2	3	100	League Game	LGE			As Scored	0	0	
5/30/1997	Hershey Wildcats	Montreal Impact	1	2	2,400	League Game	LGE			As Scored	0	0	
5/30/1997	Orlando Sundogs	Nashville Metros	1	1	3,842	League Game	LGE	Nashville wins SO 2-1		As Scored	0	0	
5/30/1997	Raleigh Flyers	Connecticut Wolves	0	2	1,492	League Game	LGE			As Scored	0	0	
5/30/1997	Worcester Wildfire	Jacksonville Cyclones	1	0	1,143	League Game	LGE			As Scored	0	0	
5/31/1997	Carolina Dynamo	Connecticut Wolves	0	0	4,144	League Game	LGE	Connecticut wins SO 2-0		As Scored	0	0	
5/31/1997	Charleston Battery	Atlanta Ruckus	2	2	2,005	League Game	LGE	Atlanta wins 3-2 in SO		As Scored	0	0	
5/31/1997	Milwaukee Rampage	Minnesota Thunder	0	1	3,782	League Game	LGE			As Scored	0	0	
5/31/1997	Nashville Metros	Colorado Foxes	3	3	100	League Game	LGE	Colorado wins SO 1-0		As Scored	0	0	
6/1/1997	Hershey Wildcats	Rochester Rhinos	2	1	1,606	League Game	LGE			As Scored	0	0	
6/1/1997	Long Island Rough Riders	Richmond Kickers	0	1	4,086	League Game	LGE			As Scored	0	0	
6/1/1997	Montreal Impact	Jacksonville Cyclones	2	0	3,163	League Game	LGE			As Scored	0	0	
6/1/1997	Orange County Zodiac	New Orleans Riverboat Gamblers	1	0	2,168	League Game	LGE			As Scored	0	0	
6/1/1997	Seattle Sounders	El Paso Patriots	0	0	2,006	League Game	LGE	Seattle wins SO 4-3		As Scored	0	0	
6/6/1997	El Paso Patriots	New Orleans Riverboat Gamblers	1	3	2,657	League Game	LGE			As Scored	0	0	
6/6/1997	Milwaukee Rampage	California Jaguars	1	2	4,118	League Game	LGE			As Scored	0	0	
6/6/1997	Toronto Lynx	Carolina Dynamo	2	0	1,634	League Game	LGE			As Scored	0	0	
6/6/1997	Vancouver 86ers	Atlanta Ruckus	1	0	3,095	League Game	LGE			As Scored	0	0	
6/6/1997	Worcester Wildfire	Hershey Wildcats	1	1	1,982	League Game	LGE	Hershey wins SO 2-1		As Scored	0	0	
6/7/1997	Charleston Battery	Richmond Kickers	2	4	1,272	League Game	LGE			As Scored	0	0	
6/7/1997	Long Island Rough Riders	Raleigh Flyers	6	1	7,137	League Game	LGE			As Scored	0	0	
6/7/1997	Orange County Zodiac	El Paso Patriots	2	1	1,747	League Game	LGE			As Scored	0	0	
6/7/1997	Orlando Sundogs	Nashville Metros	3	0	903	League Game	LGE			As Scored	0	0	
6/7/1997	Rochester Rhinos	Jacksonville Cyclones	5	4	8,677	League Game	LGE			As Scored	0	0	
6/8/1997	Colorado Foxes	New Orleans Riverboat Gamblers	2	3	727	League Game	LGE			As Scored	0	0	
6/8/1997	Hershey Wildcats	Raleigh Flyers	3	2	1,981	League Game	LGE			As Scored	0	0	
6/8/1997	Minnesota Thunder	California Jaguars	0	1	2,176	League Game	LGE			As Scored	0	0	
6/8/1997	Montreal Impact	Carolina Dynamo	2	1	100	League Game	LGE			As Scored	0	0	
6/8/1997	Seattle Sounders	Atlanta Ruckus	7	0	2,027	League Game	LGE			As Scored	0	0	
6/8/1997	Toronto Lynx	Jacksonville Cyclones	4	1	1,055	League Game	LGE			As Scored	0	0	
6/11/1997	Long Island Rough Riders	Richmond Kickers	1	1	2,122	League Game	LGE	Long Island wins SO 1-0		As Scored	0	0	
6/12/1997	Connecticut Wolves	Montreal Impact	0	3	689	League Game	LGE			As Scored	0	0	
6/13/1997	Carolina Dynamo	Charleston Battery	4	1	2,213	League Game	LGE			As Scored	0	0	
6/13/1997	El Paso Patriots	Orange County Zodiac	1	2	3,240	League Game	LGE			As Scored	0	0	
6/13/1997	Nashville Metros	Atlanta Ruckus	2	0	852	League Game	LGE			As Scored	0	0	
6/13/1997	Orlando Sundogs	California Jaguars	5	0	940	League Game	LGE			As Scored	0	0	
6/13/1997	Rochester Rhinos	Worcester Wildfire	4	0	8,504	League Game	LGE			As Scored	0	0	
6/14/1997	Jacksonville Cyclones	Nashville Metros	1	5	2,196	League Game	LGE			As Scored	0	0	
6/14/1997	Long Island Rough Riders	Hershey Wildcats	0	1	4,866	League Game	LGE			As Scored	0	0	
6/14/1997	Minnesota Thunder	Milwaukee Rampage	1	0	4,862	League Game	LGE			As Scored	0	0	
6/14/1997	Seattle Sounders	Vancouver 86ers	2	1	2,196	League Game	LGE			As Scored	0	0	
6/15/1997	Colorado Foxes	Orange County Zodiac	3	1	820	League Game	LGE			As Scored	0	0	
6/15/1997	Hershey Wildcats	Long Island Rough Riders	2	1	2,522	League Game	LGE			As Scored	0	0	
6/15/1997	New Orleans Riverboat Gamblers	California Jaguars	2	1	1,128	League Game	LGE			As Scored	0	0	
6/15/1997	Raleigh Flyers	Carolina Dynamo	0	2	1,350	League Game	LGE			As Scored	0	0	
6/15/1997	Rochester Rhinos	Connecticut Wolves	4	2	9,319	League Game	LGE			As Scored	0	0	
6/15/1997	Toronto Lynx	Worcester Wildfire	2	1	1,743	League Game	LGE			As Scored	0	0	
6/18/1997	Long Island Rough Riders	Connecticut Wolves	1	1	1,538	League Game	LGE	Connecticut wins SO 1-0		As Scored	0	0	
6/18/1997	Montreal Impact	Toronto Lynx	0	1	2,933	League Game	LGE			As Scored	0	0	
6/20/1997	Atlanta Ruckus	New Orleans Riverboat Gamblers	1	2	4,283	League Game	LGE			As Scored	0	0	
6/20/1997	California Jaguars	Milwaukee Rampage	3	0	100	League Game	LGE			As Scored	0	0	
