Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
5/16/1997	DC United	Leeds United - England	1	1	10,704	Friendly	FDLY			As Scored	0	0	
5/21/1997	Los Angeles Galaxy	Aston Villa - England	1	1	8,759	Friendly	FDLY			As Scored	0	0	
6/7/1997	MetroStars	Sampdoria - Italy	1	0	19,826	Friendly	FDLY			As Scored	0	0	
6/25/1997	MetroStars	Alianza Lima - Peru	1	1	15,127	Friendly	FDLY			As Scored	0	0	
6/26/1997	Miami Tango	San Lorenzo - Argentina	0	4	0	Friendly	FDLY			As Scored	0	0	
7/11/1997	Dallas Burn	CD Guadalajara Chivas - Mexico	0	5	30,194	Friendly	FDLY			As Scored	0	0	
7/16/1997	Colorado Rapids	CD Guadalajara Chivas - Mexico	0	6	17,131	Friendly	FDLY			As Scored	0	0	
7/16/1997	MetroStars	Galatasaray - Turkey	1	3	16,240	Friendly	FDLY			As Scored	0	0	
7/23/1997	New England Revolution	Palmeiras - Brazil	0	1	19,623	Friendly	FDLY			As Scored	0	0	
9/16/1997	Kansas City Wizards	Veracruz - Mexico	1	1	5,096	Friendly	FDLY			As Scored	0	0	
11/7/1997	San Jose Earthquakes	Atlas - Mexico	1	1	11,533	Friendly	FDLY			As Scored	0	0	
11/12/1997	Los Angeles Galaxy	Atlante - Mexico	1	1	4,000	Friendly	FDLY			As Scored	0	0	
11/12/1997	Tampa Bay Mutiny	Deportivo Cali - Colombia	2	5	0	Friendly	FDLY			As Scored	0	0	
11/15/1997	Los Angeles Galaxy	Atlas - Mexico	0	4	0	Friendly	FDLY			As Scored	0	0	
11/21/1997	Alianza Lima - Peru	Tampa Bay Mutiny	2	0	0	Friendly	FDLY			As Scored	0	0	
12/3/1997	Buenaventura - Colombia	Tampa Bay Mutiny	0	1	0	Friendly	FDLY			As Scored	0	0	
12/4/1997	America de Cali - Colombia	Tampa Bay Mutiny	3	0	0	Friendly	FDLY			As Scored	0	0	
12/6/1997	Tampa Bay Mutiny	Veracruz - Mexico	1	0	5,390	Friendly	FDLY			As Scored	0	0	
12/10/1997	Guatemala NT	Dallas Burn	5	1	0	Friendly	FDLY			As Scored	0	0	
12/12/1997	Comunicaciones - Guatemala	Dallas Burn	1	0	0	Friendly	FDLY			As Scored	0	0	
12/16/1997	Tampa Bay Mutiny	IFK Gothenburg - Sweden	1	2	1,200	Friendly	FDLY			As Scored	0	0	
2/17/1998	Tapatio - Mexico	Colorado Rapids	2	3	50	Friendly	FDLY			As Scored	0	0	
2/19/1998	Univ. de Guadalajara - Mexico	Colorado Rapids	1	2	50	Friendly	FDLY			As Scored	0	0	
2/21/1998	New England Revolution	Ikast - Denmark	2	1	50	Friendly	FDLY			As Scored	0	0	
2/24/1998	Tapatio - Mexico	Chicago Fire	1	0	0	Friendly	FDLY			As Scored	0	0	
2/24/1998	Tecos - Mexico	Colorado Rapids	1	1	50	Friendly	FDLY			As Scored	0	0	
2/25/1998	Atlas - Mexico	Colorado Rapids	3	2	50	Friendly	FDLY			As Scored	0	0	
2/25/1998	Univ. de Guadalajara - Mexico	Dallas Burn	1	4	0	Friendly	FDLY			As Scored	0	0	
2/25/1998	CD Aguila - El Salvador	Los Angeles Galaxy	0	0	0	Friendly	FDLY	suspended after 69 min.		As Scored	0	0	
