Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/15/2005	Charlotte Eagles	Northern Virginia Royals	7	0	1,370	League Game	LGE			As Scored	0	0	
4/16/2005	Cincinnati Kings	Harrisburg City Islanders	0	0	1,422	League Game	LGE			As Scored	0	0	
4/16/2005	Richmond Kickers	Atlanta Silverbacks	3	1	2,975	League Game	LGE			As Scored	0	0	
4/16/2005	Wilmington Hammerheads	Northern Virginia Royals	3	0	2,489	League Game	LGE			As Scored	0	0	
4/17/2005	Virginia Beach Mariners	Atlanta Silverbacks	0	2	722	League Game	LGE			As Scored	0	0	
4/22/2005	Charlotte Eagles	Western Mass Pioneers	0	0	415	League Game	LGE			As Scored	0	0	
4/22/2005	Northern Virginia Royals	Cincinnati Kings	0	5	10	League Game	LGE			As Scored	0	0	
4/22/2005	Richmond Kickers	Virginia Beach Mariners	2	1	2,354	League Game	LGE			As Scored	0	0	
4/23/2005	Charleston Battery	Atlanta Silverbacks	1	2	4,257	League Game	LGE			As Scored	0	0	
4/23/2005	Harrisburg City Islanders	Pittsburgh Riverhounds	1	0	1,341	League Game	LGE			As Scored	0	0	
4/23/2005	Northern Virginia Royals	Long Island Rough Riders	1	4	10	League Game	LGE			As Scored	0	0	
4/23/2005	Portland Timbers	Toronto Lynx	3	0	5,275	League Game	LGE			As Scored	0	0	
4/23/2005	San Diego Gauchos	Fresno Fuego	1	2	10	League Game	LGE			As Scored	0	0	
4/23/2005	Virginia Beach Mariners	Richmond Kickers	1	0	781	League Game	LGE			As Scored	0	0	
4/23/2005	Wilmington Hammerheads	Western Mass Pioneers	3	1	3,169	League Game	LGE			As Scored	0	0	
4/24/2005	Vancouver Whitecaps	Toronto Lynx	0	0	5,722	League Game	LGE			As Scored	0	0	
4/29/2005	Charleston Battery	Virginia Beach Mariners	1	1	2,835	League Game	LGE			As Scored	0	0	
4/29/2005	Portland Timbers	Minnesota Thunder	2	2	4,262	League Game	LGE			As Scored	0	0	
4/29/2005	Puerto Rico Islanders	Montreal Impact	1	1	8,754	League Game	LGE			As Scored	0	0	
4/29/2005	Wilmington Hammerheads	Harrisburg City Islanders	2	1	2,213	League Game	LGE			As Scored	0	0	
4/30/2005	Atlanta Silverbacks	Charleston Battery	0	0	1,362	League Game	LGE			As Scored	0	0	
4/30/2005	Charlotte Eagles	Harrisburg City Islanders	5	0	626	League Game	LGE			As Scored	0	0	
4/30/2005	Cincinnati Kings	Western Mass Pioneers	1	1	10	League Game	LGE			As Scored	0	0	
4/30/2005	Laredo Heat	Austin Lighting	3	0	482	League Game	LGE			As Scored	0	0	
4/30/2005	Long Island Rough Riders	New Hampshire Phantoms	2	1	2,041	League Game	LGE			As Scored	0	0	
4/30/2005	Richmond Kickers	Toronto Lynx	2	1	2,452	League Game	LGE			As Scored	0	0	
4/30/2005	Seattle Sounders	Portland Timbers	1	2	6,351	League Game	LGE			As Scored	0	0	
4/30/2005	Vancouver Whitecaps	Rochester Rhinos	1	0	4,862	League Game	LGE			As Scored	0	0	
5/1/2005	Pittsburgh Riverhounds	Western Mass Pioneers	1	2	2,017	League Game	LGE			As Scored	0	0	
5/1/2005	Puerto Rico Islanders	Montreal Impact	0	3	4,652	League Game	LGE			As Scored	0	0	
5/1/2005	Virginia Beach Mariners	Toronto Lynx	1	1	572	League Game	LGE			As Scored	0	0	
5/4/2005	Orange County Blue Star	San Diego Gauchos	1	0	50	League Game	LGE			As Scored	0	0	
5/6/2005	Charleston Battery	Toronto Lynx	3	1	2,776	League Game	LGE			As Scored	0	0	
5/6/2005	Cocoa Expos	Central Florida Kraze	1	0	100	League Game	LGE			As Scored	0	0	
5/6/2005	DFW Tornados	Laredo Heat	0	1	407	League Game	LGE			As Scored	0	0	
5/6/2005	Memphis Express	El Paso Patriots	1	3	200	League Game	LGE			As Scored	0	0	
5/6/2005	Nashville Metros	Austin Lighting	3	2	378	League Game	LGE			As Scored	0	0	
5/6/2005	Northern Virginia Royals	Charlotte Eagles	1	5	115	League Game	LGE			As Scored	0	0	
5/6/2005	Western Mass Pioneers	Wilmington Hammerheads	2	2	1,123	League Game	LGE			As Scored	0	0	
5/7/2005	Abbotsford Rangers	Cascade Surge	0	2	289	League Game	LGE			As Scored	0	0	
5/7/2005	Atlanta Silverbacks	Toronto Lynx	3	2	3,012	League Game	LGE			As Scored	0	0	
5/7/2005	Bradenton Academics	Palm Beach Pumas	3	1	150	League Game	LGE			As Scored	0	0	
5/7/2005	California Gold	Bakersfield Brigade	1	0	217	League Game	LGE			As Scored	0	0	
5/7/2005	Cincinnati Kings	Pittsburgh Riverhounds	2	1	1,310	League Game	LGE			As Scored	0	0	
5/7/2005	Des Moines Menace	Springfield Storm	1	1	4,089	League Game	LGE			As Scored	0	0	
5/7/2005	Harrisburg City Islanders	Charlotte Eagles	1	3	1,813	League Game	LGE			As Scored	0	0	
5/7/2005	Memphis Express	Austin Lighting	2	3	250	League Game	LGE			As Scored	0	0	
5/7/2005	Minnesota Thunder	Portland Timbers	1	1	2,934	League Game	LGE			As Scored	0	0	
5/7/2005	Nashville Metros	El Paso Patriots	2	3	210	League Game	LGE			As Scored	0	0	
5/7/2005	Nevada Wonders	Southern California Seahorses	0	2	203	League Game	LGE			As Scored	0	0	
5/7/2005	New Hampshire Phantoms	Wilmington Hammerheads	1	0	475	League Game	LGE			As Scored	0	0	
5/7/2005	Orange County Blue Star	Fresno Fuego	5	1	10	League Game	LGE			As Scored	0	0	
5/7/2005	Rochester Rhinos	Puerto Rico Islanders	3	1	10,323	League Game	LGE			As Scored	0	0	
5/7/2005	Seattle Sounders	Vancouver Whitecaps	0	0	2,495	League Game	LGE			As Scored	0	0	
5/7/2005	Spokane Shadow	Yakima Reds	2	0	1,572	League Game	LGE			As Scored	0	0	
5/7/2005	Virginia Beach Mariners	Montreal Impact	0	1	987	League Game	LGE			As Scored	0	0	
5/7/2005	West Virginia Chaos	Williamsburg Legacy	2	1	250	League Game	LGE			As Scored	0	0	
5/8/2005	Richmond Kickers	Montreal Impact	0	0	2,567	League Game	LGE			As Scored	0	0	
5/11/2005	Bradenton Academics	Ajax Orlando Prospects	1	2	120	League Game	LGE			As Scored	0	0	
5/11/2005	Richmond Kickers	Virginia Beach Mariners	3	1	1,611	League Game	LGE			As Scored	0	0	
5/12/2005	Portland Timbers	Charleston Battery	1	0	4,645	League Game	LGE			As Scored	0	0	
5/13/2005	Albany Admirals	Reading Rage	0	1	102	League Game	LGE			As Scored	0	0	
5/13/2005	Cape Cod Crusaders	Rhode Island Stingrays	1	0	524	League Game	LGE			As Scored	0	0	
5/13/2005	Charlotte Eagles	Long Island Rough Riders	2	1	1,227	League Game	LGE			As Scored	0	0	
5/13/2005	El Paso Patriots	DFW Tornados	2	1	2,150	League Game	LGE			As Scored	0	0	
5/13/2005	Fresno Fuego	California Gold	3	2	329	League Game	LGE			As Scored	0	0	
5/13/2005	Kansas City Brass	Colorado Springs Blizzard	4	2	124	League Game	LGE			As Scored	0	0	
5/13/2005	Pittsburgh Riverhounds	New Hampshire Phantoms	3	1	2,388	League Game	LGE			As Scored	0	0	
5/13/2005	Puerto Rico Islanders	Rochester Rhinos	1	0	10	League Game	LGE			As Scored	0	0	
5/13/2005	San Diego Gauchos	BYU Cougars	0	4	324	League Game	LGE			As Scored	0	0	
5/13/2005	Spokane Shadow	Abbotsford Rangers	2	1	631	League Game	LGE			As Scored	0	0	
5/13/2005	Virginia Beach Mariners	Richmond Kickers	0	1	749	League Game	LGE			As Scored	0	0	
5/13/2005	West Michigan Edge	Michigan Bucks	0	1	382	League Game	LGE			As Scored	0	0	
5/13/2005	Yakima Reds	Cascade Surge	2	2	350	League Game	LGE			As Scored	0	0	
5/14/2005	Austin Lighting	Laredo Heat	0	2	246	League Game	LGE			As Scored	0	0	
5/14/2005	Bakersfield Brigade	Nevada Wonders	4	2	265	League Game	LGE			As Scored	0	0	
5/14/2005	Carolina Dynamo	Raleigh CASL Elite	1	4	1,006	League Game	LGE			As Scored	0	0	
5/14/2005	Central Florida Kraze	Palm Beach Pumas	0	1	400	League Game	LGE			As Scored	0	0	
5/14/2005	Cincinnati Kings	New Hampshire Phantoms	3	1	1,223	League Game	LGE			As Scored	0	0	
5/14/2005	Cocoa Expos	Ajax Orlando Prospects	5	1	600	League Game	LGE			As Scored	0	0	
