Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/6/1996	New Orleans Riverboat Gamblers	New Mexico Chiles	5	2	0	League Game	LGE			As Scored	0	0	
4/6/1996	San Jose Clash	DC United	1	0	31,683	League Game	LGE	MLS First Game!!!!!	Baharmast, Esse	As Scored	0	0	
4/6/1996	Tampa Bay Cyclones	NY/NJ Stallions	5	1	0	League Game	LGE			As Scored	0	0	
4/12/1996	Charleston Battery	Albany Alleycats	2	2	0	League Game	LGE			As Scored	0	0	
4/12/1996	El Paso Patriots	Sacramento Scorpions	2	1	0	League Game	LGE			As Scored	0	0	
4/13/1996	CCV Hydra	Cascade Surge	1	2	0	League Game	LGE			As Scored	0	0	
4/13/1996	Columbus Crew	DC United	4	0	25,266	League Game	LGE		Dominguez, Raul	As Scored	0	0	
4/13/1996	Dallas/Ft. Worth Toros	Tulsa Roughnecks	2	3	0	League Game	LGE			As Scored	0	0	
4/13/1996	Everett Bigfoot	Yakima Reds	1	1	0	League Game	LGE			As Scored	0	0	
4/13/1996	Kansas City Wiz	Colorado Rapids	3	0	21,141	League Game	LGE		Patlak, Joshua 	As Scored	0	0	
4/13/1996	Los Angeles Galaxy	MetroStars	2	1	69,255	League Game	LGE		Hall, Brian	As Scored	0	0	
4/13/1996	New Orleans Riverboat Gamblers	Minnesota Thunder	1	2	0	League Game	LGE			As Scored	0	0	
4/13/1996	Reno Rattlers	New Mexico Chiles	1	0	0	League Game	LGE			As Scored	0	0	
4/13/1996	South Carolina Shamrocks	Carolina Dynamo	2	1	0	League Game	LGE			As Scored	0	0	
4/13/1996	Tampa Bay Mutiny	New England Revolution	3	2	26,473	League Game	LGE		Boulas, Zimmerman	As Scored	0	0	
4/14/1996	California Jaguars	El Paso Patriots	2	1	0	League Game	LGE			As Scored	0	0	
4/14/1996	Chico Rooks	Cascade Surge	0	0	0	League Game	LGE			As Scored	0	0	
4/14/1996	Dallas Burn	San Jose Clash	0	0	27,779	League Game	LGE	Dallas wins shootout 2-1	Terry, Kevin	As Scored	0	0	
4/14/1996	Mobile Revelers	Minnesota Thunder	0	1	0	League Game	LGE			As Scored	0	0	
4/14/1996	New Mexico Chiles	Sacramento Scorpions	3	1	0	League Game	LGE			As Scored	0	0	
4/14/1996	Wilmington Hammerheads	Albany Alleycats	2	1	0	League Game	LGE			As Scored	0	0	
4/18/1996	Dallas Burn	Kansas City Wiz	3	0	9,405	League Game	LGE		Stott, Kevin	As Scored	0	0	
4/20/1996	Columbus Crew	Tampa Bay Mutiny	1	2	24,434	League Game	LGE		Dominguez, Raul	As Scored	0	0	
4/20/1996	DC United	Los Angeles Galaxy	1	2	35,032	League Game	LGE		Tamberino, Paul	As Scored	0	0	
4/20/1996	MetroStars	New England Revolution	0	1	46,826	League Game	LGE		Dominguez, Raul	As Scored	0	0	
4/21/1996	Colorado Rapids	Dallas Burn	3	1	21,711	League Game	LGE		Baharmast, Esse	As Scored	0	0	
4/21/1996	San Jose Clash	Kansas City Wiz	2	2	17,580	League Game	LGE		Hall, Brian	As Scored	0	0	
4/24/1996	South Carolina Shamrocks	Charlotte Eagles	3	2	0	League Game	LGE			As Scored	0	0	
4/26/1996	Central Coast Roadrunners	Southern California Gunners	1	0	0	League Game	LGE			As Scored	0	0	
