Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/8/2000	Chico Rooks	Riverside County Elite	4	3	0	League Game	LGE			As Scored	0	0	
4/8/2000	San Diego Flash	US Pro 40	3	0	3,763	League Game	LGE		Heron, Richard	As Scored	0	0	
4/9/2000	Orange County Waves	US Pro 40	0	1	1,258	League Game	LGE		Chickas, Miguel	As Scored	0	0	
4/15/2000	Atlanta Silverbacks	Charleston Battery	0	2	6,422	League Game	LGE		Barnes, Andrew	As Scored	0	0	
4/15/2000	Chico Rooks	Stanislaus United Cruisers	3	4	0	League Game	LGE			As Scored	0	0	
4/15/2000	El Paso Patriots	US Pro 40	4	2	4,235	League Game	LGE		Vega, S	As Scored	0	0	
4/15/2000	Riverside County Elite	Arizona Sahuaros	4	0	0	League Game	LGE			As Scored	0	0	
4/15/2000	Roanoke Wrath	Charlotte Eagles	1	3	0	League Game	LGE			As Scored	0	0	
4/15/2000	San Diego Flash	Boston Bulldogs	2	1	2,184	League Game	LGE			As Scored	0	0	
4/16/2000	Orange County Waves	Boston Bulldogs	2	1	862	League Game	LGE			As Scored	0	0	
4/19/2000	Orange County Waves	Indiana Blast	1	0	100	League Game	LGE			As Scored	0	0	
4/21/2000	Bay Area Seals	Indiana Blast	1	0	1,352	League Game	LGE			As Scored	0	0	
4/21/2000	San Diego Flash	Orange County Waves	0	3	100	League Game	LGE			As Scored	0	0	
4/22/2000	Charleston Battery	Atlanta Silverbacks	1	0	4,417	League Game	LGE		Sill, Roger	As Scored	0	0	
4/22/2000	Charlotte Eagles	Roanoke Wrath	5	1	0	League Game	LGE			As Scored	0	0	
4/22/2000	Chico Rooks	Utah Blitzz	2	1	0	League Game	LGE			As Scored	0	0	
4/22/2000	Hampton Roads Mariners	Richmond Kickers	2	0	1,969	League Game	LGE			As Scored	0	0	
4/22/2000	Northern Virginia Royals	Carolina Dynamo	3	1	0	League Game	LGE			As Scored	0	0	
4/22/2000	Orange County Waves	San Diego Flash	0	2	1,128	League Game	LGE			As Scored	0	0	
4/22/2000	Tucson Fireballs	Arizona Sahuaros	4	0	0	League Game	LGE			As Scored	0	0	
4/26/2000	Long Island Rough Riders	Boston Bulldogs	2	1	501	League Game	LGE			As Scored	0	0	
4/28/2000	Colorado Comets	Utah Blitzz	2	3	0	League Game	LGE			As Scored	0	0	
4/28/2000	Richmond Kickers	Connecticut Wolves	2	1	1,383	League Game	LGE			As Scored	0	0	
4/28/2000	Stanislaus United Cruisers	Chico Rooks	2	1	0	League Game	LGE			As Scored	0	0	
4/29/2000	Atlanta Silverbacks	Raleigh Capital Express	3	0	3,120	League Game	LGE			As Scored	0	0	
4/29/2000	Delaware Wizards	Carolina Dynamo	3	2	0	League Game	LGE			As Scored	0	0	
4/29/2000	El Paso Patriots	Orange County Waves	0	1	2,860	League Game	LGE			As Scored	0	0	
4/29/2000	Hampton Roads Mariners	Connecticut Wolves	1	0	2,237	League Game	LGE			As Scored	0	0	
4/29/2000	New Jersey Stallions	Reading Rage	2	0	0	League Game	LGE			As Scored	0	0	
4/29/2000	Pittsburgh Riverhounds	Toronto Lynx	1	1	4,223	League Game	LGE			As Scored	0	0	
4/29/2000	Rhode Island Stingrays	New Hampshire Phantoms	0	3	0	League Game	LGE			As Scored	0	0	
4/29/2000	Riverside County Elite	Tucson Fireballs	3	2	0	League Game	LGE			As Scored	0	0	
4/29/2000	Tennessee Rhythm	Indiana Blast	2	1	950	League Game	LGE		Huber, Richard	As Scored	0	0	
