Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
2/21/2003	Torpedo Moscow -- Russia	Los Angeles Galaxy	0	3	100	La Manga Cup	LMC		Shjeruer, Tommig	As Scored	0	0	
2/24/2003	Viking Stavangar -- Norway	San Jose Earthquakes	3	1	100	La Manga Cup	LMC			As Scored	0	0	
2/24/2003	Odd Grenland -- Norway	Los Angeles Galaxy	1	0	100	La Manga Cup	LMC		Ingvarsson, M	As Scored	0	0	
2/27/2003	Lyn Oslo -- Norway	San Jose Earthquakes	1	3	100	La Manga Cup	LMC			As Scored	0	0	
2/28/2003	Viking Stavangar -- Norway	Los Angeles Galaxy	0	3	100	La Manga Cup	LMC		Hansson, Marin	As Scored	0	0	
3/2/2003	Viking Stavangar -- Norway	San Jose Earthquakes	1	1	100	La Manga Cup	LMC	San Jose loses 5-3 on PK's		As Scored	0	0	
3/16/2003	CSD Municipal -- Guatemala	San Jose Earthquakes	4	2	12,000	CONCACAF Champions Cup	CCC		Rodriguez, Marco	As Scored	0	0	
3/16/2003	Motagua -- Honduras	Los Angeles Galaxy	2	2	20,000	CONCACAF Champions Cup	CCC		De Leon, Carlos	As Scored	0	0	
3/16/2003	Deportivo Arabe Unido --Panama	Columbus Crew	2	1	100	CONCACAF Champions Cup	CCC		Recinos, Neftali	As Scored	0	0	
3/23/2003	Columbus Crew	Deportivo Arabe Unido --Panama	3	0	100	CONCACAF Champions Cup	CCC		Gasso, Jorge	As Scored	0	0	
3/23/2003	Los Angeles Galaxy	Motagua -- Honduras	1	0	8,000	CONCACAF Champions Cup	CCC		Navarro, Mauricio	As Scored	0	0	
3/23/2003	LD Alajuelense-- Costa Rica	New England Revolution	4	0	100	CONCACAF Champions Cup	CCC		Batres, Carlos	As Scored	0	0	
3/26/2003	San Jose Earthquakes	CSD Municipal -- Guatemala	2	1	4,594	CONCACAF Champions Cup	CCC		Seifert, Mike	As Scored	0	0	
3/26/2003	LD Alajuelense-- Costa Rica	New England Revolution	1	3	100	CONCACAF Champions Cup	CCC		Sibrian, Rodolfo	As Scored	0	0	
4/9/2003	Los Angeles Galaxy	Necaxa -- Mexico	1	4	3,814	CONCACAF Champions Cup	CCC		Seifert, Mike	As Scored	0	0	
4/9/2003	Morelia -- Mexico	Columbus Crew	6	0	100	CONCACAF Champions Cup	CCC		Aguilar, Joel	As Scored	0	0	
4/16/2003	Columbus Crew	Morelia -- Mexico	2	0	3,358	CONCACAF Champions Cup	CCC			As Scored	0	0	
4/16/2003	Necaxa -- Mexico	Los Angeles Galaxy	2	1	3,000	CONCACAF Champions Cup	CCC			As Scored	0	0	
