,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
435,823,"chris-seitz",-0.22,-0.14,-0.09,-0.05,-0.03,-0.02
371,715,"stefan-frei",-0.1,-0.08,-0.07,-0.05,-0.04,-0.03
221,353,"jordan-harvey",-0.11,-0.09,-0.07,-0.05,-0.04,-0.02
273,296,"pat-phelan",-0.14,-0.11,-0.08,-0.05,-0.04,-0.02
131,444,"khano-smith",-0.21,-0.14,-0.09,-0.05,-0.03,-0.02
270,440,"peter-vagenas",-0.15,-0.12,-0.09,-0.06,-0.03,-0.02
288,185,"chris-tierney",-0.13,-0.1,-0.07,-0.06,-0.04,-0.02
269,402,"aaron-hohlbein",-0.26,-0.16,-0.1,-0.06,-0.03,-0.02
554,241,"marko-perovic",-0.2,-0.13,-0.09,-0.06,-0.03,-0.02
163,204,"luke-sassano",-0.21,-0.15,-0.09,-0.06,-0.03,-0.02
552,309,"nane-joseph",-0.38,-0.22,-0.12,-0.06,-0.03,-0.02
486,117,"maicon-santos",-0.14,-0.12,-0.1,-0.07,-0.04,-0.02
"NA.3","NA","set2",-0.1,-0.11,-0.09,-0.07,-0.04,-0.03
526,704,"troy-perkins",-0.23,-0.15,-0.1,-0.07,-0.04,-0.03
271,331,"ante-jazic",-0.25,-0.17,-0.11,-0.07,-0.04,-0.02
51,252,"santino-quaranta",-0.18,-0.14,-0.1,-0.07,-0.05,-0.03
181,115,"shea-salinas",-0.19,-0.14,-0.1,-0.07,-0.05,-0.03
53,816,"kurt-morsink",-0.23,-0.18,-0.12,-0.08,-0.05,-0.03
"NA.5","NA","set56",-0.1,-0.1,-0.1,-0.09,-0.07,-0.04
5,190,"sainey-nyassi",-0.34,-0.23,-0.14,-0.09,-0.05,-0.03
"NA.4","NA","set34",-0.14,-0.14,-0.12,-0.1,-0.07,-0.04
"NA.2","NA","set1",-0.26,-0.21,-0.16,-0.1,-0.06,-0.03
"NA.1","NA","set0",-0.35,-0.27,-0.19,-0.12,-0.07,-0.04
