,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
561,805,"adrian-cann",0.12,0.06,0.02,0,0,-0.01
251,460,"pires-alvaro",0.01,0.01,0,0,0,0
156,374,"john-wolyniec",0.08,0.04,0.01,0,0,0
301,386,"darren-huckerby",0.04,0.02,0.01,0,0,0
763,733,"matt-stinson",0.05,0.02,0.01,0,0,0
196,199,"stephen-keel",0.01,0,0,0,0,0
544,841,"krzysztof-krol",0.01,0.01,0,0,0,0
212,56,"dane-richards",0.03,0.02,0.01,0,0,0
45,457,"gonzalo-martinez",0.04,0.02,0.01,0,0,0
368,249,"steve-zakuani",-0.04,-0.02,-0.01,0,0,0
527,293,"danny-allsopp",0.13,0.05,0.02,0,0,0
502,192,"michael-umana",0.02,0.01,0,0,0,0
102,398,"daniele-dichio",0.06,0.03,0.01,0,0,0
732,233,"mamadou-danso",0.05,0.02,0.01,0,0,0
603,289,"rodolfo-espinoza",0.08,0.03,0.01,0,0,0
121,420,"jim-curtin",-0.04,-0.02,-0.01,0,0,0
653,202,"alain-rochat",0.11,0.05,0.02,0,-0.01,-0.01
241,219,"andrew-boyens",0.06,0.03,0.01,0,-0.01,0
637,96,"juan-agudelo",-0.05,-0.02,-0.01,0,0,0
521,225,"ryan-smith",0.01,0,0,0,0,0
626,109,"chris-schuler",-0.02,-0.01,-0.01,0,0,0
492,263,"dan-califf",0.05,0.02,0,0,0,0
715,126,"luis-gil",-0.06,-0.03,-0.01,0,0,0
293,435,"abdus-ibrahim",0,0,0,0,0,0
378,203,"michael-lahoud",0.05,0.02,0,0,0,0
465,287,"david-arnaud",-0.03,-0.02,-0.01,0,0,-3.70E-005
191,561,"greg-vanney",0.04,0.01,0,0,0,0
228,92,"ryan-johnson",0.09,0.04,0.01,0,-0.01,-0.01
41,465,"gonzalo-peralta",-0.02,-0.01,0,0,0,0
151,672,"chance-myers",-0.11,-0.05,-0.02,0,0,0
125,339,"maykel-galindo",0.04,0.01,0,0,0,0
580,709,"justin-morrow",-0.01,-0.01,-0.01,0,0,0
712,718,"ashtone-morgan",-0.01,0,0,0,0,0
235,346,"bobby-burling",-0.06,-0.03,-0.01,0,0,0
193,488,"claudio-suarez",-0.04,-0.02,-0.01,0,0,0
355,424,"danny-cepero",0.04,0.02,0,0,-0.01,0
511,306,"collins-john",0.02,0,0,0,0,0
136,169,"wells-thompson",-0.04,-0.03,-0.01,0,0,0
658,97,"davide-chiumiento",0.07,0.03,0.01,0,-0.01,-0.01
696,103,"aj-soares",0.07,0.03,0.01,0,-0.01,-0.01
59,362,"yura-movsisyan",0,-0.01,-0.01,0,0,0
201,162,"colin-clark",-0.06,-0.03,-0.01,0,0,0
583,670,"bill-hamid",0,0,0,0,0,0
366,72,"sanna-nyassi",-0.06,-0.03,-0.02,0,2.33E-005,0
543,838,"kwame-watson-siriboe",-0.02,-0.01,-0.01,0,0,0
599,676,"shaun-francis",0,-0.01,-0.01,-0.01,0,0
559,193,"zach-loyd",-0.13,-0.07,-0.03,-0.01,0,0
296,131,"josh-wolff",0.04,0.01,0,-0.01,-0.01,-0.01
412,573,"simon-elliott",-0.01,-0.01,-0.01,-0.01,-0.01,0
58,918,"ian-joy",-0.02,-0.02,-0.01,-0.01,0,0
105,360,"abe-thompson",-0.06,-0.03,-0.01,-0.01,0,0
137,889,"amaechi-igwe",-0.03,-0.02,-0.01,-0.01,0,0
741,82,"diego-chara",0.02,0.01,0,-0.01,-0.01,0
119,494,"francisco-mendoza",-0.06,-0.04,-0.02,-0.01,0,0
21,59,"chris-wondolowski",-0.07,-0.03,-0.01,-0.01,0,0
762,121,"veljko-paunovic",-0.08,-0.04,-0.02,-0.01,0,0
183,941,"mike-randolph",-0.05,-0.02,-0.01,-0.01,0,0
672,743,"jermaine-taylor",-0.06,-0.03,-0.01,-0.01,0,0
167,99,"ramiro-corrales",0.03,0.01,0,-0.01,-0.01,-0.01
